"Symbol","Date","Security Name","Quantity"
"FCH","01-Feb-2008","Future Capital","1"
"ICICIBANK","02-Feb-2008","ICICI Bank Ltd.","2"
"INFOSYSTCH","03-Feb-2008","Infosys Technologies Ltd.","3"
"NET18","04-Feb-2008","NETWORK 18","4"
"RPL","05-Feb-2008","Reliance Petroleum","5"
"TCS","06-Feb-2008","Tata Consultancy Services Limited","6"
"ICICIBANK","07-Feb-2008","ICICI Bank Ltd.","7"
"TCS","08-Feb-2008","Tata Consultancy Services Limited","8"
"NET18","09-Feb-2008","NETWORK 18","9"
"ICICIBANK","10-Feb-2008","ICICI Bank Ltd.","10"
"INFOSYSTCH","11-Feb-2008","Infosys Technologies Ltd.","11"
"NET18","12-Feb-2008","NETWORK 18","12"
"RPL","13-Feb-2008","Reliance Petroleum","13"
"NET18","14-Feb-2008","NETWORK 18","14"
"FCH","15-Feb-2008","Future Capital","15"
"RPL","16-Feb-2008","Reliance Petroleum","16"
"TCS","17-Feb-2008","Tata Consultancy Services Limited","17"
"NET18","18-Feb-2008","NETWORK 18","18"
"ACC","19-Feb-2008","ACC Ltd.","19"
"ISPATIND","21-Apr-2008","ISPAT INDUSTRIES LIMITED","2744"
"ITC","21-Apr-2008","ITC LTD","37"
"JINDALSTEL","21-Apr-2008","JINDAL STEEL &amp; POWER LTD","166"
"JPASSOCIAT","21-Apr-2008","JAIPRAKASH ASSOCIATES LTD","2085"
"JPHYDRO","21-Apr-2008","JAIPRAKASH HYDROPOW LTD.","50"
"JSWSTEEL","21-Apr-2008","JSW STEEL LIMITED","25"
"LITL","21-Apr-2008","LANCO INFRATECH LTD.","109"
"LT","21-Apr-2008","LARSEN &amp; TOUBRO LTD.","10"
"MRPL","21-Apr-2008","MRPL","13"
"MTNL","21-Apr-2008","MAHANAGAR TELEPHONE NIGAM","45"
"NAGARFERT","21-Apr-2008","NAGARJUNA FERTILIZERS LTD","10285"
"NATIONALUM","21-Apr-2008","NATIONAL ALUMINIUM CO LTD","85"
"NEYVELILIG","21-Apr-2008","NEYVELI LIGNITE CORPORATI","392"
"NIITLTD","21-Apr-2008","NIIT LIMITED","210"
"NIITTECH","21-Apr-2008","NIIT TECHNOLOGIES LTD","279"
"NTPC","21-Apr-2008","NTPC LTD","419"
"ORCHIDCHEM","21-Apr-2008","ORCHID CHEMICALS LTD","804"
"PETRONET","21-Apr-2008","PETRONET LNG LIMITED","10"
"POLARIS","21-Apr-2008","POLARIS SOFTWARE LAB LTD","394"
"PRAJIND","21-Apr-2008","PRAJ INDUSTRIES LTD","1871"
"RANBAXY","21-Apr-2008","RANBAXY LABS LTD","2"
"RCOM","21-Apr-2008","RELIANCE COMMUNICATIONS L","1310"
"REL","21-Apr-2008","RELIANCE ENERGY LTD","37"
"RELCAPITAL","21-Apr-2008","RELIANCE CAPITAL LTD","733"
"RELIANCE","21-Apr-2008","RELIANCE INDUSTRIES LTD","5"
"RENUKA","21-Apr-2008","SHREE RENUKA SUGARS LTD","2629"
"RNRL","21-Apr-2008","REL. NAT. RESOURCES LTD.","2380"
"RPL","21-Apr-2008","RELIANCE PETROLEUM LTD.","949"
"RPOWER","21-Apr-2008","RELIANCE POWER LTD.","24"
"SAIL","21-Apr-2008","STEEL AUTHORITY OF INDIA","1370"
"SASKEN","21-Apr-2008","SASKEN COMMU TECHNO LTD","261"
"SBIN","21-Apr-2008","STATE BANK OF INDIA","404"
"SIEMENS","21-Apr-2008","SIEMENS LTD","400"
"SKUMARSYNF","21-Apr-2008","S KUMARS NATIONWIDE LTD","500"
"SUZLON","21-Apr-2008","SUZLON ENERGY LIMITED","350"
"TATACHEM","21-Apr-2008","TATA CHEMICALS LTD","81"
"TATASTEEL","21-Apr-2008","TATA STEEL LIMITED","547"
"TRIVENI","21-Apr-2008","TRIVENI ENGG. &amp; INDS. LTD","10"
"TTML","21-Apr-2008","TATA TELESERV(MAHARASTRA)","255"
"UNIONBANK","21-Apr-2008","UNION BANK OF INDIA","50"
"VOLTAS","21-Apr-2008","VOLTAS LTD","750"
"WIPRO","21-Apr-2008","WIPRO LTD","120"
"WWIL","21-Apr-2008","WIRE &amp; WIRELESS (I) LTD.","7750"
"YESBANK","21-Apr-2008","YES BANK LIMITED","156"
"ABAN","21-Apr-2008","ABAN OFFSHORE LTD.","1"
"ANDHRABANK","21-Apr-2008","ANDHRA BANK","4"
"APIL","21-Apr-2008","ALSTOM PROJECTS INDIA LTD","5"
"APTECHT","21-Apr-2008","APTECH LIMITED","80"
"ARVINDMILL","21-Apr-2008","ARVIND MILLS LTD","50"
"AUROPHARMA","21-Apr-2008","AUROBINDO PHARMA LTD","15"
"AXISBANK","21-Apr-2008","AXIS BANK LIMITED","530"
"BAJAJHIND","21-Apr-2008","BAJAJ HINDUSTAN LTD","368"
"BAJAJHLDNG","21-Apr-2008","BAJAJ HOLDINGS &amp; INVS LTD","10"
"BALRAMCHIN","21-Apr-2008","BALRAMPUR CHINI MILLS LTD","2534"
"BANKBARODA","21-Apr-2008","BANK OF BARODA","150"
"BANKINDIA","21-Apr-2008","BANK OF INDIA","75"
"BEL","21-Apr-2008","BHARAT ELECTRONICS LTD","50"
"BEML","21-Apr-2008","BEML LIMITED","3"
"BHARTIARTL","21-Apr-2008","BHARTI AIRTEL LIMITED","80"
"BHEL","21-Apr-2008","BHEL","5"
"BIOCON","21-Apr-2008","BIOCON LIMITED.","225"
"BIRLAJUTE","21-Apr-2008","BIRLA CORPORATION LTD","500"
"BOMDYEING","21-Apr-2008","BOMBAY DYEING &amp; MFG. CO L","308"
"CAIRN","21-Apr-2008","CAIRN INDIA LIMITED","84"
"CANBK","21-Apr-2008","CANARA BANK","50"
"CENTURYTEX","21-Apr-2008","CENTURY TEXTILES LTD","68"
"CHAMBLFERT","21-Apr-2008","CHAMBAL FERTILIZERS LTD","661"
"CIPLA","21-Apr-2008","CIPLA LTD","42"
"CROMPGREAV","21-Apr-2008","CROMPTON GREAVES LTD","150"
"DLF","21-Apr-2008","DLF LIMITED","15"
"EDUCOMP","21-Apr-2008","EDUCOMP SOLUTIONS LTD","63"
"ESCORTS","21-Apr-2008","ESCORTS INDIA LTD","100"
"ESSAROIL","21-Apr-2008","ESSAR OIL LTD","1120"
"GDL","21-Apr-2008","GATEWAY DISTRIPARKS LTD.","39"
"GTL","21-Apr-2008","GTL LTD","10"
"HCLTECH","21-Apr-2008","HCL TECHNOLOGIES LTD","200"
"HDFCBANK","21-Apr-2008","HDFC BANK LTD","120"
"HDIL","21-Apr-2008","HOUSING DEV &amp; INFRA LTD","200"
"HINDALCO","21-Apr-2008","HINDALCO  INDUSTRIES  LTD","487"
"HINDOILEXP","21-Apr-2008","HINDUSTAN OIL EXPLORATION","3"
"ICICIBANK","21-Apr-2008","ICICI BANK LTD.","612"
"IDFC","21-Apr-2008","INFRA. DEV. FIN. CO. LTD","200"
"IFCI","21-Apr-2008","IFCI LTD","55"
"INDUSINDBK","21-Apr-2008","INDUSIND BANK LIMITED","399"
"INFOSYSTCH","21-Apr-2008","INFOSYS TECHNOLOGIES LTD","59"
"IRB","21-Apr-2008","IRB INFRA DEV LTD.","164"
"ISPATIND","22-Apr-2008","ISPAT INDUSTRIES LIMITED","20055"
"JINDALSTEL","22-Apr-2008","JINDAL STEEL &amp; POWER LTD","175"
"JPASSOCIAT","22-Apr-2008","JAIPRAKASH ASSOCIATES LTD","2534"
"JPHYDRO","22-Apr-2008","JAIPRAKASH HYDROPOW LTD.","250"
"LICHSGFIN","22-Apr-2008","LIC HOUSING FINANCE LTD","5"
"LITL","22-Apr-2008","LANCO INFRATECH LTD.","328"
"LT","22-Apr-2008","LARSEN &amp; TOUBRO LTD.","171"
"MRPL","22-Apr-2008","MRPL","64"
"MTNL","22-Apr-2008","MAHANAGAR TELEPHONE NIGAM","25"
"NAGARFERT","22-Apr-2008","NAGARJUNA FERTILIZERS LTD","27345"
"NETWORK18","22-Apr-2008","NETWORK 18 FINCAP LTD.","5"
"NEYVELILIG","22-Apr-2008","NEYVELI LIGNITE CORPORATI","650"
"NTPC","22-Apr-2008","NTPC LTD","100"
"ORCHIDCHEM","22-Apr-2008","ORCHID CHEMICALS LTD","617"
"PATNI","22-Apr-2008","PATNI COMPUTER SYST LTD","1"
"PENINLAND","22-Apr-2008","PENINSULA LAND LIMITED","265"
"PETRONET","22-Apr-2008","PETRONET LNG LIMITED","460"
"POLARIS","22-Apr-2008","POLARIS SOFTWARE LAB LTD","504"
"POWERGRID","22-Apr-2008","POWER GRID CORP. LTD.","425"
"PUNJLLOYD","22-Apr-2008","PUNJ LLOYD LIMITED","2"
"RAJESHEXPO","22-Apr-2008","RAJESH EXPORTS LTD","550"
"RANBAXY","22-Apr-2008","RANBAXY LABS LTD","36"
"RCOM","22-Apr-2008","RELIANCE COMMUNICATIONS L","51"
"RELCAPITAL","22-Apr-2008","RELIANCE CAPITAL LTD","163"
"RELIANCE","22-Apr-2008","RELIANCE INDUSTRIES LTD","25"
"RENUKA","22-Apr-2008","SHREE RENUKA SUGARS LTD","125"
"RNRL","22-Apr-2008","REL. NAT. RESOURCES LTD.","10703"
"ROLTA","22-Apr-2008","ROLTA INDIA LTD","35"
"RPL","22-Apr-2008","RELIANCE PETROLEUM LTD.","13"
"RPOWER","22-Apr-2008","RELIANCE POWER LTD.","65"
"SAIL","22-Apr-2008","STEEL AUTHORITY OF INDIA","344"
"SASKEN","22-Apr-2008","SASKEN COMMU TECHNO LTD","200"
"SATYAMCOMP","22-Apr-2008","SATYAM COMPUTER SERVICES","11"
"SESAGOA","22-Apr-2008","SESA GOA LTD","53"
"SKUMARSYNF","22-Apr-2008","S KUMARS NATIONWIDE LTD","211"
"SOBHA","22-Apr-2008","SOBHA DEVELOPERS LTD","50"
"SRF","22-Apr-2008","SRF LTD","8"
"SUZLON","22-Apr-2008","SUZLON ENERGY LIMITED","133"
"TATACHEM","22-Apr-2008","TATA CHEMICALS LTD","100"
"TATAMOTORS","22-Apr-2008","TATA MOTORS LIMITED","26"
