SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,12-DEC-2016,37.1,37.1,35.6,35.75,35574
3IINFOTECH,12-DEC-2016,5.95,6.0,5.7,5.75,864146
3MINDIA,12-DEC-2016,11100.0,11100.0,10780.0,10798.0,921
8KMILES,12-DEC-2016,699.55,708.6,685.0,691.0,17796
A2ZINFRA,12-DEC-2016,42.4,42.4,41.1,41.35,430323
AARTIDRUGS,12-DEC-2016,651.05,662.95,650.0,655.4,5025
AARTIIND,12-DEC-2016,713.95,717.8,691.15,693.5,17591
AARVEEDEN,12-DEC-2016,88.5,88.5,82.0,82.4,9920
ABAN,12-DEC-2016,258.0,265.75,257.0,261.5,4793987
ABB,12-DEC-2016,1047.0,1054.45,1026.65,1049.25,8101
ABBOTINDIA,12-DEC-2016,4710.05,4772.0,4701.0,4736.75,569
ABFRL,12-DEC-2016,140.6,142.0,139.65,140.55,163218
ABGSHIP,12-DEC-2016,31.9,32.8,31.65,31.85,231534
ABIRLANUVO,12-DEC-2016,1270.05,1277.05,1235.4,1249.5,140435
ACC,12-DEC-2016,1372.5,1375.75,1341.15,1345.9,174756
ACCELYA,12-DEC-2016,1420.0,1446.0,1406.55,1440.9,643
ACE,12-DEC-2016,49.15,50.4,48.4,49.2,209480
ACROPETAL,12-DEC-2016,1.35,1.35,1.35,1.35,5085
ADANIENT,12-DEC-2016,71.1,73.0,70.55,71.15,2305199
ADANIPORTS,12-DEC-2016,285.0,285.45,279.3,281.35,1781321
ADANIPOWER,12-DEC-2016,32.05,32.85,31.5,32.0,8088219
ADANITRANS,12-DEC-2016,59.1,59.9,56.2,56.75,1168657
ADFFOODS,12-DEC-2016,147.8,150.9,144.1,144.9,98076
ADHUNIK,12-DEC-2016,7.1,7.35,7.1,7.3,18360
ADHUNIKIND,12-DEC-2016,108.5,117.95,106.0,111.05,29079
ADI,12-DEC-2016,492.7,529.85,472.5,507.25,23402
ADLABS,12-DEC-2016,81.0,82.0,77.55,78.05,167723
ADORWELD,12-DEC-2016,300.0,315.0,300.0,304.15,13278
ADSL,12-DEC-2016,37.0,43.85,36.4,42.25,2680771
ADVANIHOTR,12-DEC-2016,49.65,49.65,48.75,49.65,1010
ADVENZYMES,12-DEC-2016,2185.0,2221.25,2130.0,2162.5,156059
AEGISCHEM,12-DEC-2016,150.3,152.0,143.15,145.5,1725886
