SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,01-JUL-2016,30.4,31.2,29.6,30.05,89359
3IINFOTECH,01-JUL-2016,5.2,5.2,5.0,5.0,1499347
3MINDIA,01-JUL-2016,12800.0,13360.05,12800.0,13285.25,2187
8KMILES,01-JUL-2016,1868.0,1878.0,1822.0,1829.85,11560
A2ZINFRA,01-JUL-2016,41.6,43.0,41.2,41.45,1181934
AARTIDRUGS,01-JUL-2016,460.55,478.6,460.55,469.7,9287
AARTIIND,01-JUL-2016,520.5,529.0,520.5,526.4,18760
AARVEEDEN,01-JUL-2016,78.95,79.5,77.1,77.65,41608
ABAN,01-JUL-2016,212.9,216.0,212.3,213.25,858786
ABB,01-JUL-2016,1230.0,1240.0,1215.55,1222.5,38819
ABBOTINDIA,01-JUL-2016,4610.0,4744.4,4610.0,4716.8,4355
ABFRL,01-JUL-2016,142.6,146.2,141.8,142.95,601433
ABGSHIP,01-JUL-2016,33.45,34.65,32.65,33.6,712520
ABIRLANUVO,01-JUL-2016,1224.0,1245.0,1224.0,1237.35,357908
ACC,01-JUL-2016,1618.35,1626.05,1611.75,1617.4,189854
ACCELYA,01-JUL-2016,1145.0,1146.5,1119.95,1125.35,2419
ACE,01-JUL-2016,47.8,47.85,45.25,45.55,343322
ACROPETAL,01-JUL-2016,2.4,2.5,2.4,2.4,14766
ADANIENT,01-JUL-2016,87.05,87.25,84.4,84.65,2684704
ADANIPORTS,01-JUL-2016,205.1,207.9,203.8,204.3,3280576
ADANIPOWER,01-JUL-2016,30.5,30.75,30.0,30.15,12365496
ADANITRANS,01-JUL-2016,39.1,41.8,38.8,39.15,3057336
ADFFOODS,01-JUL-2016,91.05,92.25,90.6,90.75,47290
ADHUNIK,01-JUL-2016,8.1,8.45,7.95,8.0,337764
ADHUNIKIND,01-JUL-2016,93.8,93.8,89.0,92.05,55939
ADI,01-JUL-2016,356.2,359.8,341.5,348.0,4493
ADLABS,01-JUL-2016,77.5,83.35,77.0,81.1,2510269
ADORWELD,01-JUL-2016,297.0,299.85,291.0,293.75,4010
ADSL,01-JUL-2016,37.05,38.25,35.6,36.1,280347
ADVANIHOTR,01-JUL-2016,57.5,57.5,55.6,56.25,1541
ADVANTA,01-JUL-2016,586.9,592.9,581.0,587.5,5211
AEGISCHEM,01-JUL-2016,129.0,129.4,125.55,126.0,228255
AFL,01-JUL-2016,55.0,60.0,55.0,57.85,15127
AGARIND,01-JUL-2016,129.0,129.0,114.05,122.5,17408
AGCNET,01-JUL-2016,61.5,63.0,60.85,62.1,4557
AGRITECH,01-JUL-2016,9.75,9.75,9.75,9.75,240
AGRODUTCH,01-JUL-2016,2.6,2.6,2.5,2.55,3341
AHLEAST,01-JUL-2016,178.0,184.5,178.0,180.1,366
AHLUCONT,01-JUL-2016,283.95,288.2,281.0,286.75,20763
AHLWEST,01-JUL-2016,156.5,156.5,150.0,150.65,3789
AIAENG,01-JUL-2016,1030.0,1048.45,1029.9,1040.7,32309
AIFL,01-JUL-2016,257.0,257.9,251.5,256.7,42008
AIL,01-JUL-2016,618.0,625.0,613.1,617.2,8817
AJANTPHARM,01-JUL-2016,1500.0,1535.0,1492.0,1525.2,98177
AJMERA,01-JUL-2016,154.55,160.1,154.55,155.8,92272
AKSHOPTFBR,01-JUL-2016,16.85,17.6,16.6,17.4,3103731
AKZOINDIA,01-JUL-2016,1610.0,1620.0,1576.05,1584.9,6722
ALANKIT,01-JUL-2016,130.2,135.9,129.45,131.85,147655
ALBERTDAVD,01-JUL-2016,312.95,312.95,303.0,304.25,1012
ALBK,01-JUL-2016,69.7,70.2,68.85,69.65,3147369
ALCHEM,01-JUL-2016,24.9,28.45,23.4,27.9,226934
ALEMBICLTD,01-JUL-2016,38.9,39.2,37.6,38.0,263743
ALICON,01-JUL-2016,315.0,315.25,311.05,314.45,1550
ALKALI,01-JUL-2016,56.7,57.0,55.7,56.45,15500
ALKEM,01-JUL-2016,1387.0,1388.65,1358.55,1367.25,23187
ALKYLAMINE,01-JUL-2016,370.0,378.0,366.05,374.6,16302
ALLCARGO,01-JUL-2016,183.0,183.5,178.9,180.0,167867
ALLSEC,01-JUL-2016,264.4,275.45,251.0,254.8,103993
ALMONDZ,01-JUL-2016,14.0,14.0,12.95,13.0,2635
ALOKTEXT,01-JUL-2016,4.45,4.45,4.2,4.25,5563378
ALPA,01-JUL-2016,30.2,30.2,28.7,29.35,9214
ALPHAGEO,01-JUL-2016,804.8,830.0,785.25,790.65,126305
ALPSINDUS,01-JUL-2016,6.6,6.8,6.0,6.7,109131
ALSTOMT&D,01-JUL-2016,357.6,364.0,352.6,360.1,52101
AMARAJABAT,01-JUL-2016,873.65,874.65,860.0,861.1,518792
AMBIKCO,01-JUL-2016,818.95,824.6,810.0,811.75,4243
AMBUJACEM,01-JUL-2016,255.7,257.4,252.15,252.95,1201416
AMDIND,01-JUL-2016,27.15,29.85,27.0,29.1,43010
AMRUTANJAN,01-JUL-2016,419.0,419.0,412.2,417.15,8210
AMTEKAUTO,01-JUL-2016,36.3,36.4,35.5,35.6,1214455
AMTL,01-JUL-2016,30.1,31.95,29.95,30.5,17583
ANANDAMRUB,01-JUL-2016,21.0,21.0,19.1,21.0,986
ANANTRAJ,01-JUL-2016,49.1,49.7,48.3,48.65,944046
ANDHRABANK,01-JUL-2016,58.2,58.45,56.55,57.55,5833905
ANDHRACEMT,01-JUL-2016,8.5,8.65,7.85,8.1,300996
ANDHRSUGAR,01-JUL-2016,255.0,258.95,245.25,254.95,589121
ANGIND,01-JUL-2016,16.0,16.5,15.4,15.95,86248
ANIKINDS,01-JUL-2016,27.35,27.35,27.35,27.35,2
ANKITMETAL,01-JUL-2016,1.8,1.9,1.75,1.8,376473
ANSALAPI,01-JUL-2016,22.0,22.6,21.85,22.15,92594
ANSALHSG,01-JUL-2016,30.0,30.0,28.65,29.1,73842
ANTGRAPHIC,01-JUL-2016,0.55,0.65,0.55,0.65,135865
APARINDS,01-JUL-2016,546.85,549.5,528.0,530.8,13159
APCOTEXIND,01-JUL-2016,381.4,394.25,375.6,383.7,35438
APLAPOLLO,01-JUL-2016,942.0,955.0,929.55,936.3,7955
APLLTD,01-JUL-2016,579.85,590.0,579.0,583.05,129986
APOLLOHOSP,01-JUL-2016,1316.0,1339.0,1314.55,1329.85,194781
APOLLOTYRE,01-JUL-2016,152.1,155.5,152.0,154.75,1869177
APTECHT,01-JUL-2016,79.9,80.9,76.05,76.85,667033
ARCHIDPLY,01-JUL-2016,49.0,54.0,49.0,51.25,348220
ARCHIES,01-JUL-2016,24.4,24.7,24.0,24.15,73677
ARCOTECH,01-JUL-2016,387.75,389.8,375.5,385.1,149668
ARIES,01-JUL-2016,124.3,124.3,121.0,121.5,29314
ARIHANT,01-JUL-2016,39.5,39.5,38.45,38.5,2550
