SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,10-NOV-2016,42.3,42.8,40.4,40.9,202959
3IINFOTECH,10-NOV-2016,6.3,6.35,6.05,6.05,1957996
3MINDIA,10-NOV-2016,12846.2,12900.0,12750.05,12849.7,383
8KMILES,10-NOV-2016,765.0,775.0,745.45,755.45,31274
A2ZINFRA,10-NOV-2016,41.0,42.65,41.0,42.2,722487
AARTIDRUGS,10-NOV-2016,643.85,656.25,625.95,629.35,17595
AARTIIND,10-NOV-2016,718.0,734.9,712.85,722.45,32983
AARVEEDEN,10-NOV-2016,84.35,101.0,84.35,93.6,90768
ABAN,10-NOV-2016,226.0,235.35,225.0,230.05,1438499
ABB,10-NOV-2016,1088.0,1088.0,1036.6,1062.2,126272
ABBOTINDIA,10-NOV-2016,4839.0,4839.0,4700.0,4744.1,2259
ABFRL,10-NOV-2016,147.8,151.85,147.8,150.1,270508
ABGSHIP,10-NOV-2016,33.0,33.45,32.2,32.55,599097
ABIRLANUVO,10-NOV-2016,1324.7,1337.25,1307.8,1330.2,252713
ACC,10-NOV-2016,1470.0,1497.0,1450.05,1456.8,379958
ACCELYA,10-NOV-2016,1535.0,1545.0,1440.1,1453.3,7965
ACE,10-NOV-2016,48.1,51.8,48.1,50.6,471419
ADANIENT,10-NOV-2016,63.1,67.5,63.0,65.15,3047984
ADANIPORTS,10-NOV-2016,289.0,297.15,286.0,294.55,4488690
ADANIPOWER,10-NOV-2016,25.5,26.3,25.15,25.85,6827381
ADANITRANS,10-NOV-2016,46.15,46.8,45.4,45.75,595451
ADFFOODS,10-NOV-2016,170.55,178.4,169.3,170.45,133353
ADHUNIK,10-NOV-2016,7.5,8.0,7.5,7.65,124030
ADHUNIKIND,10-NOV-2016,125.4,143.0,125.0,128.55,6119
ADI,10-NOV-2016,490.05,514.9,490.0,506.1,4148
ADLABS,10-NOV-2016,94.0,96.5,92.25,93.85,193011
ADORWELD,10-NOV-2016,300.0,306.95,297.6,301.35,6482
ADSL,10-NOV-2016,30.45,31.5,28.9,30.1,207855
ADVANIHOTR,10-NOV-2016,53.5,56.8,51.25,52.25,9620
ADVENZYMES,10-NOV-2016,2006.1,2049.9,1961.1,2000.55,188968
AEGISCHEM,10-NOV-2016,153.15,154.3,148.6,150.8,199621
AFL,10-NOV-2016,60.6,65.0,60.5,64.65,96188
AGARIND,10-NOV-2016,376.0,387.9,373.0,378.55,35908
AGCNET,10-NOV-2016,103.85,103.85,93.1,95.1,36474
AGRITECH,10-NOV-2016,39.0,39.0,35.8,37.2,11579
AGRODUTCH,10-NOV-2016,2.0,2.05,2.0,2.05,12459
AHIMSA,10-NOV-2016,25.15,25.15,25.15,25.15,6000
AHLEAST,10-NOV-2016,215.0,215.0,195.5,208.0,8329
AHLUCONT,10-NOV-2016,273.7,289.0,273.7,284.85,77378
AHLWEST,10-NOV-2016,201.0,201.0,198.05,198.1,48
AIAENG,10-NOV-2016,1260.0,1273.95,1243.0,1249.6,9936
AIFL,10-NOV-2016,431.95,432.0,420.0,429.05,78014
AJANTPHARM,10-NOV-2016,1940.0,1944.0,1909.0,1930.65,73678
AJMERA,10-NOV-2016,135.7,140.0,133.75,136.6,56682
AKSHOPTFBR,10-NOV-2016,29.4,29.8,28.3,28.6,4815992
AKZOINDIA,10-NOV-2016,1586.0,1586.0,1551.1,1558.55,29722
