SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,20-SEP-2016,37.4,39.0,33.9,37.0,191700
3IINFOTECH,20-SEP-2016,5.95,6.1,5.85,5.9,2103927
3MINDIA,20-SEP-2016,13249.95,13250.0,13182.0,13211.05,377
8KMILES,20-SEP-2016,1914.95,1915.0,1872.0,1876.2,10590
A2ZINFRA,20-SEP-2016,38.25,39.35,37.1,38.9,586547
AARTIDRUGS,20-SEP-2016,541.95,541.95,529.95,536.2,27078
AARTIIND,20-SEP-2016,596.6,623.0,596.6,619.7,96029
AARVEEDEN,20-SEP-2016,80.85,80.85,76.15,76.95,10379
ABAN,20-SEP-2016,209.45,209.65,205.65,206.55,394264
ABB,20-SEP-2016,1164.9,1167.55,1156.0,1157.8,14447
ABBOTINDIA,20-SEP-2016,4689.95,4719.95,4611.15,4635.0,859
ABFRL,20-SEP-2016,144.75,148.45,141.1,142.5,2005694
ABGSHIP,20-SEP-2016,31.0,31.0,29.9,30.05,128620
ABIRLANUVO,20-SEP-2016,1387.4,1403.95,1374.1,1389.4,370007
ACC,20-SEP-2016,1652.0,1656.3,1625.5,1632.3,276332
ACCELYA,20-SEP-2016,1311.85,1407.6,1311.85,1389.7,12527
ACE,20-SEP-2016,43.65,44.5,43.25,43.5,87964
ACROPETAL,20-SEP-2016,2.15,2.15,2.1,2.15,7439
ADANIENT,20-SEP-2016,70.2,71.35,70.2,70.5,2598567
ADANIPORTS,20-SEP-2016,276.95,276.95,267.85,270.1,4084585
ADANIPOWER,20-SEP-2016,28.0,28.2,27.7,27.85,3299753
ADANITRANS,20-SEP-2016,41.8,41.8,40.3,40.6,657662
ADFFOODS,20-SEP-2016,132.3,132.7,125.75,127.0,131889
ADHUNIK,20-SEP-2016,7.9,8.05,7.75,7.8,86616
ADHUNIKIND,20-SEP-2016,111.95,111.95,105.25,107.65,30039
ADI,20-SEP-2016,412.9,423.0,406.3,417.0,12943
ADLABS,20-SEP-2016,77.75,78.55,76.5,77.05,81321
ADORWELD,20-SEP-2016,280.45,285.4,280.45,284.95,1468
ADSL,20-SEP-2016,31.5,31.5,30.6,31.05,94348
ADVANIHOTR,20-SEP-2016,49.35,54.95,49.35,54.35,4389
ADVENZYMES,20-SEP-2016,1637.6,1666.0,1591.0,1641.25,236199
AEGISCHEM,20-SEP-2016,164.4,168.4,161.65,166.15,1449818
AFL,20-SEP-2016,64.45,64.45,61.5,63.35,4968
AGARIND,20-SEP-2016,186.0,186.95,185.0,185.25,10230
AGCNET,20-SEP-2016,84.85,84.9,81.55,81.85,2549
AGRITECH,20-SEP-2016,29.85,29.85,27.25,27.6,2260
AGRODUTCH,20-SEP-2016,2.5,2.65,2.5,2.55,23016
AHLEAST,20-SEP-2016,197.6,197.6,197.6,197.6,162
AHLUCONT,20-SEP-2016,288.25,319.7,288.2,300.35,28740
AHLWEST,20-SEP-2016,173.0,173.0,170.0,170.0,390
AIAENG,20-SEP-2016,1182.15,1182.3,1152.2,1158.2,7621
AIFL,20-SEP-2016,367.7,367.7,352.0,355.15,56270
AJANTPHARM,20-SEP-2016,1988.0,2002.0,1928.0,1973.6,126687
AJMERA,20-SEP-2016,145.6,145.7,143.3,143.55,14365
AKSHOPTFBR,20-SEP-2016,21.05,21.05,20.1,20.65,4745420
AKZOINDIA,20-SEP-2016,1645.0,1652.0,1627.95,1640.7,3913
ALANKIT,20-SEP-2016,138.9,138.9,136.35,136.95,74964
ALBERTDAVD,20-SEP-2016,310.0,312.0,304.35,305.05,3209
ALBK,20-SEP-2016,81.45,81.7,79.5,80.1,3883048
ALCHEM,20-SEP-2016,24.0,24.35,23.5,24.15,5487
ALEMBICLTD,20-SEP-2016,38.9,39.2,38.25,38.4,143047
ALICON,20-SEP-2016,331.5,340.0,331.5,334.3,2233
ALKALI,20-SEP-2016,62.0,62.0,59.0,59.85,4878
ALKEM,20-SEP-2016,1735.0,1760.3,1691.0,1697.7,49338
ALKYLAMINE,20-SEP-2016,332.0,339.0,331.0,334.8,17597
ALLCARGO,20-SEP-2016,193.65,194.0,191.5,192.7,69912
ALLSEC,20-SEP-2016,263.05,272.9,260.6,264.15,33980
ALMONDZ,20-SEP-2016,11.9,11.9,10.5,10.7,16563
ALOKTEXT,20-SEP-2016,3.55,3.6,3.4,3.5,2213573
ALPA,20-SEP-2016,32.4,32.4,31.5,31.85,9854
ALPHAGEO,20-SEP-2016,944.0,951.65,923.55,937.45,25385
ALPSINDUS,20-SEP-2016,6.05,6.15,5.7,6.0,56839
AMARAJABAT,20-SEP-2016,1008.7,1013.0,989.9,991.6,245695
AMBIKCO,20-SEP-2016,809.9,814.8,799.1,808.6,4650
AMBUJACEM,20-SEP-2016,267.35,269.3,264.55,267.2,1718370
AMDIND,20-SEP-2016,26.95,29.4,26.95,28.4,33722
AMRUTANJAN,20-SEP-2016,439.0,439.0,428.0,430.55,6505
AMTEKAUTO,20-SEP-2016,42.3,43.45,42.2,42.8,1521329
AMTL,20-SEP-2016,30.25,31.15,30.25,30.5,4051
ANANDAMRUB,20-SEP-2016,16.6,16.6,16.6,16.6,500
ANANTRAJ,20-SEP-2016,57.45,57.55,56.0,56.15,586964
ANDHRABANK,20-SEP-2016,59.7,60.5,59.25,60.1,2435031
ANDHRACEMT,20-SEP-2016,8.4,8.4,8.15,8.2,142892
ANDHRSUGAR,20-SEP-2016,229.7,233.4,223.0,225.4,115057
ANGIND,20-SEP-2016,11.85,12.05,11.75,11.85,17558
ANIKINDS,20-SEP-2016,28.0,28.0,28.0,28.0,2963
ANKITMETAL,20-SEP-2016,1.7,1.85,1.7,1.8,131808
ANSALAPI,20-SEP-2016,20.2,20.2,19.4,19.55,46679
ANSALHSG,20-SEP-2016,25.55,25.55,24.45,24.9,9640
ANTGRAPHIC,20-SEP-2016,0.8,0.85,0.75,0.85,203959
APARINDS,20-SEP-2016,565.1,570.7,556.95,565.6,7146
APCOTEXIND,20-SEP-2016,377.9,414.5,377.9,396.85,112171
APLAPOLLO,20-SEP-2016,936.0,936.0,912.75,920.1,3951
APLLTD,20-SEP-2016,648.0,663.7,647.1,653.25,81425
APOLLOHOSP,20-SEP-2016,1296.0,1311.0,1290.0,1297.35,163986
APOLLOTYRE,20-SEP-2016,222.85,223.7,216.05,217.25,5620605
APTECHT,20-SEP-2016,163.4,170.6,162.25,170.6,1092804
ARCHIDPLY,20-SEP-2016,50.65,51.0,49.65,49.9,40483
ARCHIES,20-SEP-2016,24.0,24.1,23.25,23.75,63017
ARCOTECH,20-SEP-2016,375.0,377.95,360.5,371.9,106904
ARIES,20-SEP-2016,100.25,103.0,98.7,101.75,35494
ARIHANT,20-SEP-2016,47.5,48.9,43.0,43.15,1869
ARMANFIN,20-SEP-2016,260.0,260.05,257.1,259.5,20306
AROGRANITE,20-SEP-2016,76.4,77.95,73.1,73.55,33759
ARROWGREEN,20-SEP-2016,460.5,460.5,444.0,451.1,3868
ARROWTEX,20-SEP-2016,38.5,38.5,36.3,37.15,19844
ARSHIYA,20-SEP-2016,34.95,34.95,31.05,31.8,228362
ARSSINFRA,20-SEP-2016,86.55,87.2,84.75,85.35,180842
ARVIND,20-SEP-2016,335.45,335.95,328.35,331.75,1301563
ARVINFRA,20-SEP-2016,82.7,82.7,80.4,81.45,44544
ASAHIINDIA,20-SEP-2016,190.0,192.8,188.55,188.95,8169
ASAHISONG,20-SEP-2016,217.2,221.6,213.0,214.45,63495
ASAL,20-SEP-2016,60.2,61.4,59.5,60.1,4166
ASHAPURMIN,20-SEP-2016,63.05,63.5,61.7,62.0,56253
ASHIANA,20-SEP-2016,159.0,159.05,150.0,155.05,56219
ASHIMASYN,20-SEP-2016,16.35,16.4,15.2,15.8,375811
ASHOKA,20-SEP-2016,169.9,169.9,164.1,167.15,78218
ASHOKLEY,20-SEP-2016,84.9,85.5,83.6,84.05,7983834
ASIANHOTNR,20-SEP-2016,100.25,105.0,97.55,97.65,4879
ASIANPAINT,20-SEP-2016,1164.0,1173.7,1162.6,1165.05,966451
ASIANTILES,20-SEP-2016,269.8,273.9,267.0,270.25,107653
ASPINWALL,20-SEP-2016,229.95,236.45,229.95,236.45,18794
ASSAMCO,20-SEP-2016,5.95,6.2,5.85,5.9,718544
ASTEC,20-SEP-2016,410.85,423.7,410.85,415.0,65419
ASTRAL,20-SEP-2016,439.75,440.0,430.2,432.85,146885
ASTRAMICRO,20-SEP-2016,116.5,116.9,115.15,115.55,163055
ASTRAZEN,20-SEP-2016,972.0,983.0,958.0,962.2,9363
ATFL,20-SEP-2016,531.9,531.9,526.35,530.15,2348
ATLANTA,20-SEP-2016,64.35,64.5,62.15,62.7,197602
ATLASCYCLE,20-SEP-2016,254.05,259.9,250.1,255.4,23546
ATUL,20-SEP-2016,2165.0,2200.0,2151.7,2179.6,31287
ATULAUTO,20-SEP-2016,432.55,434.9,424.0,426.4,17422
AURIONPRO,20-SEP-2016,130.25,130.25,126.55,127.4,31111
AUROPHARMA,20-SEP-2016,810.0,814.5,801.75,805.95,2023790
AUSOMENT,20-SEP-2016,21.0,22.0,21.0,21.0,1001
AUTOAXLES,20-SEP-2016,776.05,783.7,763.0,769.65,13460
AUTOIND,20-SEP-2016,59.0,59.2,56.5,57.25,68402
AUTOLITIND,20-SEP-2016,60.35,64.35,60.35,61.55,9436
AVANTIFEED,20-SEP-2016,548.0,553.8,535.2,539.15,15400
AVTNPL,20-SEP-2016,30.45,30.45,29.65,29.8,61474
AXISBANK,20-SEP-2016,598.8,599.0,589.15,592.95,4538973
AXISCADES,20-SEP-2016,213.55,214.05,210.0,211.05,85187
AXISGOLD,20-SEP-2016,2851.0,2851.0,2831.1,2831.45,32
AYMSYNTEX,20-SEP-2016,82.15,83.3,80.5,82.65,12868
BAFNAPHARM,20-SEP-2016,28.65,29.0,28.05,28.7,28919
BAGFILMS,20-SEP-2016,5.2,5.25,5.05,5.15,100380
BAJAJ-AUTO,20-SEP-2016,2923.8,2956.0,2875.0,2886.95,315212
BAJAJCORP,20-SEP-2016,395.55,399.0,394.3,398.55,29736
BAJAJELEC,20-SEP-2016,264.0,271.2,264.0,269.0,54087
BAJAJFINSV,20-SEP-2016,2980.0,3109.8,2974.95,3096.2,273623
BAJAJHIND,20-SEP-2016,17.95,17.95,17.3,17.55,1637929
BAJAJHLDNG,20-SEP-2016,1830.05,1850.35,1830.05,1839.95,19886
BAJFINANCE,20-SEP-2016,1050.05,1088.95,1050.05,1075.05,597126
BALAJITELE,20-SEP-2016,86.0,87.3,84.75,85.5,80946
BALAMINES,20-SEP-2016,320.8,323.8,312.0,315.15,76063
BALKRISHNA,20-SEP-2016,79.85,81.0,76.95,77.55,65549
BALKRISIND,20-SEP-2016,853.95,854.0,825.05,831.7,37028
BALLARPUR,20-SEP-2016,13.5,14.05,13.25,13.85,832943
BALMLAWRIE,20-SEP-2016,691.1,696.0,674.6,677.7,21055
BALPHARMA,20-SEP-2016,99.8,102.4,94.1,97.15,245254
BALRAMCHIN,20-SEP-2016,110.8,112.5,109.1,111.2,1962062
BANARBEADS,20-SEP-2016,42.0,42.0,40.5,40.7,401
BANARISUG,20-SEP-2016,1915.0,1997.0,1885.0,1948.4,2869
BANCOINDIA,20-SEP-2016,222.95,224.7,217.35,219.1,161906
BANG,20-SEP-2016,21.75,22.45,21.65,22.45,5311
BANKBARODA,20-SEP-2016,167.15,168.35,165.35,166.7,3272265
BANKBEES,20-SEP-2016,2017.61,2017.61,2005.38,2008.56,3003
BANKINDIA,20-SEP-2016,117.8,118.45,116.4,116.8,3136685
BANSWRAS,20-SEP-2016,164.25,168.95,160.0,166.05,13353
BARTRONICS,20-SEP-2016,12.35,14.0,12.2,12.95,478203
BASF,20-SEP-2016,1148.0,1165.0,1135.0,1141.95,8795
BASML,20-SEP-2016,295.4,310.5,292.0,300.05,2769
BATAINDIA,20-SEP-2016,523.0,527.0,519.0,521.55,417644
BAYERCROP,20-SEP-2016,4088.4,4115.0,4059.95,4105.35,42354
BBL,20-SEP-2016,800.0,803.0,786.25,792.25,5703
BBTC,20-SEP-2016,573.7,575.9,555.05,561.75,103168
BEARDSELL,20-SEP-2016,197.0,205.0,192.1,198.1,1390
BEDMUTHA,20-SEP-2016,25.0,27.95,24.05,27.4,526064
BEL,20-SEP-2016,1242.0,1253.6,1232.5,1237.95,449172
BEML,20-SEP-2016,913.4,916.8,895.05,905.0,668886
BEPL,20-SEP-2016,20.85,20.85,20.15,20.5,98104
BERGEPAINT,20-SEP-2016,264.0,266.45,263.55,265.55,293918
BFINVEST,20-SEP-2016,177.95,179.35,169.7,170.5,220852
BFUTILITIE,20-SEP-2016,599.5,604.95,582.7,585.2,510095
BGLOBAL,20-SEP-2016,4.45,4.45,4.25,4.4,44825
BGRENERGY,20-SEP-2016,116.25,116.25,114.5,114.95,53748
BHAGERIA,20-SEP-2016,468.8,534.85,463.25,508.9,703220
BHAGYNAGAR,20-SEP-2016,17.9,17.9,17.2,17.6,3978
BHARATFIN,20-SEP-2016,769.35,787.0,769.35,781.2,865039
BHARATFORG,20-SEP-2016,909.85,909.85,887.1,892.55,730448
BHARATGEAR,20-SEP-2016,89.0,93.85,89.0,92.05,25661
BHARATIDIL,20-SEP-2016,25.05,27.65,24.8,25.6,74313
BHARATRAS,20-SEP-2016,1670.0,1759.65,1610.0,1759.65,31296
BHARATWIRE,20-SEP-2016,41.0,41.05,40.6,40.8,9786
BHARTIARTL,20-SEP-2016,324.0,324.0,317.7,319.2,2739997
BHEL,20-SEP-2016,147.5,148.3,145.25,145.75,10277767
BHUSANSTL,20-SEP-2016,41.25,42.35,40.8,41.3,193642
BIGBLOC,20-SEP-2016,37.5,43.2,36.0,43.2,95754
BIL,20-SEP-2016,577.95,578.9,561.35,574.5,2533
BILENERGY,20-SEP-2016,0.75,0.8,0.65,0.75,491782
BINANIIND,20-SEP-2016,113.15,116.25,110.7,111.6,118439
BINDALAGRO,20-SEP-2016,29.9,30.1,28.9,29.55,260710
BIOCON,20-SEP-2016,935.0,967.45,932.0,959.5,2018891
BIRLACORPN,20-SEP-2016,655.2,663.95,643.0,650.55,64342
BIRLACOT,20-SEP-2016,0.05,0.1,0.05,0.05,887697
BIRLAERIC,20-SEP-2016,37.5,39.15,37.5,38.55,13797
BIRLAMONEY,20-SEP-2016,26.95,26.95,26.3,26.7,9034
BLBLIMITED,20-SEP-2016,4.15,4.45,4.15,4.35,5001
BLISSGVS,20-SEP-2016,152.95,153.55,146.8,148.0,236301
