SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,29-MAY-2017,38.3,38.8,37.05,37.3,39108
3IINFOTECH,29-MAY-2017,4.9,4.9,4.55,4.6,1433175
3MINDIA,29-MAY-2017,14034.0,14344.0,13775.0,14001.25,4603
549,29-MAY-2017,15.3,15.3,15.3,15.3,2
63MOONS,29-MAY-2017,71.5,71.5,68.1,68.6,38680
8KMILES,29-MAY-2017,562.35,571.0,559.6,563.8,261091
A2ZINFRA,29-MAY-2017,42.35,43.4,41.1,41.5,471724
AARTIDRUGS,29-MAY-2017,498.0,506.55,485.1,490.35,16009
AARTIIND,29-MAY-2017,835.0,925.4,835.0,844.3,36282
AARVEEDEN,29-MAY-2017,62.0,64.0,60.0,61.6,9815
ABAN,29-MAY-2017,198.0,198.9,188.0,189.45,1102613
ABB,29-MAY-2017,1483.0,1496.95,1458.0,1464.5,21512
ABBOTINDIA,29-MAY-2017,4143.95,4143.95,3988.0,4022.5,4713
ABFRL,29-MAY-2017,171.4,173.8,167.0,168.35,285657
ABGSHIP,29-MAY-2017,16.05,16.05,14.8,14.8,21427
ABIRLANUVO,29-MAY-2017,1626.05,1638.0,1592.6,1613.75,140122
ABMINTLTD,29-MAY-2017,105.35,105.35,105.35,105.35,79
ACC,29-MAY-2017,1633.1,1654.0,1617.45,1624.4,277804
ACCELYA,29-MAY-2017,1325.1,1346.2,1291.0,1296.75,2115
ACE,29-MAY-2017,63.3,63.8,61.65,62.65,147114
ADANIENT,29-MAY-2017,115.95,116.0,110.05,111.4,4816508
ADANIPORTS,29-MAY-2017,347.8,348.35,325.1,327.8,3943111
ADANIPOWER,29-MAY-2017,26.65,28.5,26.35,26.7,20070770
ADANITRANS,29-MAY-2017,115.0,115.0,109.35,110.4,1678906
ADFFOODS,29-MAY-2017,281.0,281.4,261.0,265.2,133314
ADHUNIK,29-MAY-2017,5.9,6.0,5.65,5.7,172594
ADHUNIKIND,29-MAY-2017,105.25,106.5,102.2,103.85,34785
ADLABS,29-MAY-2017,78.0,78.3,75.6,75.9,200505
ADORWELD,29-MAY-2017,328.75,328.75,320.0,323.1,439
ADSL,29-MAY-2017,27.0,27.4,26.45,26.9,21410
ADVANIHOTR,29-MAY-2017,54.5,54.9,52.95,54.15,16082
ADVENZYMES,29-MAY-2017,408.7,409.5,375.0,380.85,356593
AEGISCHEM,29-MAY-2017,201.0,202.0,193.7,199.35,220979
AFL,29-MAY-2017,59.95,59.95,57.0,59.5,83140
AGARIND,29-MAY-2017,702.3,735.0,700.1,711.85,15133
AGCNET,29-MAY-2017,126.0,126.0,114.85,116.45,25459
AGRITECH,29-MAY-2017,44.9,44.9,44.9,44.9,5267
AGROPHOS,29-MAY-2017,21.5,21.5,21.5,21.5,30000
AHLEAST,29-MAY-2017,290.0,292.0,289.9,290.0,3735
AHLUCONT,29-MAY-2017,373.55,388.7,373.0,380.1,8995
AHLWEST,29-MAY-2017,196.0,197.0,194.45,197.0,67
AIAENG,29-MAY-2017,1414.1,1475.8,1373.4,1430.05,50448
AIFL,29-MAY-2017,398.25,406.35,395.0,396.75,65638
AIRAN,29-MAY-2017,117.35,117.35,117.35,117.35,33000
AJANTPHARM,29-MAY-2017,1597.0,1599.9,1401.65,1536.3,591966
AJMERA,29-MAY-2017,242.4,242.4,232.5,236.1,68069
AKASH,29-MAY-2017,122.0,122.0,122.0,122.0,66000
AKSHARCHEM,29-MAY-2017,800.1,803.65,726.0,790.55,163246
AKSHOPTFBR,29-MAY-2017,19.25,19.4,18.55,18.75,638175
AKZOINDIA,29-MAY-2017,1820.0,1820.0,1805.0,1806.25,6352
ALANKIT,29-MAY-2017,23.5,27.4,23.5,26.45,7658838
ALBERTDAVD,29-MAY-2017,295.0,295.0,281.95,284.7,3605
ALBK,29-MAY-2017,73.7,74.3,70.15,70.55,5118271
ALCHEM,29-MAY-2017,18.1,18.1,17.05,17.15,17717
ALEMBICLTD,29-MAY-2017,42.5,42.5,40.35,40.55,391642
