SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,23-OCT-2017,40.5,42.4,40.5,41.8,52451
3IINFOTECH,23-OCT-2017,3.8,3.9,3.7,3.8,1481938
3MINDIA,23-OCT-2017,14497.95,14497.95,14269.1,14346.35,908
63MOONS,23-OCT-2017,159.65,159.65,159.65,159.65,108013
8KMILES,23-OCT-2017,494.0,556.5,494.0,539.95,716185
A2ZINFRA,23-OCT-2017,36.8,40.7,36.25,37.7,4652127
AARTIDRUGS,23-OCT-2017,525.05,539.85,525.05,536.0,11440
AARTIIND,23-OCT-2017,895.0,907.15,890.85,895.1,31069
AARVEEDEN,23-OCT-2017,43.15,46.4,43.15,45.6,39261
AARVI,23-OCT-2017,75.25,77.0,75.25,76.95,12000
ABAN,23-OCT-2017,184.5,186.45,182.6,182.95,437581
ABB,23-OCT-2017,1345.0,1359.9,1331.1,1333.85,64910
ABBOTINDIA,23-OCT-2017,4240.0,4240.0,4141.5,4149.75,818
ABCAPITAL,23-OCT-2017,184.85,185.25,179.6,179.85,3370600
ABFRL,23-OCT-2017,148.9,150.1,145.0,147.15,348302
ABGSHIP,23-OCT-2017,12.75,13.65,12.75,13.35,112986
ABMINTLTD,23-OCT-2017,44.1,44.1,44.1,44.1,23
ACC,23-OCT-2017,1770.3,1790.0,1744.9,1781.0,318547
ACCELYA,23-OCT-2017,1454.0,1463.7,1435.0,1437.45,1584
ACCORD,23-OCT-2017,53.0,57.65,53.0,57.65,8000
ACE,23-OCT-2017,70.35,71.55,70.0,70.85,162902
ACEINTEG,23-OCT-2017,30.45,30.45,30.45,30.45,3000
ADANIENT,23-OCT-2017,126.4,129.8,125.2,126.95,4877150
ADANIPORTS,23-OCT-2017,403.2,412.95,400.05,407.05,4555429
ADANIPOWER,23-OCT-2017,29.25,30.75,29.1,30.45,11771082
ADANITRANS,23-OCT-2017,228.75,231.0,226.0,228.9,2044336
ADFFOODS,23-OCT-2017,238.6,242.95,236.0,239.05,246166
ADHUNIK,23-OCT-2017,4.25,4.7,4.25,4.5,117737
ADHUNIKIND,23-OCT-2017,56.85,56.85,52.0,52.0,70561
ADLABS,23-OCT-2017,68.6,68.8,67.25,67.55,139385
ADORWELD,23-OCT-2017,546.55,555.0,526.6,535.0,51236
ADSL,23-OCT-2017,20.25,22.15,20.25,20.9,27208
ADVANIHOTR,23-OCT-2017,64.7,64.7,60.4,61.7,8723
ADVENZYMES,23-OCT-2017,265.0,265.35,261.0,261.7,97272
AEGISCHEM,23-OCT-2017,227.0,236.0,222.5,234.95,810837
AFL,23-OCT-2017,33.45,33.45,33.45,33.45,10
AGARIND,23-OCT-2017,500.0,522.0,500.0,510.0,456
AGCNET,23-OCT-2017,105.7,115.0,105.35,112.9,3508
AGLSL,23-OCT-2017,128.45,128.45,117.0,118.45,60008
AGRITECH,23-OCT-2017,132.0,133.05,132.0,133.05,35858
AGROPHOS,23-OCT-2017,20.3,22.95,20.3,22.95,60000
AHLEAST,23-OCT-2017,255.5,269.0,255.5,267.9,152
AHLUCONT,23-OCT-2017,286.25,291.9,285.0,287.15,13566
AHLWEST,23-OCT-2017,172.95,172.95,166.0,166.55,1682
AIAENG,23-OCT-2017,1415.0,1415.0,1397.0,1405.05,24941
AICHAMP,23-OCT-2017,29.45,30.5,29.45,30.5,6
AIFL,23-OCT-2017,494.4,494.4,478.5,483.25,48619
AIRAN,23-OCT-2017,205.0,205.0,197.0,198.05,10000
AIROLAM,23-OCT-2017,48.2,48.2,46.35,47.7,87000
AJANTPHARM,23-OCT-2017,1204.1,1204.1,1163.0,1172.2,126254
AJMERA,23-OCT-2017,254.5,266.5,252.55,258.55,183263
AKSHARCHEM,23-OCT-2017,755.0,764.2,748.0,753.6,8108
AKSHOPTFBR,23-OCT-2017,24.6,24.85,23.95,24.3,1253497
AKZOINDIA,23-OCT-2017,1862.95,1862.95,1811.15,1832.5,3962
ALANKIT,23-OCT-2017,35.9,36.35,35.6,35.7,2240047
ALBERTDAVD,23-OCT-2017,285.0,299.65,282.05,292.45,9221
ALBK,23-OCT-2017,65.3,65.9,64.7,65.7,1475140
ALCHEM,23-OCT-2017,11.3,11.5,10.9,10.95,14925
ALEMBICLTD,23-OCT-2017,39.0,39.45,38.7,39.05,224798
ALICON,23-OCT-2017,560.0,587.0,541.1,573.2,12746
ALKALI,23-OCT-2017,73.0,74.0,70.55,73.75,12585
ALKEM,23-OCT-2017,1830.25,1875.25,1830.25,1863.3,19106
ALKYLAMINE,23-OCT-2017,569.05,588.2,559.0,585.2,52152
ALLCARGO,23-OCT-2017,171.35,173.0,169.0,169.75,173790
ALLSEC,23-OCT-2017,459.8,468.0,425.1,442.8,69348
ALMONDZ,23-OCT-2017,28.0,28.0,25.3,25.8,17218
ALOKTEXT,23-OCT-2017,3.1,3.45,3.05,3.3,7962467
ALPA,23-OCT-2017,30.5,30.5,29.0,29.1,23596
ALPHAGEO,23-OCT-2017,792.0,792.0,766.1,768.95,10180
ALPSINDUS,23-OCT-2017,4.85,4.85,4.65,4.75,30420
AMARAJABAT,23-OCT-2017,686.9,694.35,683.3,691.7,336842
AMBIKCO,23-OCT-2017,1337.95,1338.95,1307.0,1314.5,2417
AMBUJACEM,23-OCT-2017,274.2,282.95,274.2,281.8,3075417
AMDIND,23-OCT-2017,40.55,41.3,39.35,39.9,60310
