SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,05-MAR-2018,50.15,50.7,48.6,48.7,58492
21STCENMGM,05-MAR-2018,39.0,39.5,38.25,39.5,1574
3IINFOTECH,05-MAR-2018,5.95,5.95,5.65,5.7,3244446
3MINDIA,05-MAR-2018,21001.0,21349.95,20716.95,20832.6,2602
5PAISA,05-MAR-2018,329.0,349.0,329.0,344.5,1034
63MOONS,05-MAR-2018,92.7,93.9,91.1,91.2,128508
8KMILES,05-MAR-2018,730.0,734.8,713.0,718.25,103873
A2ZINFRA,05-MAR-2018,34.55,34.8,33.8,33.95,465250
AARTIDRUGS,05-MAR-2018,608.0,608.0,587.0,589.7,3258
AARTIIND,05-MAR-2018,1175.0,1175.0,1152.35,1161.85,22331
AARVEEDEN,05-MAR-2018,49.75,49.75,47.25,47.85,15891
ABAN,05-MAR-2018,168.1,168.95,166.0,166.75,454177
ABB,05-MAR-2018,1525.15,1530.65,1481.5,1490.5,38820
ABBOTINDIA,05-MAR-2018,5729.1,5750.0,5700.0,5737.2,2338
ABCAPITAL,05-MAR-2018,163.2,165.05,159.8,160.85,3229776
ABFRL,05-MAR-2018,150.0,150.3,144.75,145.2,404338
ABGSHIP,05-MAR-2018,10.45,10.7,10.1,10.1,36620
ACC,05-MAR-2018,1626.4,1631.1,1593.5,1606.15,190051
ACCELYA,05-MAR-2018,1370.0,1374.35,1343.6,1372.5,2792
ACCORD,05-MAR-2018,47.0,57.25,47.0,51.1,20000
ACE,05-MAR-2018,184.0,185.75,179.05,180.95,526797
ADANIENT,05-MAR-2018,199.0,202.7,196.75,200.9,3891702
ADANIPORTS,05-MAR-2018,404.95,411.45,400.1,403.95,3665892
ADANIPOWER,05-MAR-2018,31.35,31.65,30.15,30.85,6671043
ADANITRANS,05-MAR-2018,206.45,207.0,199.5,202.05,757008
ADFFOODS,05-MAR-2018,240.95,243.95,235.0,238.7,107020
ADHUNIK,05-MAR-2018,4.75,4.9,4.6,4.6,76004
ADHUNIKIND,05-MAR-2018,68.15,72.15,65.5,68.65,56347
ADLABS,05-MAR-2018,55.45,56.35,53.6,53.9,73898
ADORWELD,05-MAR-2018,434.0,434.0,418.15,421.1,11985
ADSL,05-MAR-2018,23.2,24.0,23.2,23.75,15109
ADVANIHOTR,05-MAR-2018,65.2,65.25,62.2,62.65,13424
ADVENZYMES,05-MAR-2018,239.2,240.0,236.0,237.95,93984
AEGISCHEM,05-MAR-2018,250.55,250.6,244.0,245.75,152609
AFL,05-MAR-2018,59.5,59.5,55.35,57.85,10903
AGARIND,05-MAR-2018,345.25,355.0,332.0,336.45,1238
AGCNET,05-MAR-2018,120.0,122.7,120.0,120.0,4398
AGLSL,05-MAR-2018,105.0,108.3,103.95,105.65,10673
AGRITECH,05-MAR-2018,143.95,143.95,135.2,137.0,61143
AGROPHOS,05-MAR-2018,36.0,36.05,34.0,36.0,30000
AHLEAST,05-MAR-2018,283.0,288.95,281.0,281.6,4432
AHLUCONT,05-MAR-2018,375.0,379.0,363.5,372.35,67156
AHLWEST,05-MAR-2018,264.45,264.45,261.05,261.05,172
AIAENG,05-MAR-2018,1434.25,1442.95,1412.55,1414.85,6256
AIFL,05-MAR-2018,475.0,482.2,473.0,476.65,435217
AIRAN,05-MAR-2018,246.5,247.75,246.5,247.75,5000
AIROLAM,05-MAR-2018,47.0,47.5,47.0,47.5,9000
AISL,05-MAR-2018,120.1,123.0,118.8,123.0,10800
AJANTPHARM,05-MAR-2018,1404.0,1404.0,1352.0,1364.15,205261
AJMERA,05-MAR-2018,235.6,240.95,225.65,227.75,74560
AJOONI,05-MAR-2018,40.0,40.0,38.2,38.2,8000
AKASH,05-MAR-2018,77.25,78.5,77.25,78.3,3000
AKSHARCHEM,05-MAR-2018,684.8,684.8,651.0,655.65,6754
AKSHOPTFBR,05-MAR-2018,36.8,36.8,35.05,35.05,774838
AKZOINDIA,05-MAR-2018,1795.1,1795.15,1765.0,1780.1,2778
ALANKIT,05-MAR-2018,56.4,56.4,53.2,53.25,215337
ALBERTDAVD,05-MAR-2018,379.0,385.0,365.55,375.35,4095
ALBK,05-MAR-2018,51.0,51.7,50.05,50.4,2858735
ALCHEM,05-MAR-2018,11.2,11.4,11.0,11.35,8197
