SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,26-AUG-2019,32.0,32.95,30.9,32.05,32914
21STCENMGM,26-AUG-2019,12.05,12.05,12.05,12.05,107
3IINFOTECH,26-AUG-2019,1.75,1.75,1.65,1.75,731739
3MINDIA,26-AUG-2019,21011.0,21099.0,20501.05,20563.55,720
3PLAND,26-AUG-2019,5.75,5.75,5.75,5.75,100
5PAISA,26-AUG-2019,121.5,129.6,121.5,128.0,17024
63MOONS,26-AUG-2019,120.95,120.95,120.95,120.95,19535
74GS2035,26-AUG-2019,94.75,94.75,94.75,94.75,100
762GS2039,26-AUG-2019,95.25,100.0,95.25,100.0,200
8KMILES,26-AUG-2019,52.9,52.95,50.6,52.95,86242
A2ZINFRA,26-AUG-2019,9.75,10.4,9.7,9.95,585178
AARON,26-AUG-2019,50.9,50.9,49.8,49.8,6000
AARTIDRUGS,26-AUG-2019,497.4,539.45,473.5,478.45,9580
AARTIIND,26-AUG-2019,1540.0,1540.0,1461.05,1507.35,117625
AARVEEDEN,26-AUG-2019,12.5,13.8,12.45,13.0,8910
AARVI,26-AUG-2019,28.0,28.0,28.0,28.0,2000
AAVAS,26-AUG-2019,1540.0,1540.0,1477.0,1518.5,10131
ABAN,26-AUG-2019,22.5,23.25,21.45,22.4,79848
ABB,26-AUG-2019,1360.2,1428.0,1332.55,1401.2,53101
ABBOTINDIA,26-AUG-2019,8899.0,9275.0,8840.0,9230.65,7374
ABCAPITAL,26-AUG-2019,88.0,89.4,85.2,88.55,1236874
ABFRL,26-AUG-2019,191.5,195.0,185.1,194.15,545418
ABINFRA,26-AUG-2019,15.5,15.5,15.5,15.5,4000
ABSLNN50ET,26-AUG-2019,254.2,256.74,253.7,256.74,4
ACC,26-AUG-2019,1490.0,1499.0,1441.6,1495.0,1307793
ACCELYA,26-AUG-2019,732.3,756.8,732.3,740.75,4003
ACCURACY,26-AUG-2019,36.85,36.95,36.4,36.4,6400
ACE,26-AUG-2019,56.0,58.85,55.05,56.4,364957
ADANIENT,26-AUG-2019,132.1,135.95,128.3,135.2,5507570
ADANIGAS,26-AUG-2019,150.0,151.45,143.7,148.0,320649
ADANIGREEN,26-AUG-2019,45.0,45.0,42.5,43.65,445215
ADANIPORTS,26-AUG-2019,366.0,375.0,349.35,368.2,4974219
ADANIPOWER,26-AUG-2019,59.25,60.1,56.55,59.15,11589064
ADANITRANS,26-AUG-2019,225.0,230.0,224.3,229.1,77762
ADFFOODS,26-AUG-2019,253.0,266.5,246.65,263.4,44571
ADHUNIK,26-AUG-2019,1.15,1.15,1.05,1.15,8617
ADHUNIKIND,26-AUG-2019,87.35,89.3,86.0,86.65,20558
ADLABS,26-AUG-2019,3.85,3.85,3.55,3.8,77336
ADORWELD,26-AUG-2019,295.9,295.95,282.0,287.45,1818
ADROITINFO,26-AUG-2019,11.0,11.0,10.6,10.6,11306
ADSL,26-AUG-2019,13.9,13.9,12.55,13.5,45349
