SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,06-FEB-2019,37.9,38.25,36.4,36.6,13569
21STCENMGM,06-FEB-2019,20.75,20.75,20.65,20.65,497
3IINFOTECH,06-FEB-2019,3.15,3.15,3.05,3.1,1773239
3MINDIA,06-FEB-2019,20410.15,20698.0,20217.35,20625.1,1169
3PLAND,06-FEB-2019,10.0,12.4,10.0,11.9,15180
5PAISA,06-FEB-2019,235.95,235.95,222.05,231.75,3082
63MOONS,06-FEB-2019,81.7,82.75,79.5,80.55,177025
8KMILES,06-FEB-2019,112.0,114.6,105.0,106.65,245089
A2ZINFRA,06-FEB-2019,10.25,10.3,9.75,9.8,294405
AAKASH,06-FEB-2019,17.5,19.0,17.5,19.0,6000
AARON,06-FEB-2019,45.45,45.45,43.0,43.0,6000
AARTIDRUGS,06-FEB-2019,591.6,593.0,571.0,590.15,38299
AARTIIND,06-FEB-2019,1687.0,1697.6,1595.55,1613.0,109554
AARVEEDEN,06-FEB-2019,21.55,22.7,20.8,22.15,13798
AAVAS,06-FEB-2019,839.8,848.0,835.0,839.15,100637
ABAN,06-FEB-2019,56.6,57.4,50.05,52.35,863408
ABB,06-FEB-2019,1261.45,1274.95,1254.05,1259.9,67825
ABBOTINDIA,06-FEB-2019,8098.0,8139.95,8053.1,8119.7,46062
ABCAPITAL,06-FEB-2019,83.15,83.75,81.55,82.35,3250195
ABFRL,06-FEB-2019,213.3,216.35,209.0,210.25,481160
ABGSHIP,06-FEB-2019,1.8,1.8,1.7,1.7,14546
ABSLNN50ET,06-FEB-2019,279.5,279.5,275.5,275.5,80
ACC,06-FEB-2019,1404.7,1414.0,1374.0,1401.45,1287668
ACCELYA,06-FEB-2019,930.2,947.95,925.0,934.15,11920
ACCORD,06-FEB-2019,23.6,23.6,23.6,23.6,2000
ACCURACY,06-FEB-2019,56.0,56.0,56.0,56.0,1600
ACE,06-FEB-2019,84.0,84.75,82.1,83.6,85029
ACEINTEG,06-FEB-2019,26.0,26.5,26.0,26.5,6000
ADANIENT,06-FEB-2019,123.85,124.2,114.8,122.9,9905219
ADANIGAS,06-FEB-2019,97.4,97.9,92.9,96.4,383885
ADANIGREEN,06-FEB-2019,33.4,34.0,33.0,33.1,345009
ADANIPORTS,06-FEB-2019,338.8,341.8,318.85,330.35,6687853
ADANIPOWER,06-FEB-2019,37.95,38.65,34.6,38.05,29251898
ADANITRANS,06-FEB-2019,215.0,219.0,214.6,216.2,209304
ADFFOODS,06-FEB-2019,229.7,231.9,224.25,228.55,17662
ADHUNIK,06-FEB-2019,1.75,1.75,1.7,1.7,11333
ADHUNIKIND,06-FEB-2019,41.75,41.75,39.8,39.9,92
ADLABS,06-FEB-2019,8.4,8.4,8.0,8.0,96832
ADORWELD,06-FEB-2019,340.0,344.0,324.5,328.4,10781
ADROITINFO,06-FEB-2019,16.5,17.8,15.65,17.2,570
ADSL,06-FEB-2019,12.7,12.7,11.25,11.85,62935
ADVANIHOTR,06-FEB-2019,68.2,68.5,62.2,65.45,17528
ADVENZYMES,06-FEB-2019,160.6,163.9,160.5,162.2,40652
AEGISCHEM,06-FEB-2019,198.5,201.0,196.7,199.95,146586
AGARIND,06-FEB-2019,174.95,176.5,161.6,166.25,3284
AGCNET,06-FEB-2019,110.5,114.0,99.85,103.75,4669
AGLSL,06-FEB-2019,65.75,65.8,56.1,61.1,8045
AGRITECH,06-FEB-2019,53.05,53.05,50.8,50.8,10712
AGROPHOS,06-FEB-2019,54.5,54.75,51.5,53.0,192000
AHLEAST,06-FEB-2019,243.95,244.0,235.25,237.0,311
AHLUCONT,06-FEB-2019,276.1,279.55,271.25,272.5,1811
AHLWEST,06-FEB-2019,371.0,371.0,345.15,350.0,446
AIAENG,06-FEB-2019,1614.75,1619.95,1606.0,1611.7,6520
AIFL,06-FEB-2019,16.1,17.35,16.1,16.1,39636
AIONJSW,06-FEB-2019,31.65,34.75,31.2,32.0,26359
AIRAN,06-FEB-2019,61.5,67.5,51.0,56.0,50000
AJANTPHARM,06-FEB-2019,922.0,942.0,903.0,930.55,986269
AJMERA,06-FEB-2019,172.7,172.7,165.4,168.5,74318
AJOONI,06-FEB-2019,24.25,24.5,24.25,24.5,8000
AKASH,06-FEB-2019,66.5,66.6,66.5,66.6,2000
AKSHARCHEM,06-FEB-2019,325.25,335.0,317.3,322.05,5022
AKSHOPTFBR,06-FEB-2019,20.05,20.9,20.05,20.25,400324
AKZOINDIA,06-FEB-2019,1758.0,1764.7,1725.0,1725.4,5971
ALANKIT,06-FEB-2019,30.0,30.15,28.1,30.0,1099006
ALBERTDAVD,06-FEB-2019,373.2,380.0,362.05,365.05,2779
ALBK,06-FEB-2019,42.5,43.1,40.2,42.35,6712425
ALCHEM,06-FEB-2019,2.3,2.3,2.2,2.2,19143
ALEMBICLTD,06-FEB-2019,40.65,41.15,40.05,40.2,179563
ALICON,06-FEB-2019,528.0,540.0,526.8,530.45,1647
ALKALI,06-FEB-2019,48.95,48.95,44.7,46.45,9652
ALKEM,06-FEB-2019,1918.9,1918.9,1838.0,1889.45,51750
ALKYLAMINE,06-FEB-2019,750.15,761.0,743.95,756.05,2235
ALLCARGO,06-FEB-2019,101.9,105.75,99.0,102.9,97788
ALLSEC,06-FEB-2019,182.1,183.9,179.1,179.65,7643
ALMONDZ,06-FEB-2019,25.65,26.15,21.95,22.05,21903
ALOKTEXT,06-FEB-2019,3.5,3.55,3.4,3.4,2571860
