SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,07-JUN-2019,39.0,39.0,37.4,37.85,13853
21STCENMGM,07-JUN-2019,18.35,18.35,18.0,18.0,380
3IINFOTECH,07-JUN-2019,3.35,3.45,3.35,3.35,916383
3MINDIA,07-JUN-2019,22497.05,22550.0,22351.0,22497.55,1312
3PLAND,07-JUN-2019,10.45,10.45,9.5,9.5,1301
5PAISA,07-JUN-2019,220.9,220.9,206.35,210.7,11100
63MOONS,07-JUN-2019,123.0,126.0,116.8,116.8,174061
8KMILES,07-JUN-2019,96.1,97.0,92.85,93.6,111179
A2ZINFRA,07-JUN-2019,15.85,16.0,15.3,15.45,101046
AARON,07-JUN-2019,47.5,47.5,45.0,46.25,12000
AARTIDRUGS,07-JUN-2019,553.9,554.95,531.5,536.75,19279
AARTIIND,07-JUN-2019,1781.05,1813.5,1780.5,1783.7,63780
AARVEEDEN,07-JUN-2019,23.0,23.3,22.4,22.65,2235
AARVI,07-JUN-2019,34.9,34.9,34.9,34.9,2000
AAVAS,07-JUN-2019,1360.0,1445.0,1351.0,1413.8,79523
ABAN,07-JUN-2019,47.25,47.95,46.05,46.4,37303
ABB,07-JUN-2019,1531.05,1575.0,1517.0,1564.15,41806
ABBOTINDIA,07-JUN-2019,7807.4,8010.0,7801.0,7965.35,3506
ABCAPITAL,07-JUN-2019,98.75,99.9,98.0,99.05,1137220
ABFRL,07-JUN-2019,216.1,224.7,215.2,218.2,458982
ABSLNN50ET,07-JUN-2019,273.0,274.14,271.67,274.01,199
ACC,07-JUN-2019,1593.0,1618.85,1574.55,1596.5,944400
ACCELYA,07-JUN-2019,884.5,900.0,876.0,879.05,5503
ACCORD,07-JUN-2019,30.0,30.0,30.0,30.0,2000
ACE,07-JUN-2019,103.15,103.15,100.5,100.65,109342
ADANIENT,07-JUN-2019,152.95,153.55,146.8,151.35,5016442
ADANIGAS,07-JUN-2019,171.0,174.0,168.1,169.9,1044187
ADANIGREEN,07-JUN-2019,44.45,44.75,43.0,43.25,958801
ADANIPORTS,07-JUN-2019,426.3,427.4,419.45,425.2,2648848
ADANIPOWER,07-JUN-2019,48.2,48.55,46.2,47.35,9372442
ADANITRANS,07-JUN-2019,228.05,232.05,222.0,222.6,107018
ADFFOODS,07-JUN-2019,287.0,293.0,282.5,287.55,34849
ADHUNIK,07-JUN-2019,1.75,1.8,1.7,1.75,14850
ADHUNIKIND,07-JUN-2019,80.1,83.3,80.0,82.75,18441
ADLABS,07-JUN-2019,7.5,7.5,7.05,7.2,82346
ADORWELD,07-JUN-2019,351.2,359.9,346.6,352.6,2513
ADROITINFO,07-JUN-2019,13.1,13.5,13.05,13.5,11660
ADSL,07-JUN-2019,16.35,17.4,16.35,16.5,17827
ADVANIHOTR,07-JUN-2019,63.55,65.0,62.1,63.8,4881
ADVENZYMES,07-JUN-2019,213.5,216.5,209.0,210.2,93967
AEGISCHEM,07-JUN-2019,220.6,223.5,216.25,222.2,97574
AGARIND,07-JUN-2019,149.55,149.7,147.5,148.6,346
AGCNET,07-JUN-2019,110.0,114.0,110.0,110.5,813
AGLSL,07-JUN-2019,55.55,58.0,55.5,56.85,9660
AGRITECH,07-JUN-2019,57.8,59.9,56.5,57.6,7252
AGROPHOS,07-JUN-2019,79.85,79.85,79.55,79.55,10020
AHIMSA,07-JUN-2019,29.75,29.75,29.75,29.75,6000
AHLEAST,07-JUN-2019,205.0,205.0,197.25,197.9,290
AHLUCONT,07-JUN-2019,335.05,344.7,333.55,341.7,7924
AHLWEST,07-JUN-2019,335.0,340.0,332.0,337.65,1666
AIAENG,07-JUN-2019,1804.0,1845.0,1784.85,1826.55,60434
AIFL,07-JUN-2019,4.95,4.95,4.95,4.95,1399
AIONJSW,07-JUN-2019,21.25,21.35,20.25,20.45,12795
AIRAN,07-JUN-2019,30.15,31.5,28.0,30.45,20707
AJANTPHARM,07-JUN-2019,1009.75,1015.9,976.2,1001.65,346872
AJMERA,07-JUN-2019,182.2,183.5,175.75,177.15,84871
AKASH,07-JUN-2019,57.0,57.0,57.0,57.0,2000
AKSHARCHEM,07-JUN-2019,296.05,314.85,296.0,305.45,3002
AKSHOPTFBR,07-JUN-2019,13.0,13.2,12.85,12.9,360604
AKZOINDIA,07-JUN-2019,1800.95,1809.85,1750.05,1768.2,2529
ALANKIT,07-JUN-2019,36.95,36.95,35.85,36.55,618825
ALBERTDAVD,07-JUN-2019,426.0,437.0,425.0,427.3,2595
ALBK,07-JUN-2019,42.05,42.95,41.0,41.55,5031016
ALCHEM,07-JUN-2019,1.75,1.75,1.7,1.7,29225
ALEMBICLTD,07-JUN-2019,45.4,45.6,44.0,44.95,223917
ALICON,07-JUN-2019,591.95,603.9,585.0,587.75,1805
ALKALI,07-JUN-2019,44.25,45.5,44.2,45.25,1310
ALKEM,07-JUN-2019,1767.5,1844.0,1753.4,1817.7,31918
ALKYLAMINE,07-JUN-2019,859.95,859.95,818.05,819.7,2897
ALLCARGO,07-JUN-2019,107.55,109.45,106.2,108.2,59308
ALLSEC,07-JUN-2019,305.5,311.0,305.5,308.3,2987
ALMONDZ,07-JUN-2019,23.75,23.9,22.05,22.75,6333
ALOKTEXT,07-JUN-2019,3.9,3.9,3.75,3.8,734223
ALPA,07-JUN-2019,22.3,22.85,22.0,22.05,11422
ALPHAGEO,07-JUN-2019,453.15,465.0,450.05,454.25,5829
ALPSINDUS,07-JUN-2019,1.0,1.0,1.0,1.0,2510
AMARAJABAT,07-JUN-2019,632.15,633.0,608.0,618.55,754053
AMBER,07-JUN-2019,833.2,833.2,819.55,822.0,3934
AMBIKCO,07-JUN-2019,1085.05,1099.0,1080.65,1084.95,1605
AMBUJACEM,07-JUN-2019,222.5,226.95,220.9,222.25,2565750
AMDIND,07-JUN-2019,19.45,19.5,18.45,18.9,6718
AMJLAND,07-JUN-2019,19.25,19.25,18.75,18.8,9588
AMJUMBO,07-JUN-2019,47.7,47.7,44.6,45.0,54000
AMRUTANJAN,07-JUN-2019,331.95,331.95,323.8,326.3,30106
ANANTRAJ,07-JUN-2019,32.85,32.85,31.2,31.3,235408
ANDHRABANK,07-JUN-2019,24.0,24.2,23.4,23.95,772796
ANDHRACEMT,07-JUN-2019,4.6,4.65,4.35,4.55,32006
ANDHRSUGAR,07-JUN-2019,347.0,363.9,343.0,344.7,89203
ANIKINDS,07-JUN-2019,13.35,14.0,13.2,13.85,3005
ANKITMETAL,07-JUN-2019,0.45,0.5,0.45,0.45,16359
ANSALAPI,07-JUN-2019,8.25,8.35,7.95,8.0,95725
ANSALHSG,07-JUN-2019,9.0,9.0,8.6,8.65,102484
ANTGRAPHIC,07-JUN-2019,1.0,1.0,0.95,1.0,491773
ANUP,07-JUN-2019,489.0,496.0,471.2,487.55,19324
APARINDS,07-JUN-2019,659.9,659.95,640.1,644.4,4178
APCL,07-JUN-2019,171.1,177.0,168.8,171.05,1935
APCOTEXIND,07-JUN-2019,552.4,554.0,546.05,550.3,4168
APEX,07-JUN-2019,285.85,285.9,273.1,277.65,35384
APLAPOLLO,07-JUN-2019,1573.0,1599.0,1557.95,1589.35,7247
APLLTD,07-JUN-2019,507.5,511.0,496.3,504.45,39384
APOLLO,07-JUN-2019,125.0,126.35,120.05,122.9,21582
APOLLOHOSP,07-JUN-2019,1342.0,1406.0,1330.75,1398.2,1963985
APOLLOTYRE,07-JUN-2019,198.95,199.95,191.45,192.2,2645450
APOLSINHOT,07-JUN-2019,944.95,945.0,908.0,923.5,724
APTECHT,07-JUN-2019,154.0,155.5,148.1,151.3,174657
ARCHIDPLY,07-JUN-2019,38.4,38.8,37.3,37.55,9645
ARCHIES,07-JUN-2019,22.4,23.0,22.0,22.35,26786
ARCOTECH,07-JUN-2019,3.9,4.1,3.8,3.85,65631
ARENTERP,07-JUN-2019,11.0,11.0,11.0,11.0,2000
ARIES,07-JUN-2019,75.3,75.3,70.3,71.05,29565
ARIHANT,07-JUN-2019,27.05,30.4,27.05,27.35,8061
ARIHANTSUP,07-JUN-2019,61.25,63.5,61.25,62.4,11121
ARMANFIN,07-JUN-2019,401.05,406.0,392.2,396.65,4115
AROGRANITE,07-JUN-2019,50.2,51.45,50.0,50.8,6362
ARROWGREEN,07-JUN-2019,58.2,58.95,54.2,58.6,8861
ARROWTEX,07-JUN-2019,16.1,16.4,15.25,16.2,2779
ARSHIYA,07-JUN-2019,28.9,28.95,27.35,27.45,51854
ARSSINFRA,07-JUN-2019,42.0,42.0,38.9,39.1,7318
ARVIND,07-JUN-2019,73.6,74.0,71.85,72.35,2008197
ARVINDFASN,07-JUN-2019,758.0,802.65,751.0,797.2,54382
ARVSMART,07-JUN-2019,115.7,115.75,109.2,113.2,10896
ASAHIINDIA,07-JUN-2019,232.0,237.95,230.1,232.9,7154
ASAHISONG,07-JUN-2019,150.05,152.25,147.2,148.3,1533
ASAL,07-JUN-2019,50.45,51.8,48.6,49.9,6788
ASHAPURMIN,07-JUN-2019,22.0,22.35,20.6,21.55,51468
ASHIANA,07-JUN-2019,130.0,130.0,126.15,127.3,31084
ASHIMASYN,07-JUN-2019,11.4,11.6,10.95,11.05,21456
ASHOKA,07-JUN-2019,143.05,143.95,140.6,142.65,102518
ASHOKLEY,07-JUN-2019,91.15,91.75,89.1,90.0,16922481
ASIANHOTNR,07-JUN-2019,128.05,131.5,127.0,127.75,1335
ASIANPAINT,07-JUN-2019,1429.0,1439.85,1413.05,1418.35,878470
ASIANTILES,07-JUN-2019,258.5,260.9,251.0,254.7,157452
ASPINWALL,07-JUN-2019,152.95,152.95,148.0,151.85,3615
ASSAMCO,07-JUN-2019,1.45,1.45,1.45,1.45,75485
ASTEC,07-JUN-2019,455.1,458.35,450.05,458.0,3623
ASTERDM,07-JUN-2019,142.8,142.8,139.0,139.15,19017
ASTRAL,07-JUN-2019,1278.0,1347.85,1278.0,1331.25,102352
ASTRAMICRO,07-JUN-2019,90.65,90.65,88.25,88.45,121198
ASTRAZEN,07-JUN-2019,1820.55,1925.55,1820.55,1858.25,29827
ASTRON,07-JUN-2019,108.5,109.95,106.2,109.15,135053
ATFL,07-JUN-2019,527.6,542.45,527.6,541.45,18461
ATLANTA,07-JUN-2019,13.25,13.5,12.7,13.3,34298
ATLASCYCLE,07-JUN-2019,48.0,48.0,44.1,44.65,20119
ATUL,07-JUN-2019,4005.0,4045.0,3982.2,4033.75,8224
ATULAUTO,07-JUN-2019,297.25,297.55,292.25,294.0,8567
AUBANK,07-JUN-2019,703.0,709.0,691.65,705.85,157805
AURIONPRO,07-JUN-2019,130.4,130.65,125.85,127.3,7371
AUROPHARMA,07-JUN-2019,625.0,633.0,610.25,619.4,3627243
AUSOMENT,07-JUN-2019,33.9,33.9,33.9,33.9,435
