SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,18-JUL-2016,29.55,29.55,28.5,28.65,14699
3IINFOTECH,18-JUL-2016,5.1,5.2,5.0,5.0,1390525
3MINDIA,18-JUL-2016,13614.0,13741.35,13480.0,13499.95,437
8KMILES,18-JUL-2016,1896.0,1920.0,1871.1,1878.45,15131
A2ZINFRA,18-JUL-2016,40.2,41.5,39.1,39.95,780698
AARTIDRUGS,18-JUL-2016,502.35,504.0,487.15,495.15,10473
AARTIIND,18-JUL-2016,534.45,537.45,528.0,530.55,264041
AARVEEDEN,18-JUL-2016,68.95,73.0,68.15,70.6,3814
ABAN,18-JUL-2016,229.0,232.4,225.1,225.7,745982
ABB,18-JUL-2016,1274.9,1292.0,1246.75,1271.8,62985
ABBOTINDIA,18-JUL-2016,4690.05,4720.0,4620.15,4642.2,627
ABFRL,18-JUL-2016,139.45,146.5,139.25,143.35,3147501
ABGSHIP,18-JUL-2016,32.55,32.65,30.8,30.95,494551
ABIRLANUVO,18-JUL-2016,1224.9,1257.8,1201.8,1246.4,682669
ACC,18-JUL-2016,1619.0,1619.0,1590.2,1595.5,182531
ACCELYA,18-JUL-2016,1221.0,1221.1,1186.2,1200.55,5530
ACE,18-JUL-2016,44.25,45.35,43.25,43.45,85421
ACROPETAL,18-JUL-2016,2.55,2.55,2.5,2.5,15311
ADANIENT,18-JUL-2016,81.5,84.1,80.1,81.1,3433362
ADANIPORTS,18-JUL-2016,221.65,222.9,216.25,217.95,3449057
ADANIPOWER,18-JUL-2016,29.15,29.2,28.15,28.25,5761433
ADANITRANS,18-JUL-2016,36.75,37.5,36.25,36.35,510951
ADFFOODS,18-JUL-2016,89.85,90.9,89.25,89.45,55461
ADHUNIK,18-JUL-2016,8.7,8.85,8.2,8.3,85667
ADHUNIKIND,18-JUL-2016,94.0,98.95,92.0,94.95,30685
ADI,18-JUL-2016,370.5,383.95,360.25,363.3,13453
ADLABS,18-JUL-2016,81.75,82.4,80.2,80.8,88499
ADORWELD,18-JUL-2016,283.0,289.0,282.4,285.1,1100
ADSL,18-JUL-2016,33.5,34.35,33.1,33.3,96778
ADVANIHOTR,18-JUL-2016,54.6,54.6,53.6,53.9,1305
ADVANTA,18-JUL-2016,583.4,590.0,575.55,581.8,4761
AEGISCHEM,18-JUL-2016,122.15,123.5,117.0,117.7,539293
AFL,18-JUL-2016,56.9,58.0,54.55,54.8,5735
AGARIND,18-JUL-2016,135.75,141.75,135.0,139.05,27662
AGCNET,18-JUL-2016,64.4,64.4,61.85,62.15,4965
AGRITECH,18-JUL-2016,15.55,15.55,15.55,15.55,899
AGRODUTCH,18-JUL-2016,2.65,2.65,2.5,2.5,9392
AHLEAST,18-JUL-2016,211.5,214.0,205.0,207.8,1099
AHLUCONT,18-JUL-2016,285.0,286.5,276.0,277.55,9906
AHLWEST,18-JUL-2016,185.0,199.0,167.0,173.95,1277
AIAENG,18-JUL-2016,999.6,1009.2,991.3,1000.25,37912
AIFL,18-JUL-2016,301.0,302.9,291.35,296.3,79272
AIL,18-JUL-2016,640.45,644.85,633.0,638.5,6421
AJANTPHARM,18-JUL-2016,1605.0,1646.8,1565.65,1580.05,405984
AJMERA,18-JUL-2016,154.85,155.5,151.5,152.1,25448
AKSHOPTFBR,18-JUL-2016,17.1,17.2,16.3,16.5,680500
