SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,10-MAR-2016,27.6,27.6,26.2,26.75,28534
3IINFOTECH,10-MAR-2016,4.4,4.6,4.4,4.4,1346309
3MINDIA,10-MAR-2016,10877.0,10877.0,10650.05,10850.0,897
8KMILES,10-MAR-2016,1859.7,1934.7,1850.0,1903.9,63262
A2ZINFRA,10-MAR-2016,20.4,20.75,19.95,20.05,150438
AARTIDRUGS,10-MAR-2016,491.0,498.0,490.0,492.9,2570
AARTIIND,10-MAR-2016,472.0,476.7,468.0,471.15,21202
AARVEEDEN,10-MAR-2016,53.8,53.8,52.25,53.65,254
ABAN,10-MAR-2016,184.0,196.0,183.75,188.4,2825448
ABB,10-MAR-2016,1180.0,1180.1,1146.3,1151.1,48185
ABBOTINDIA,10-MAR-2016,4930.0,4974.75,4900.0,4901.4,1193
ABFRL,10-MAR-2016,148.75,153.5,148.4,149.65,628382
ABGSHIP,10-MAR-2016,59.0,59.3,56.6,57.1,130993
ABIRLANUVO,10-MAR-2016,778.8,815.0,768.15,795.05,506415
ACC,10-MAR-2016,1248.0,1250.0,1226.1,1230.35,157799
ACCELYA,10-MAR-2016,890.0,899.0,880.0,889.0,2222
ACE,10-MAR-2016,37.2,38.75,37.05,37.45,80527
ACROPETAL,10-MAR-2016,2.95,3.0,2.85,2.9,5301
ADANIENT,10-MAR-2016,67.05,67.5,64.9,65.2,3158131
ADANIPORTS,10-MAR-2016,228.8,228.8,224.2,226.45,1543894
ADANIPOWER,10-MAR-2016,30.3,30.5,29.75,29.9,3278725
ADANITRANS,10-MAR-2016,31.3,31.4,30.4,30.6,307363
ADFFOODS,10-MAR-2016,82.0,84.0,80.05,81.25,42829
ADHUNIK,10-MAR-2016,12.45,12.45,11.6,11.65,42409
ADI,10-MAR-2016,282.0,284.0,254.65,267.85,16459
ADLABS,10-MAR-2016,86.8,89.5,85.05,85.9,85277
ADORWELD,10-MAR-2016,265.0,273.8,262.3,263.55,4158
ADSL,10-MAR-2016,42.65,44.7,41.45,41.95,314188
ADVANIHOTR,10-MAR-2016,47.0,49.0,46.65,49.0,51052
ADVANTA,10-MAR-2016,445.0,456.5,443.1,451.5,15288
AEGISCHEM,10-MAR-2016,104.4,104.9,99.7,101.3,100084
AFL,10-MAR-2016,58.8,60.7,58.1,58.6,40633
AGARIND,10-MAR-2016,153.5,155.5,151.5,155.0,33984
AGCNET,10-MAR-2016,79.3,79.3,73.1,75.2,2586
AGRITECH,10-MAR-2016,8.55,9.05,8.4,9.05,1075
AGRODUTCH,10-MAR-2016,3.05,3.2,3.0,3.1,4640
AHLEAST,10-MAR-2016,141.45,141.45,130.2,131.9,2123
AHLUCONT,10-MAR-2016,241.0,248.5,236.05,237.6,15330
AHLWEST,10-MAR-2016,118.2,118.2,116.0,117.65,1084
AIAENG,10-MAR-2016,842.5,842.5,804.0,826.3,49511
AIFL,10-MAR-2016,248.5,248.5,238.3,240.65,16524
AIL,10-MAR-2016,578.8,584.7,547.4,567.75,30489
