SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,06-SEP-2016,37.6,37.75,36.6,36.95,218574
3IINFOTECH,06-SEP-2016,5.2,5.25,5.1,5.15,856728
3MINDIA,06-SEP-2016,12983.5,13255.55,12900.0,12998.9,675
8KMILES,06-SEP-2016,2010.0,2015.95,1960.0,1964.0,10792
A2ZINFRA,06-SEP-2016,37.0,38.85,37.0,38.0,411905
AARTIDRUGS,06-SEP-2016,484.5,489.85,475.05,478.3,11423
AARTIIND,06-SEP-2016,630.0,630.0,616.65,621.7,24095
AARVEEDEN,06-SEP-2016,76.0,76.0,72.0,72.7,14809
ABAN,06-SEP-2016,217.4,219.0,216.05,216.6,691827
ABB,06-SEP-2016,1155.0,1175.55,1150.0,1167.85,74672
ABBOTINDIA,06-SEP-2016,4602.0,4686.0,4560.0,4576.85,4837
ABFRL,06-SEP-2016,153.9,157.0,148.5,151.6,564114
ABGSHIP,06-SEP-2016,28.6,29.2,28.1,28.35,141033
ABIRLANUVO,06-SEP-2016,1369.45,1388.8,1355.1,1378.15,422141
ACC,06-SEP-2016,1685.0,1708.25,1673.5,1698.85,283811
ACCELYA,06-SEP-2016,1235.0,1241.5,1215.0,1234.9,3675
ACE,06-SEP-2016,45.5,45.7,44.8,45.0,111835
ACROPETAL,06-SEP-2016,2.2,2.2,2.0,2.0,2116
ADANIENT,06-SEP-2016,71.55,72.85,71.55,72.1,2209617
ADANIPORTS,06-SEP-2016,270.0,271.75,267.6,270.6,4376626
ADANIPOWER,06-SEP-2016,27.2,27.6,27.0,27.1,3321212
ADANITRANS,06-SEP-2016,39.5,40.25,39.45,39.7,555354
ADFFOODS,06-SEP-2016,129.2,129.8,126.2,126.75,73336
ADHUNIK,06-SEP-2016,8.0,8.3,7.7,8.0,116858
ADHUNIKIND,06-SEP-2016,116.2,122.45,115.6,117.95,13069
ADI,06-SEP-2016,373.0,398.9,373.0,396.75,49908
ADLABS,06-SEP-2016,78.45,78.85,76.25,78.15,54648
ADORWELD,06-SEP-2016,288.0,289.0,283.2,285.65,2388
ADSL,06-SEP-2016,29.25,30.5,28.85,30.0,157875
ADVANIHOTR,06-SEP-2016,54.2,54.2,52.5,53.5,1236
ADVENZYMES,06-SEP-2016,1408.0,1427.0,1397.3,1416.65,167084
AEGISCHEM,06-SEP-2016,147.4,154.7,147.2,148.6,2771501
AFL,06-SEP-2016,69.4,69.95,68.1,68.35,10056
AGARIND,06-SEP-2016,171.3,182.9,171.3,178.2,41418
AGCNET,06-SEP-2016,80.05,81.0,78.0,79.7,4434
AGRITECH,06-SEP-2016,33.25,33.25,33.25,33.25,4691
AGRODUTCH,06-SEP-2016,2.35,2.55,2.35,2.45,11362
AHLEAST,06-SEP-2016,185.0,202.0,171.9,198.9,4537
AHLUCONT,06-SEP-2016,298.05,337.8,298.0,317.35,426369
AHLWEST,06-SEP-2016,165.0,177.9,160.0,171.45,7071
AIAENG,06-SEP-2016,1242.65,1315.0,1235.4,1259.7,48465
AIFL,06-SEP-2016,383.5,388.8,377.0,381.2,73181
AIL,06-SEP-2016,595.0,598.0,592.5,593.4,15897
AJANTPHARM,06-SEP-2016,1939.0,1954.8,1925.6,1941.55,89066
AJMERA,06-SEP-2016,142.0,159.0,142.0,147.6,517182
AKSHOPTFBR,06-SEP-2016,15.9,18.05,15.9,17.4,5972369
AKZOINDIA,06-SEP-2016,1670.0,1728.5,1656.0,1666.3,12311
ALANKIT,06-SEP-2016,136.5,142.45,134.1,139.15,355114
ALBERTDAVD,06-SEP-2016,302.0,313.0,296.0,305.05,2564
ALBK,06-SEP-2016,85.1,86.0,84.55,84.9,4003239
ALCHEM,06-SEP-2016,23.95,24.4,23.2,23.7,3882
ALEMBICLTD,06-SEP-2016,38.9,38.95,38.0,38.15,134411
ALICON,06-SEP-2016,299.0,313.9,291.05,306.1,5391
ALKALI,06-SEP-2016,56.7,60.0,56.1,56.4,11831
ALKEM,06-SEP-2016,1640.0,1668.9,1625.1,1644.75,54267
ALKYLAMINE,06-SEP-2016,324.9,324.9,315.0,315.5,3358
ALLCARGO,06-SEP-2016,185.0,190.85,184.55,188.25,239334
ALLSEC,06-SEP-2016,271.0,295.0,271.0,285.1,40027
ALMONDZ,06-SEP-2016,10.7,11.75,10.35,11.2,7723
ALOKTEXT,06-SEP-2016,3.05,3.35,3.0,3.2,5829746
ALPA,06-SEP-2016,33.65,33.7,32.15,33.0,8729
ALPHAGEO,06-SEP-2016,895.0,936.0,895.0,906.7,34097
ALPSINDUS,06-SEP-2016,4.85,5.15,4.85,4.95,33235
ALSTOMT&D,06-SEP-2016,318.1,321.95,316.95,320.25,117588
AMARAJABAT,06-SEP-2016,999.0,1079.7,997.05,1037.2,1351729
AMBIKCO,06-SEP-2016,816.0,824.75,810.35,815.3,5589
AMBUJACEM,06-SEP-2016,279.0,279.35,275.7,277.4,1601423
AMDIND,06-SEP-2016,27.45,28.25,26.5,27.25,17311
AMRUTANJAN,06-SEP-2016,446.0,448.6,439.05,441.85,1816
AMTEKAUTO,06-SEP-2016,44.0,44.45,43.5,43.85,1101767
AMTL,06-SEP-2016,36.35,36.45,32.25,33.1,6759
ANANDAMRUB,06-SEP-2016,16.25,16.25,16.25,16.25,146
ANANTRAJ,06-SEP-2016,58.0,58.9,57.2,57.75,1249709
ANDHRABANK,06-SEP-2016,59.8,60.8,59.75,60.5,2006935
ANDHRACEMT,06-SEP-2016,9.15,9.3,8.9,9.2,412199
ANDHRSUGAR,06-SEP-2016,220.5,224.0,217.15,220.5,73613
ANGIND,06-SEP-2016,12.6,12.6,11.2,11.95,88804
ANIKINDS,06-SEP-2016,27.55,27.55,27.55,27.55,1526
