SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,07-DEC-2017,53.05,57.95,53.05,55.9,342836
3IINFOTECH,07-DEC-2017,3.85,3.9,3.85,3.85,957086
3MINDIA,07-DEC-2017,15315.05,15719.2,15315.05,15610.35,2684
5PAISA,07-DEC-2017,216.75,216.75,216.75,216.75,12932
63MOONS,07-DEC-2017,100.1,105.45,94.8,94.8,6664133
8KMILES,07-DEC-2017,929.4,955.0,923.0,942.05,319335
A2ZINFRA,07-DEC-2017,38.7,40.25,38.2,39.5,1408395
AARTIDRUGS,07-DEC-2017,549.7,569.75,549.7,561.3,10057
AARTIIND,07-DEC-2017,886.9,886.95,875.0,878.6,8983
AARVEEDEN,07-DEC-2017,45.5,48.6,45.5,47.85,64577
AARVI,07-DEC-2017,101.1,104.0,101.0,104.0,14000
ABAN,07-DEC-2017,190.9,193.9,190.0,191.85,425355
ABB,07-DEC-2017,1346.95,1375.0,1345.5,1368.05,33310
ABBOTINDIA,07-DEC-2017,5525.75,5640.8,5467.05,5591.15,5462
ABCAPITAL,07-DEC-2017,187.0,190.85,186.65,189.25,2447727
ABFRL,07-DEC-2017,165.55,170.7,165.55,170.1,537673
ABGSHIP,07-DEC-2017,13.95,13.95,13.1,13.7,20574
ABMINTLTD,07-DEC-2017,42.0,42.0,40.4,41.0,414
ACC,07-DEC-2017,1688.1,1712.0,1688.0,1703.45,165606
ACCELYA,07-DEC-2017,1374.0,1399.95,1356.4,1398.25,2003
ACE,07-DEC-2017,140.95,148.9,140.0,145.85,1752000
ADANIENT,07-DEC-2017,142.7,148.95,142.1,147.55,3346587
ADANIPORTS,07-DEC-2017,387.05,391.0,384.3,389.7,6934180
ADANIPOWER,07-DEC-2017,32.85,35.1,32.6,34.8,17549669
ADANITRANS,07-DEC-2017,195.3,196.8,191.15,195.55,1123937
ADFFOODS,07-DEC-2017,307.8,324.7,307.0,317.05,818801
ADHUNIK,07-DEC-2017,4.1,4.3,4.05,4.25,30654
ADHUNIKIND,07-DEC-2017,76.75,76.95,74.05,76.65,41328
ADLABS,07-DEC-2017,67.9,67.95,65.9,66.7,53476
ADORWELD,07-DEC-2017,496.7,514.0,492.25,498.35,36453
ADSL,07-DEC-2017,25.0,26.65,24.6,25.4,25086
ADVANIHOTR,07-DEC-2017,71.85,75.2,70.7,72.6,64220
ADVENZYMES,07-DEC-2017,270.0,289.5,266.2,287.0,627217
AEGISCHEM,07-DEC-2017,256.35,266.0,252.5,259.95,718751
AGARIND,07-DEC-2017,589.0,595.0,575.0,592.75,1067
AGCNET,07-DEC-2017,117.0,139.95,116.1,134.1,316001
AGLSL,07-DEC-2017,119.25,122.6,119.05,120.0,12453
AGRITECH,07-DEC-2017,111.6,123.2,111.6,120.25,43406
AGROPHOS,07-DEC-2017,30.95,30.95,30.6,30.9,162000
AHLEAST,07-DEC-2017,273.9,273.9,264.1,268.9,1244
AHLUCONT,07-DEC-2017,357.35,362.9,355.0,357.05,12982
AHLWEST,07-DEC-2017,272.0,280.0,270.0,273.8,1056
AIAENG,07-DEC-2017,1502.05,1518.9,1482.0,1503.9,17302
AICHAMP,07-DEC-2017,26.6,26.6,26.6,26.6,1
AIFL,07-DEC-2017,525.0,529.4,515.2,519.4,69072
AIRAN,07-DEC-2017,197.6,202.0,197.5,199.1,15000
AIROLAM,07-DEC-2017,47.9,47.9,46.0,46.4,33000
AISL,07-DEC-2017,163.2,171.0,163.2,169.75,31200
AJANTPHARM,07-DEC-2017,1271.0,1343.2,1263.9,1322.25,410964
AJMERA,07-DEC-2017,342.0,360.9,341.95,355.8,848682
AKASH,07-DEC-2017,75.0,80.0,75.0,80.0,2000
AKSHARCHEM,07-DEC-2017,668.95,674.0,659.95,667.75,15157
AKSHOPTFBR,07-DEC-2017,31.7,32.1,30.65,31.6,346450
AKZOINDIA,07-DEC-2017,1765.05,1806.95,1748.3,1763.9,18667
ALANKIT,07-DEC-2017,47.15,47.15,46.25,47.15,232886
ALBERTDAVD,07-DEC-2017,336.5,343.4,333.4,335.55,6926
ALBK,07-DEC-2017,74.0,74.9,73.65,74.55,1716801
ALCHEM,07-DEC-2017,14.25,15.0,13.8,14.05,16073
ALEMBICLTD,07-DEC-2017,40.65,41.65,40.5,41.1,415334
ALICON,07-DEC-2017,550.0,568.95,545.5,563.25,1985
ALKALI,07-DEC-2017,73.0,76.45,73.0,75.05,4967
ALKEM,07-DEC-2017,2075.0,2210.0,2058.3,2174.5,59377
ALKYLAMINE,07-DEC-2017,590.0,600.0,582.0,588.9,4053
ALLCARGO,07-DEC-2017,176.5,181.35,176.3,177.95,401377
ALLSEC,07-DEC-2017,456.9,456.9,440.9,451.0,5612
ALMONDZ,07-DEC-2017,33.0,33.0,32.3,32.3,22315
ALOKTEXT,07-DEC-2017,3.2,3.4,3.15,3.35,1152963
ALPA,07-DEC-2017,32.95,33.3,32.0,32.4,37207
ALPHAGEO,07-DEC-2017,907.9,954.3,901.05,945.2,78509
ALPSINDUS,07-DEC-2017,6.1,6.1,5.75,5.75,24454
AMARAJABAT,07-DEC-2017,765.5,775.7,761.35,766.8,233205
AMBIKCO,07-DEC-2017,1288.25,1298.9,1280.0,1282.2,3116
AMBUJACEM,07-DEC-2017,262.7,266.7,261.45,265.85,1345304
AMDIND,07-DEC-2017,46.5,47.4,46.0,46.6,32744
AMRUTANJAN,07-DEC-2017,590.0,599.0,585.15,587.2,5678
AMTEKAUTO,07-DEC-2017,26.1,26.8,25.1,25.7,338540
ANANTRAJ,07-DEC-2017,58.65,61.0,58.65,60.65,1925396
ANDHRABANK,07-DEC-2017,60.85,61.5,60.35,61.3,1230762
ANDHRACEMT,07-DEC-2017,11.2,11.5,11.05,11.3,123752
ANDHRSUGAR,07-DEC-2017,515.0,532.1,515.0,530.05,39660
ANGIND,07-DEC-2017,5.65,5.85,5.65,5.75,15888
ANIKINDS,07-DEC-2017,52.75,53.5,50.0,52.75,33503
ANSALAPI,07-DEC-2017,21.8,22.9,21.8,22.4,122886
ANSALHSG,07-DEC-2017,22.5,23.6,22.5,23.25,62425
ANTGRAPHIC,07-DEC-2017,0.8,0.9,0.8,0.9,252747
APARINDS,07-DEC-2017,770.0,773.0,758.55,770.3,4519
APCL,07-DEC-2017,232.0,233.9,230.0,231.25,2705
APCOTEXIND,07-DEC-2017,492.0,504.95,486.0,502.25,21884
APEX,07-DEC-2017,923.0,939.0,856.2,856.2,1065558
APLAPOLLO,07-DEC-2017,1881.35,1927.75,1855.7,1919.9,24386
APLLTD,07-DEC-2017,515.0,519.2,514.0,517.1,17936
APOLLOHOSP,07-DEC-2017,1150.5,1175.6,1150.0,1172.5,588537
APOLLOTYRE,07-DEC-2017,239.35,244.65,239.0,243.2,1971658
APOLSINHOT,07-DEC-2017,809.95,836.9,787.45,813.8,329
APTECHT,07-DEC-2017,349.7,366.7,349.65,363.3,1085098
ARCHIDPLY,07-DEC-2017,96.25,99.0,96.0,97.1,50094
ARCHIES,07-DEC-2017,32.25,35.1,32.0,34.9,963310
ARCOTECH,07-DEC-2017,54.0,57.45,52.7,56.7,1624686
ARIES,07-DEC-2017,225.0,225.8,220.5,223.95,19324
ARIHANT,07-DEC-2017,47.0,48.3,46.05,48.3,8413
ARIHANTSUP,07-DEC-2017,152.8,152.8,147.55,149.7,141595
ARMANFIN,07-DEC-2017,255.1,255.1,245.0,248.25,11109
AROGRANITE,07-DEC-2017,68.1,69.8,67.7,68.2,15947
ARROWGREEN,07-DEC-2017,490.0,499.75,482.55,488.9,16701
ARROWTEX,07-DEC-2017,46.1,49.7,45.2,47.55,159641
ARSHIYA,07-DEC-2017,96.05,101.45,94.0,98.35,196974
ARSSINFRA,07-DEC-2017,65.5,67.95,65.3,65.3,68090
ARVIND,07-DEC-2017,431.0,432.65,425.6,429.25,1115794
ARVSMART,07-DEC-2017,179.3,182.15,178.5,180.45,40567
ASAHIINDIA,07-DEC-2017,362.9,364.95,359.95,361.8,15544
ASAHISONG,07-DEC-2017,341.2,346.0,341.0,344.7,3148
ASAL,07-DEC-2017,79.0,84.9,78.0,83.7,26371
ASHAPURMIN,07-DEC-2017,93.55,97.55,91.2,93.45,697461
ASHIANA,07-DEC-2017,170.95,174.0,167.9,171.25,96474
ASHIMASYN,07-DEC-2017,30.5,31.35,30.5,30.65,163017
ASHOKA,07-DEC-2017,242.0,251.0,241.9,249.45,213394
ASHOKLEY,07-DEC-2017,114.85,117.35,114.6,116.9,8391644
ASIANHOTNR,07-DEC-2017,148.8,148.8,141.25,142.05,1813
ASIANPAINT,07-DEC-2017,1108.0,1151.0,1106.85,1144.4,986078
ASIANTILES,07-DEC-2017,490.0,499.0,489.05,495.55,62991
ASPINWALL,07-DEC-2017,415.0,450.0,409.4,447.2,41805
ASSAMCO,07-DEC-2017,6.0,6.0,5.65,5.75,657939
ASTEC,07-DEC-2017,532.15,540.0,522.5,525.6,13678
ASTRAL,07-DEC-2017,825.0,835.0,820.4,824.0,17023
ASTRAMICRO,07-DEC-2017,112.7,115.35,112.7,113.55,119518
ASTRAZEN,07-DEC-2017,1119.35,1134.05,1109.35,1128.25,3894
ATFL,07-DEC-2017,585.0,609.7,584.45,602.0,54591
ATLANTA,07-DEC-2017,99.35,102.65,98.75,99.95,266545
ATLASCYCLE,07-DEC-2017,206.0,210.0,202.15,207.2,10250
ATUL,07-DEC-2017,2544.0,2550.0,2500.05,2519.05,9190
ATULAUTO,07-DEC-2017,424.6,429.15,422.35,425.5,23961
AUBANK,07-DEC-2017,676.0,683.85,670.05,677.6,113863
AURDIS,07-DEC-2017,31.5,31.5,31.5,31.5,2000
AURIONPRO,07-DEC-2017,181.5,186.0,174.15,180.0,63515
AUROPHARMA,07-DEC-2017,657.95,673.0,656.15,671.55,1891701
AUSOMENT,07-DEC-2017,59.5,63.2,59.5,60.9,5794
AUTOAXLES,07-DEC-2017,1381.65,1440.0,1380.0,1427.4,67620
AUTOIND,07-DEC-2017,101.15,108.3,101.15,108.3,56434
AUTOLITIND,07-DEC-2017,68.25,70.75,68.25,70.05,8454
AVADHSUGAR,07-DEC-2017,1070.0,1117.2,1058.9,1081.75,41285
AVANTIFEED,07-DEC-2017,2644.95,2660.0,2612.95,2643.05,53083
AVTNPL,07-DEC-2017,44.95,45.7,44.4,45.25,113176
AXISBANK,07-DEC-2017,532.9,538.0,529.1,534.05,3528298
AXISCADES,07-DEC-2017,141.0,166.15,141.0,164.0,1029322
AXISGOLD,07-DEC-2017,2556.0,2556.0,2505.0,2516.45,130
AXISNIFTY,07-DEC-2017,1011.91,1011.91,1011.69,1011.69,10
AYMSYNTEX,07-DEC-2017,61.9,61.9,59.35,59.9,9273
BAFNAPHARM,07-DEC-2017,25.0,25.7,24.5,24.55,14721
BAGFILMS,07-DEC-2017,7.4,7.4,6.7,7.0,185182
BAJAJ-AUTO,07-DEC-2017,3110.65,3208.9,3110.65,3196.05,292357
BAJAJCORP,07-DEC-2017,453.0,474.9,449.0,467.8,31184
BAJAJELEC,07-DEC-2017,482.1,496.8,481.2,492.6,1321027
BAJAJFINSV,07-DEC-2017,4940.0,5093.0,4940.0,5070.2,120619
BAJAJHIND,07-DEC-2017,15.0,15.25,15.0,15.05,2203525
BAJAJHLDNG,07-DEC-2017,2899.65,2924.95,2862.1,2900.7,16814
BAJFINANCE,07-DEC-2017,1685.0,1690.15,1661.0,1676.3,986167
BALAJITELE,07-DEC-2017,156.2,159.45,155.05,158.05,218993
BALAMINES,07-DEC-2017,623.0,645.05,617.0,629.3,96303
BALKRISHNA,07-DEC-2017,68.3,69.35,68.0,68.55,15017
BALKRISIND,07-DEC-2017,2198.0,2259.9,2180.0,2242.25,330316
BALLARPUR,07-DEC-2017,13.35,13.4,13.1,13.3,771953
BALMLAWRIE,07-DEC-2017,262.0,266.0,260.8,264.55,56633
BALPHARMA,07-DEC-2017,96.95,97.0,95.1,95.65,8203
