SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,27-FEB-2017,35.9,36.4,35.55,35.65,37521
3IINFOTECH,27-FEB-2017,5.35,5.35,5.15,5.15,2475067
3MINDIA,27-FEB-2017,11240.0,11240.0,11131.05,11197.8,696
63MOONS,27-FEB-2017,80.0,82.0,79.35,79.7,54854
8KMILES,27-FEB-2017,588.05,589.8,576.05,578.9,27591
A2ZINFRA,27-FEB-2017,41.45,41.45,40.05,40.6,228769
AARTIDRUGS,27-FEB-2017,619.75,619.9,608.0,609.0,2088
AARTIIND,27-FEB-2017,785.0,789.95,769.1,786.4,24928
AARVEEDEN,27-FEB-2017,73.7,73.9,70.8,73.5,8238
ABAN,27-FEB-2017,236.35,237.7,233.65,235.05,624623
ABB,27-FEB-2017,1195.0,1209.8,1175.0,1195.7,50156
ABBOTINDIA,27-FEB-2017,4547.95,4550.0,4482.0,4496.6,68518
ABFRL,27-FEB-2017,156.0,159.0,155.2,157.6,1023733
ABGSHIP,27-FEB-2017,25.9,26.45,25.5,25.85,34967
ABIRLANUVO,27-FEB-2017,1502.0,1505.95,1465.5,1475.95,248394
ABMINTLTD,27-FEB-2017,140.0,146.1,139.2,146.1,617
ACC,27-FEB-2017,1443.45,1443.45,1410.8,1417.5,241883
ACCELYA,27-FEB-2017,1539.0,1539.0,1500.0,1507.7,913
ACE,27-FEB-2017,53.25,54.1,52.25,53.45,189519
ACROPETAL,27-FEB-2017,1.6,1.6,1.6,1.6,532
ADANIENT,27-FEB-2017,96.8,97.7,94.6,96.05,2478463
ADANIPORTS,27-FEB-2017,297.0,300.7,295.0,296.65,2116155
ADANIPOWER,27-FEB-2017,38.55,39.3,38.4,38.7,8398621
ADANITRANS,27-FEB-2017,62.75,63.75,59.0,61.65,337999
ADFFOODS,27-FEB-2017,147.3,148.7,145.05,145.75,30550
ADHUNIK,27-FEB-2017,7.55,8.6,7.45,7.65,660920
ADHUNIKIND,27-FEB-2017,109.05,109.05,101.0,102.7,43640
ADLABS,27-FEB-2017,88.0,88.9,85.15,86.95,1414189
ADORWELD,27-FEB-2017,293.5,293.5,289.0,289.2,1937
ADSL,27-FEB-2017,31.1,32.75,31.0,31.55,39813
ADVANIHOTR,27-FEB-2017,53.0,53.05,51.6,52.45,38213
ADVENZYMES,27-FEB-2017,1714.7,1739.9,1705.6,1728.75,100788
AEGISCHEM,27-FEB-2017,199.5,206.75,198.9,205.6,400700
AFL,27-FEB-2017,65.05,70.45,65.0,67.65,180250
AGARIND,27-FEB-2017,414.0,417.0,412.0,416.35,6720
AGCNET,27-FEB-2017,89.0,91.55,89.0,90.8,973
AGRITECH,27-FEB-2017,31.0,31.65,30.65,31.55,3799
AGROPHOS,27-FEB-2017,23.35,23.35,23.35,23.35,6000
AHLEAST,27-FEB-2017,223.0,225.0,217.25,221.05,588
AHLUCONT,27-FEB-2017,300.65,312.1,300.65,308.55,14420
AHLWEST,27-FEB-2017,211.0,221.0,211.0,219.85,4174
AIAENG,27-FEB-2017,1475.0,1485.0,1451.25,1479.0,41174
AIFL,27-FEB-2017,420.0,421.6,408.0,411.15,98348
AJANTPHARM,27-FEB-2017,1712.0,1741.45,1701.0,1735.1,128802
AJMERA,27-FEB-2017,175.6,178.0,175.1,176.25,53863
AKSHOPTFBR,27-FEB-2017,22.85,22.85,22.15,22.2,1014805
AKZOINDIA,27-FEB-2017,1521.0,1521.0,1497.0,1505.9,7605
ALANKIT,27-FEB-2017,28.45,29.1,27.9,28.0,2285839
ALBERTDAVD,27-FEB-2017,353.8,359.9,337.2,339.7,4075
ALBK,27-FEB-2017,73.1,73.5,71.2,71.45,4668065
ALCHEM,27-FEB-2017,22.0,22.1,21.45,21.95,3092
ALEMBICLTD,27-FEB-2017,38.75,40.1,38.4,39.2,676335
ALICON,27-FEB-2017,380.0,384.9,372.0,372.7,1483
ALKALI,27-FEB-2017,79.75,81.0,79.0,79.4,9891
ALKEM,27-FEB-2017,2077.9,2185.0,2075.0,2154.75,191498
ALKYLAMINE,27-FEB-2017,372.8,372.8,363.2,369.55,4641
ALLCARGO,27-FEB-2017,165.8,166.0,163.75,165.15,199518
ALLSEC,27-FEB-2017,430.0,430.0,420.0,421.35,11977
ALMONDZ,27-FEB-2017,14.6,14.6,14.0,14.1,2606
ALOKTEXT,27-FEB-2017,3.45,3.45,3.3,3.3,2696397
ALPA,27-FEB-2017,42.0,42.0,41.0,41.05,6777
ALPHAGEO,27-FEB-2017,974.85,974.85,950.35,958.7,10212
