SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,27-APR-2018,49.6,50.95,49.0,49.15,89389
21STCENMGM,27-APR-2018,43.85,43.85,43.85,43.85,1101
3IINFOTECH,27-APR-2018,4.95,5.0,4.8,4.9,2743540
3MINDIA,27-APR-2018,20356.15,20505.2,20356.15,20479.2,885
5PAISA,27-APR-2018,371.6,385.4,360.0,385.4,19302
63MOONS,27-APR-2018,91.25,92.5,90.05,90.55,269523
8KMILES,27-APR-2018,817.0,826.5,792.1,795.65,159603
A2ZINFRA,27-APR-2018,27.8,27.9,26.6,27.1,260368
AAKASH,27-APR-2018,55.75,57.0,53.0,57.0,224000
AARTIDRUGS,27-APR-2018,568.3,589.0,568.3,584.4,12305
AARTIIND,27-APR-2018,1314.15,1330.0,1307.9,1325.9,38869
AARVEEDEN,27-APR-2018,45.0,45.0,43.25,43.9,11791
ABAN,27-APR-2018,173.5,179.3,172.3,173.85,1490909
ABB,27-APR-2018,1347.7,1378.0,1331.55,1339.75,67230
ABBOTINDIA,27-APR-2018,6148.6,6187.95,6091.85,6157.75,22049
ABCAPITAL,27-APR-2018,156.55,158.3,155.7,156.3,1007200
ABFRL,27-APR-2018,146.3,147.8,144.3,145.3,181378
ABGSHIP,27-APR-2018,7.7,7.7,7.2,7.2,33826
ABMINTLTD,27-APR-2018,30.1,30.1,30.1,30.1,11
ACC,27-APR-2018,1551.9,1564.45,1546.55,1559.6,228633
ACCELYA,27-APR-2018,1380.1,1380.1,1321.0,1348.2,11157
ACE,27-APR-2018,183.5,185.9,182.0,183.2,503834
ADANIENT,27-APR-2018,140.95,148.6,140.25,141.8,7560641
ADANIPORTS,27-APR-2018,398.3,405.9,398.3,402.45,8210865
ADANIPOWER,27-APR-2018,24.5,25.45,24.4,25.3,11772328
ADANITRANS,27-APR-2018,169.0,174.8,167.4,169.55,1921518
ADFFOODS,27-APR-2018,233.8,241.95,233.0,239.0,99454
ADHUNIK,27-APR-2018,3.9,4.05,3.7,3.8,34645
ADHUNIKIND,27-APR-2018,80.8,80.8,77.8,80.3,5663
ADLABS,27-APR-2018,51.15,51.9,49.85,50.35,53271
ADORWELD,27-APR-2018,394.25,402.45,390.0,392.8,5588
ADROITINFO,27-APR-2018,31.8,31.95,31.2,31.7,3222
ADSL,27-APR-2018,23.0,23.0,21.6,21.95,28497
ADVANIHOTR,27-APR-2018,67.9,67.9,66.0,66.3,4946
ADVENZYMES,27-APR-2018,252.25,261.0,249.8,254.6,431462
AEGISCHEM,27-APR-2018,286.4,291.55,284.15,287.45,60267
AFL,27-APR-2018,48.6,55.5,48.5,54.0,19540
AGARIND,27-APR-2018,330.0,330.0,320.1,321.5,769
AGCNET,27-APR-2018,131.5,139.6,130.5,132.0,70097
AGLSL,27-APR-2018,105.0,109.95,105.0,105.85,18266
AGRITECH,27-APR-2018,141.55,143.75,137.0,138.05,30025
AGROPHOS,27-APR-2018,39.5,39.6,39.5,39.6,24000
AHLEAST,27-APR-2018,364.0,371.0,360.0,360.2,8795
AHLUCONT,27-APR-2018,421.05,425.0,420.05,422.2,6200
AHLWEST,27-APR-2018,357.2,375.0,349.7,349.7,1619
AIAENG,27-APR-2018,1428.9,1440.05,1409.7,1435.65,29028
AICHAMP,27-APR-2018,26.4,29.0,26.4,29.0,2090
AIFL,27-APR-2018,511.0,521.0,503.15,506.7,148250
AIRAN,27-APR-2018,243.0,247.9,243.0,243.0,9000
AIROLAM,27-APR-2018,44.8,44.8,43.05,43.9,18000
AISL,27-APR-2018,117.1,120.25,117.1,120.25,3600
AJANTPHARM,27-APR-2018,1366.9,1370.45,1342.0,1353.45,140661
AJMERA,27-APR-2018,269.95,270.4,259.6,262.1,57307
AJOONI,27-APR-2018,31.0,32.5,31.0,32.5,8000
AKSHARCHEM,27-APR-2018,658.65,658.7,630.0,634.6,3263
AKSHOPTFBR,27-APR-2018,34.7,35.9,34.1,34.6,426063
AKZOINDIA,27-APR-2018,1908.05,1925.0,1905.6,1915.75,2507
