SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,28-AUG-2018,47.2,48.0,46.1,47.15,76297
21STCENMGM,28-AUG-2018,37.4,37.4,36.0,36.0,1958
3IINFOTECH,28-AUG-2018,3.5,3.55,3.45,3.5,1491610
3MINDIA,28-AUG-2018,25900.0,25900.0,25550.0,25598.75,1233
3PLAND,28-AUG-2018,12.0,12.6,12.0,12.6,1915
5PAISA,28-AUG-2018,333.75,344.85,311.1,318.5,26818
63MOONS,28-AUG-2018,79.05,81.25,79.05,79.45,146474
8KMILES,28-AUG-2018,320.0,321.05,310.65,310.65,62293
A2ZINFRA,28-AUG-2018,21.3,21.55,21.05,21.2,203802
AARTIDRUGS,28-AUG-2018,552.8,555.0,543.2,547.4,10078
AARTIIND,28-AUG-2018,1366.2,1378.85,1320.0,1335.6,29990
AARVEEDEN,28-AUG-2018,30.85,30.85,28.75,28.9,27325
ABAN,28-AUG-2018,113.65,122.5,113.5,117.65,1653225
ABB,28-AUG-2018,1329.9,1330.45,1303.0,1307.25,52698
ABBOTINDIA,28-AUG-2018,7963.3,8058.15,7900.0,7962.5,45443
ABCAPITAL,28-AUG-2018,139.2,139.85,137.8,138.2,1084664
ABFRL,28-AUG-2018,209.85,213.7,204.65,206.6,2852685
ABGSHIP,28-AUG-2018,5.05,5.05,4.75,4.9,19560
ABMINTLTD,28-AUG-2018,16.25,16.25,16.25,16.25,25
ACC,28-AUG-2018,1658.85,1669.55,1617.0,1623.65,874234
ACCELYA,28-AUG-2018,999.85,1000.0,996.15,997.4,5292
ACCURACY,28-AUG-2018,89.0,89.0,89.0,89.0,1600
ACE,28-AUG-2018,137.2,140.5,134.6,135.5,299212
ADANIENT,28-AUG-2018,212.65,232.5,209.45,229.7,36388656
ADANIGREEN,28-AUG-2018,56.1,58.25,55.35,58.25,895093
ADANIPORTS,28-AUG-2018,380.4,388.4,376.15,386.95,5128415
ADANIPOWER,28-AUG-2018,33.4,35.75,32.5,34.85,68572510
ADANITRANS,28-AUG-2018,204.0,240.0,201.0,233.4,15146902
ADFFOODS,28-AUG-2018,250.8,252.0,247.0,250.05,30663
ADHUNIK,28-AUG-2018,3.55,3.65,3.4,3.6,53074
ADHUNIKIND,28-AUG-2018,70.0,71.0,69.3,70.3,16947
ADLABS,28-AUG-2018,34.95,36.0,34.75,35.1,51516
ADORWELD,28-AUG-2018,352.7,353.0,349.95,350.25,8258
ADROITINFO,28-AUG-2018,26.4,27.75,26.4,27.75,13176
ADSL,28-AUG-2018,14.35,15.0,14.35,14.65,7704
ADVANIHOTR,28-AUG-2018,49.1,50.9,49.0,49.25,8546
ADVENZYMES,28-AUG-2018,209.5,212.0,207.0,207.7,68533
AEGISCHEM,28-AUG-2018,231.0,234.5,228.6,232.55,97969
