SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,18-MAY-2018,43.45,44.25,42.45,42.55,54577
21STCENMGM,18-MAY-2018,41.0,41.0,40.7,40.7,3161
3IINFOTECH,18-MAY-2018,4.25,4.3,4.2,4.3,1305178
3MINDIA,18-MAY-2018,20108.5,20300.0,19840.0,19870.75,1959
3PLAND,18-MAY-2018,14.0,14.15,13.0,13.05,3292
5PAISA,18-MAY-2018,435.45,443.55,413.1,413.1,7291
63MOONS,18-MAY-2018,81.4,85.5,79.1,80.3,231260
8KMILES,18-MAY-2018,630.0,633.0,592.25,597.95,194518
A2ZINFRA,18-MAY-2018,21.9,22.6,20.7,21.3,701927
AARTIDRUGS,18-MAY-2018,562.65,562.75,546.0,549.85,5252
AARTIIND,18-MAY-2018,1275.0,1291.9,1258.15,1260.5,27600
AARVEEDEN,18-MAY-2018,43.0,43.25,40.35,40.55,10981
AARVI,18-MAY-2018,92.0,92.0,90.0,90.0,4000
ABAN,18-MAY-2018,170.0,171.8,160.8,161.6,1177112
ABB,18-MAY-2018,1228.4,1231.6,1214.05,1216.35,17789
ABBOTINDIA,18-MAY-2018,6813.45,6839.05,6650.0,6727.85,3959
ABCAPITAL,18-MAY-2018,147.4,152.8,146.5,147.5,3343365
ABFRL,18-MAY-2018,145.55,149.35,143.0,143.65,311656
ABGSHIP,18-MAY-2018,6.0,6.05,5.55,5.55,15462
ABMINTLTD,18-MAY-2018,23.7,23.7,23.7,23.7,12
ACC,18-MAY-2018,1400.5,1405.45,1365.25,1374.35,432586
ACCELYA,18-MAY-2018,1261.5,1277.8,1249.95,1251.5,6736
ACCORD,18-MAY-2018,45.0,45.0,44.8,44.8,4000
ACE,18-MAY-2018,179.0,180.9,172.7,173.85,529124
ADANIENT,18-MAY-2018,123.8,124.0,117.55,118.6,4125360
ADANIPORTS,18-MAY-2018,396.15,397.1,384.05,389.5,3895361
ADANIPOWER,18-MAY-2018,22.45,22.55,20.85,21.15,9036639
ADANITRANS,18-MAY-2018,132.45,132.8,122.9,128.15,1385463
ADFFOODS,18-MAY-2018,272.45,273.0,261.15,263.55,902787
ADHUNIK,18-MAY-2018,3.25,3.3,3.05,3.25,62432
ADHUNIKIND,18-MAY-2018,72.9,72.9,66.7,70.3,273701
ADLABS,18-MAY-2018,46.0,46.7,44.6,45.2,71778
ADORWELD,18-MAY-2018,360.05,365.65,355.2,356.95,6555
