SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,18-JAN-2019,41.2,42.15,41.2,41.7,7469
21STCENMGM,18-JAN-2019,23.0,23.45,22.55,22.55,199
3IINFOTECH,18-JAN-2019,3.8,4.1,3.6,3.9,9652435
3MINDIA,18-JAN-2019,20979.95,21040.0,20790.05,20984.5,952
3PLAND,18-JAN-2019,12.4,12.4,10.8,10.95,3679
5PAISA,18-JAN-2019,288.0,290.0,270.0,273.1,61102
63MOONS,18-JAN-2019,93.45,93.95,90.0,90.15,154785
717GS2028,18-JAN-2019,96.5,96.5,96.5,96.5,3
8KMILES,18-JAN-2019,145.6,152.75,145.6,151.8,608056
A2ZINFRA,18-JAN-2019,12.85,12.85,12.65,12.7,75787
AARON,18-JAN-2019,42.25,42.25,42.25,42.25,12000
AARTIDRUGS,18-JAN-2019,604.7,609.05,600.0,600.3,4537
AARTIIND,18-JAN-2019,1534.8,1558.0,1495.5,1549.55,35355
AARVEEDEN,18-JAN-2019,25.9,25.95,25.15,25.65,1812
AARVI,18-JAN-2019,43.0,43.55,43.0,43.55,6000
AAVAS,18-JAN-2019,860.0,860.0,836.8,842.6,3431
ABAN,18-JAN-2019,74.3,74.3,72.65,72.95,316806
ABB,18-JAN-2019,1290.0,1294.3,1274.0,1276.1,32134
ABBOTINDIA,18-JAN-2019,8177.9,8177.9,8060.75,8098.35,965
ABCAPITAL,18-JAN-2019,95.5,95.75,93.5,93.7,977308
ABFRL,18-JAN-2019,203.4,207.7,200.45,203.25,1525355
ABGSHIP,18-JAN-2019,1.9,1.95,1.85,1.95,47053
ACC,18-JAN-2019,1468.0,1468.0,1435.0,1439.75,335850
ACCELYA,18-JAN-2019,938.05,945.0,905.3,932.0,83571
ACE,18-JAN-2019,97.95,97.95,95.0,95.75,105883
ACEINTEG,18-JAN-2019,25.75,25.8,25.75,25.8,6000
ADANIENT,18-JAN-2019,149.7,149.8,144.55,146.75,2306520
ADANIGAS,18-JAN-2019,99.1,99.5,97.0,98.6,378266
ADANIGREEN,18-JAN-2019,39.65,40.15,38.35,38.75,180157
ADANIPORTS,18-JAN-2019,396.5,399.95,392.25,399.3,3617922
ADANIPOWER,18-JAN-2019,51.55,52.1,50.05,50.75,11090779
ADANITRANS,18-JAN-2019,221.15,221.45,215.05,216.0,64014
ADFFOODS,18-JAN-2019,271.55,272.4,263.5,265.35,26365
ADHUNIK,18-JAN-2019,2.45,2.45,2.35,2.35,38177
ADHUNIKIND,18-JAN-2019,47.6,47.6,44.45,45.55,4534
ADLABS,18-JAN-2019,10.9,11.0,10.45,10.5,237296
ADORWELD,18-JAN-2019,382.45,382.45,372.45,373.8,10545
ADROITINFO,18-JAN-2019,19.5,19.5,17.65,18.45,2304
ADSL,18-JAN-2019,14.15,14.6,13.85,14.45,16088
ADVANIHOTR,18-JAN-2019,73.1,74.9,72.25,72.5,13561
ADVENZYMES,18-JAN-2019,170.65,172.5,165.2,170.4,40685
AEGISCHEM,18-JAN-2019,206.6,207.35,196.1,197.35,57731
AGARIND,18-JAN-2019,175.5,175.65,171.9,174.3,1428
AGCNET,18-JAN-2019,119.0,119.2,107.95,112.2,9879
AGLSL,18-JAN-2019,70.0,71.0,67.55,69.0,22172
AGRITECH,18-JAN-2019,59.35,60.1,58.5,59.2,5291
AGROPHOS,18-JAN-2019,53.2,53.25,53.1,53.1,24000
AHLEAST,18-JAN-2019,249.0,257.0,248.1,253.6,2385
AHLUCONT,18-JAN-2019,315.0,315.0,306.1,308.05,5583
AHLWEST,18-JAN-2019,309.75,309.75,304.95,304.95,62
AIAENG,18-JAN-2019,1646.0,1690.0,1646.0,1682.35,16178
AIFL,18-JAN-2019,24.35,24.35,23.3,23.35,59145
AIONJSW,18-JAN-2019,38.6,38.7,37.0,38.05,28314
AJANTPHARM,18-JAN-2019,1149.4,1151.65,1129.1,1140.8,171263
AJMERA,18-JAN-2019,188.05,190.75,180.5,182.6,250910
AJOONI,18-JAN-2019,29.0,29.0,27.0,27.25,148000
AKASH,18-JAN-2019,68.5,68.5,68.5,68.5,1000
AKSHARCHEM,18-JAN-2019,431.4,431.4,424.05,425.7,676
AKSHOPTFBR,18-JAN-2019,23.75,23.85,23.35,23.4,531330
AKZOINDIA,18-JAN-2019,1747.0,1747.0,1725.0,1725.3,2315
ALANKIT,18-JAN-2019,27.1,27.25,26.8,26.95,314456
ALBERTDAVD,18-JAN-2019,414.95,414.95,402.15,404.35,2060
ALBK,18-JAN-2019,44.6,44.6,43.55,43.8,2404477
ALCHEM,18-JAN-2019,2.7,2.7,2.5,2.7,26646
ALEMBICLTD,18-JAN-2019,44.95,45.9,44.2,44.35,219027
ALICON,18-JAN-2019,570.3,575.0,567.0,567.85,1538
ALKALI,18-JAN-2019,54.75,54.75,53.15,53.85,2633
ALKEM,18-JAN-2019,1890.9,1969.0,1877.0,1897.25,46132
ALKYLAMINE,18-JAN-2019,800.85,801.0,790.1,794.65,2458
ALLCARGO,18-JAN-2019,111.5,111.8,110.0,111.2,60864
ALLSEC,18-JAN-2019,187.0,188.8,182.35,183.9,5082
ALMONDZ,18-JAN-2019,25.85,25.85,23.9,25.8,379
ALOKTEXT,18-JAN-2019,3.6,3.7,3.6,3.65,1321395
ALPA,18-JAN-2019,26.0,30.35,24.5,30.35,616006
ALPHAGEO,18-JAN-2019,479.95,480.3,468.1,474.55,1442
AMARAJABAT,18-JAN-2019,785.2,787.75,775.0,782.05,395333
AMBER,18-JAN-2019,899.6,899.6,885.0,889.65,1186
AMBIKCO,18-JAN-2019,1153.05,1155.6,1138.0,1142.3,1473
AMBUJACEM,18-JAN-2019,215.7,216.0,212.2,212.65,787152
AMDIND,18-JAN-2019,26.3,26.95,26.05,26.85,13054
AMJLAND,18-JAN-2019,22.0,25.5,22.0,22.45,93274
AMJUMBO,18-JAN-2019,50.1,56.4,50.1,55.9,24000
AMRUTANJAN,18-JAN-2019,311.5,317.4,306.25,310.5,66406
ANANTRAJ,18-JAN-2019,34.9,35.15,34.25,34.5,217078
ANDHRABANK,18-JAN-2019,28.8,28.85,28.5,28.6,347821
ANDHRACEMT,18-JAN-2019,5.85,5.85,5.7,5.8,45977
ANDHRSUGAR,18-JAN-2019,328.1,330.75,321.05,325.95,14388
ANGIND,18-JAN-2019,1.2,1.25,1.15,1.15,369
ANIKINDS,18-JAN-2019,22.8,23.9,22.2,22.25,12289
ANKITMETAL,18-JAN-2019,0.5,0.5,0.45,0.45,40593
ANSALAPI,18-JAN-2019,14.3,14.3,13.5,13.6,197689
ANSALHSG,18-JAN-2019,14.5,14.6,13.6,13.85,128973
ANTGRAPHIC,18-JAN-2019,0.45,0.5,0.45,0.5,12877
APARINDS,18-JAN-2019,626.5,627.0,620.55,621.25,2143
APCL,18-JAN-2019,131.65,132.0,126.15,129.4,1517
APCOTEXIND,18-JAN-2019,522.0,534.0,518.0,518.8,3100
APEX,18-JAN-2019,361.4,362.85,352.0,353.95,16450
APLAPOLLO,18-JAN-2019,1141.9,1198.0,1139.0,1189.2,23246
APLLTD,18-JAN-2019,594.8,614.0,583.75,588.5,461074
APOLLO,18-JAN-2019,124.45,127.8,121.65,123.4,26332
APOLLOHOSP,18-JAN-2019,1350.0,1372.9,1335.05,1366.3,702678
APOLLOTYRE,18-JAN-2019,219.5,221.0,217.5,217.9,1519378
APOLSINHOT,18-JAN-2019,1025.0,1074.0,1012.5,1012.5,1092
APTECHT,18-JAN-2019,203.65,203.65,191.6,193.2,249248
ARCHIDPLY,18-JAN-2019,42.95,43.0,41.7,41.8,9027
ARCHIES,18-JAN-2019,28.7,28.7,28.1,28.35,33471
ARCOTECH,18-JAN-2019,7.3,7.4,7.05,7.15,30445
ARIES,18-JAN-2019,99.85,100.5,97.45,98.15,33453
ARIHANT,18-JAN-2019,37.0,37.6,35.1,36.65,2648
ARIHANTSUP,18-JAN-2019,54.5,55.9,54.5,54.8,21259
ARMANFIN,18-JAN-2019,408.85,408.85,397.1,397.2,916
AROGRANITE,18-JAN-2019,55.05,55.15,53.15,53.2,6011
ARROWGREEN,18-JAN-2019,107.5,107.5,99.0,100.15,5985
ARROWTEX,18-JAN-2019,20.75,21.0,20.5,20.7,14320
ARSHIYA,18-JAN-2019,32.0,32.0,30.8,31.0,54265
ARSSINFRA,18-JAN-2019,36.75,37.2,34.75,36.05,19293
ARVIND,18-JAN-2019,94.6,95.2,92.8,93.1,914293
ARVSMART,18-JAN-2019,125.05,128.25,123.25,124.3,37083
ASAHIINDIA,18-JAN-2019,257.25,257.45,255.0,255.0,7863
ASAHISONG,18-JAN-2019,213.3,215.0,212.0,213.95,1315
ASAL,18-JAN-2019,81.3,83.0,80.0,82.2,11794
ASHAPURMIN,18-JAN-2019,28.5,29.2,28.05,28.3,41760
ASHIANA,18-JAN-2019,118.7,119.75,115.75,116.3,14916
ASHIMASYN,18-JAN-2019,16.5,17.2,16.1,16.8,76980
ASHOKA,18-JAN-2019,135.0,135.5,131.65,133.75,42260
ASHOKLEY,18-JAN-2019,93.35,93.55,92.0,92.3,10880766
ASIANHOTNR,18-JAN-2019,151.95,151.95,148.0,149.65,2988
ASIANPAINT,18-JAN-2019,1391.0,1404.75,1383.0,1400.45,1092189
ASIANTILES,18-JAN-2019,156.45,160.8,151.3,153.45,120300
ASPINWALL,18-JAN-2019,166.0,169.5,164.0,165.95,552
ASSAMCO,18-JAN-2019,1.85,1.95,1.85,1.95,125344
ASTEC,18-JAN-2019,517.75,520.0,510.5,512.1,4518
ASTERDM,18-JAN-2019,164.0,165.8,161.2,163.35,37105
ASTRAL,18-JAN-2019,1120.0,1120.0,1095.0,1099.1,25946
ASTRAMICRO,18-JAN-2019,82.9,83.9,81.3,81.85,102107
ASTRAZEN,18-JAN-2019,1603.15,1626.15,1599.95,1600.3,3213
ASTRON,18-JAN-2019,114.0,124.5,112.0,120.85,425173
ATFL,18-JAN-2019,616.3,619.0,601.1,604.4,3767
ATLANTA,18-JAN-2019,22.1,22.2,21.5,21.55,33752
ATLASCYCLE,18-JAN-2019,77.0,78.0,77.0,77.4,1649
ATUL,18-JAN-2019,3566.0,3584.0,3510.1,3552.85,55762
ATULAUTO,18-JAN-2019,331.45,344.05,325.8,334.35,93452
AUBANK,18-JAN-2019,625.0,641.8,606.1,622.2,645567
AURDIS,18-JAN-2019,38.0,38.95,38.0,38.95,18000
AURIONPRO,18-JAN-2019,132.7,133.0,128.85,130.4,8787
AUROPHARMA,18-JAN-2019,780.1,781.0,763.0,770.05,2473473
AUSOMENT,18-JAN-2019,42.95,42.95,40.0,41.05,9857
AUTOAXLES,18-JAN-2019,1220.0,1232.0,1208.0,1211.45,4838
AUTOIND,18-JAN-2019,67.15,67.4,65.05,65.8,13500
AUTOLITIND,18-JAN-2019,40.75,40.9,40.1,40.15,511
AVADHSUGAR,18-JAN-2019,393.0,393.0,381.6,384.6,13973
AVANTIFEED,18-JAN-2019,382.9,382.9,372.1,373.6,97464
AVG,18-JAN-2019,78.9,81.0,78.9,81.0,12000
AVONMPL,18-JAN-2019,38.7,42.8,38.7,42.8,18000
AVTNPL,18-JAN-2019,26.3,26.55,26.2,26.25,13972
AXISBANK,18-JAN-2019,674.9,676.05,661.45,664.6,7037386
AXISCADES,18-JAN-2019,81.3,82.4,81.05,81.45,13418
AXISGOLD,18-JAN-2019,2862.0,2865.0,2841.0,2841.0,40
AXISNIFTY,18-JAN-2019,1103.65,1103.65,1103.65,1103.65,30
AYMSYNTEX,18-JAN-2019,40.65,40.65,38.35,38.5,21659
BAFNAPHARM,18-JAN-2019,11.4,11.55,11.05,11.3,8489
BAGFILMS,18-JAN-2019,5.0,5.25,5.0,5.0,88414
BAJAJ-AUTO,18-JAN-2019,2741.0,2746.5,2696.65,2720.75,269686
BAJAJCON,18-JAN-2019,369.05,372.0,368.5,370.05,90514
BAJAJELEC,18-JAN-2019,473.25,473.25,464.4,468.6,89186
BAJAJFINSV,18-JAN-2019,6366.1,6379.95,6230.0,6249.9,191626
BAJAJHIND,18-JAN-2019,9.15,9.2,8.9,8.95,1725174
BAJAJHLDNG,18-JAN-2019,2976.95,2988.0,2952.1,2960.4,5107
BAJFINANCE,18-JAN-2019,2545.0,2555.0,2525.1,2542.9,753775
BALAJITELE,18-JAN-2019,99.7,99.7,97.6,97.9,49103
BALAMINES,18-JAN-2019,486.15,486.15,472.5,476.1,9699
BALKRISHNA,18-JAN-2019,49.05,49.5,48.1,48.3,4894
BALKRISIND,18-JAN-2019,874.45,875.3,865.15,868.4,252535
BALLARPUR,18-JAN-2019,4.65,4.65,4.4,4.5,588832
BALMLAWRIE,18-JAN-2019,200.3,200.3,194.1,194.8,45047
BALPHARMA,18-JAN-2019,79.95,80.0,78.5,78.75,5845
BALRAMCHIN,18-JAN-2019,111.15,111.25,107.2,108.75,1910598
BANARBEADS,18-JAN-2019,48.4,48.4,47.0,47.2,544
BANARISUG,18-JAN-2019,1460.0,1462.0,1440.1,1445.8,291
BANCOINDIA,18-JAN-2019,180.8,182.5,179.4,180.6,27390
BANDHANBNK,18-JAN-2019,452.0,452.6,439.0,440.15,518541
BANG,18-JAN-2019,58.5,60.2,57.4,58.25,127452
BANKBARODA,18-JAN-2019,119.2,119.9,117.55,118.0,6772442
