SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
20MICRONS,27-NOV-2019,33.6,35.0,33.6,34.35,61280
21STCENMGM,27-NOV-2019,13.4,13.85,13.35,13.35,1708
3IINFOTECH,27-NOV-2019,1.95,2.0,1.9,1.95,882954
3MINDIA,27-NOV-2019,22690.0,22690.0,22369.05,22383.05,1068
3PLAND,27-NOV-2019,6.15,6.15,6.15,6.15,50
5PAISA,27-NOV-2019,157.35,161.7,155.0,159.4,1576
63MOONS,27-NOV-2019,106.3,109.9,105.85,107.4,99874
762GS2039,27-NOV-2019,96.0,96.0,96.0,96.0,100
A2ZINFRA,27-NOV-2019,8.85,8.95,8.75,8.75,118634
AARON,27-NOV-2019,48.85,48.85,48.85,48.85,3300
AARTIDRUGS,27-NOV-2019,519.15,528.0,519.1,524.35,6928
AARTIIND,27-NOV-2019,798.2,821.1,797.0,817.45,104469
AARVEEDEN,27-NOV-2019,13.25,13.5,12.5,12.65,2140
AAVAS,27-NOV-2019,1830.0,1837.0,1772.7,1790.55,61745
ABAN,27-NOV-2019,27.5,27.5,25.5,26.45,36344
ABB,27-NOV-2019,1421.4,1443.0,1413.05,1438.85,46215
ABBOTINDIA,27-NOV-2019,12645.0,12800.0,12507.0,12557.15,7412
ABCAPITAL,27-NOV-2019,106.7,110.45,102.85,109.15,11668396
ABFRL,27-NOV-2019,212.7,223.0,212.65,220.5,487658
ABSLBANETF,27-NOV-2019,317.5,317.69,317.08,317.69,76
ABSLRIF6RG,27-NOV-2019,6.98,6.98,6.98,6.98,3000
ACC,27-NOV-2019,1486.85,1517.0,1483.85,1501.2,1028570
ACCELYA,27-NOV-2019,950.8,961.5,950.1,959.2,25980
ACCURACY,27-NOV-2019,28.4,28.4,26.2,27.1,6400
ACE,27-NOV-2019,77.25,77.25,74.6,75.2,62602
ADANIENT,27-NOV-2019,209.9,215.2,208.5,213.55,4051404
ADANIGAS,27-NOV-2019,146.1,147.2,146.1,146.7,312919
ADANIGREEN,27-NOV-2019,115.8,126.65,115.4,125.9,5101074
ADANIPORTS,27-NOV-2019,372.0,374.35,367.25,372.95,1417796
ADANIPOWER,27-NOV-2019,61.5,62.35,61.0,61.7,4946721
ADANITRANS,27-NOV-2019,278.65,286.45,277.1,281.4,380742
ADFFOODS,27-NOV-2019,291.0,294.0,287.75,291.2,12177
ADHUNIK,27-NOV-2019,0.5,0.55,0.45,0.45,63049
ADHUNIKIND,27-NOV-2019,114.7,117.9,114.05,117.5,84755
ADLABS,27-NOV-2019,3.85,3.85,3.85,3.85,68898
ADORWELD,27-NOV-2019,307.0,312.9,305.25,310.55,3099
ADROITINFO,27-NOV-2019,9.75,9.75,9.4,9.75,1699
ADSL,27-NOV-2019,19.5,22.4,18.0,22.4,1003061
ADVANIHOTR,27-NOV-2019,54.15,56.1,54.1,55.75,14732
ADVENZYMES,27-NOV-2019,167.7,167.7,165.0,165.5,39913
AEGISCHEM,27-NOV-2019,194.5,194.65,188.0,188.95,88565
AFFLE,27-NOV-2019,1550.0,1601.75,1550.0,1587.9,129652
AGARIND,27-NOV-2019,106.25,107.85,100.25,102.0,4452
AGCNET,27-NOV-2019,116.05,123.95,116.05,123.95,1352
AGRITECH,27-NOV-2019,43.2,43.5,42.0,43.35,3177
AGROPHOS,27-NOV-2019,130.45,131.35,130.45,131.2,625793
AHIMSA,27-NOV-2019,29.5,29.75,29.5,29.75,24000
AHLEAST,27-NOV-2019,177.0,196.95,176.75,181.15,1009
AHLUCONT,27-NOV-2019,276.9,279.0,274.15,276.5,3582
AHLWEST,27-NOV-2019,316.05,340.35,316.05,325.2,478
AIAENG,27-NOV-2019,1621.0,1649.0,1620.05,1632.9,6953
AIONJSW,27-NOV-2019,10.1,10.1,9.9,9.95,51737
AIRAN,27-NOV-2019,10.8,11.2,10.8,10.95,2344
AIROLAM,27-NOV-2019,27.05,30.95,27.05,29.0,9000
AJANTPHARM,27-NOV-2019,1010.0,1016.4,995.35,1002.35,45697
AJMERA,27-NOV-2019,120.0,121.5,118.5,118.7,14677
AKASH,27-NOV-2019,63.5,63.65,61.25,63.65,2600
AKG,27-NOV-2019,31.7,31.7,31.2,31.4,20000
AKSHARCHEM,27-NOV-2019,208.0,208.0,176.1,189.55,38881
AKSHOPTFBR,27-NOV-2019,6.75,7.1,6.75,7.05,259895
AKZOINDIA,27-NOV-2019,1930.0,1943.95,1901.0,1903.4,15750
ALANKIT,27-NOV-2019,14.55,14.55,13.55,13.9,19359
ALBERTDAVD,27-NOV-2019,407.65,416.75,405.75,410.85,1744
ALBK,27-NOV-2019,23.5,23.75,23.05,23.15,1999756
ALCHEM,27-NOV-2019,1.0,1.0,0.9,0.9,13901
ALEMBICLTD,27-NOV-2019,53.65,54.75,52.1,53.95,259631
ALICON,27-NOV-2019,373.9,389.95,373.9,377.75,1296
ALKALI,27-NOV-2019,41.95,41.95,40.1,40.15,7972
ALKEM,27-NOV-2019,2080.0,2097.7,1980.0,2000.35,165045
ALKYLAMINE,27-NOV-2019,1042.4,1107.45,1032.0,1070.05,81057
ALLCARGO,27-NOV-2019,94.3,94.4,91.9,92.45,120191
ALLSEC,27-NOV-2019,283.0,283.0,275.0,275.25,4845
ALMONDZ,27-NOV-2019,9.2,9.35,9.2,9.35,125
ALOKTEXT,27-NOV-2019,2.8,2.8,2.8,2.8,245060
ALPA,27-NOV-2019,16.5,16.5,15.3,15.75,7203
ALPHAGEO,27-NOV-2019,162.0,169.05,159.0,168.15,11309
ALPSINDUS,27-NOV-2019,1.05,1.1,1.05,1.1,5265
AMARAJABAT,27-NOV-2019,770.0,784.95,753.0,763.3,1464321
AMBER,27-NOV-2019,995.45,1017.65,987.05,1006.0,63562
AMBIKCO,27-NOV-2019,879.9,879.95,863.0,866.05,1525
AMBUJACEM,27-NOV-2019,200.7,205.2,200.05,203.7,2692917
AMDIND,27-NOV-2019,16.3,17.05,16.3,16.75,2288
AMJLAND,27-NOV-2019,18.75,19.5,18.75,19.4,6401
AMRUTANJAN,27-NOV-2019,473.0,492.15,452.5,463.1,61796
ANANTRAJ,27-NOV-2019,33.45,34.5,33.2,33.95,277161
ANDHRABANK,27-NOV-2019,18.7,18.95,18.45,18.55,529972
ANDHRACEMT,27-NOV-2019,2.45,2.5,2.35,2.45,66445
ANDHRSUGAR,27-NOV-2019,291.05,297.9,291.0,292.3,19474
ANIKINDS,27-NOV-2019,8.65,9.5,8.65,8.7,208
ANKITMETAL,27-NOV-2019,1.0,1.0,0.95,1.0,103707
ANSALAPI,27-NOV-2019,4.6,4.9,4.6,4.9,60783
ANSALHSG,27-NOV-2019,6.1,6.1,5.9,6.05,39138
ANTGRAPHIC,27-NOV-2019,0.55,0.6,0.5,0.6,12922
ANUP,27-NOV-2019,458.0,464.95,452.0,456.7,44857
APARINDS,27-NOV-2019,463.3,465.55,452.0,459.25,34699
APCL,27-NOV-2019,146.7,151.35,144.0,147.15,3643
APCOTEXIND,27-NOV-2019,162.2,163.95,162.0,162.7,7174
APEX,27-NOV-2019,311.5,314.5,305.5,309.45,123738
APLAPOLLO,27-NOV-2019,1569.9,1589.9,1563.0,1580.75,12899
APLLTD,27-NOV-2019,555.1,585.0,555.1,579.0,830358
APOLLO,27-NOV-2019,74.0,76.95,71.0,72.35,43906
APOLLOHOSP,27-NOV-2019,1467.5,1480.0,1460.0,1463.95,400326
APOLLOPIPE,27-NOV-2019,342.0,350.0,339.9,341.65,6248
APOLLOTYRE,27-NOV-2019,169.4,172.5,168.0,171.75,2687302
APOLSINHOT,27-NOV-2019,725.0,725.05,666.0,675.95,3783
APTECHT,27-NOV-2019,161.9,162.65,160.0,161.15,90224
ARCHIDPLY,27-NOV-2019,27.7,28.5,27.0,27.7,2274
ARCHIES,27-NOV-2019,19.2,19.6,19.1,19.3,17904
ARCOTECH,27-NOV-2019,2.75,2.75,2.75,2.75,16103
ARIES,27-NOV-2019,68.55,68.7,67.0,67.8,21284
ARIHANT,27-NOV-2019,24.7,24.7,23.05,23.45,1557
ARIHANTSUP,27-NOV-2019,25.95,25.95,23.65,24.45,252640
ARMANFIN,27-NOV-2019,549.4,549.4,513.0,542.3,3596
AROGRANITE,27-NOV-2019,38.0,39.9,37.75,37.85,3496
ARROWGREEN,27-NOV-2019,50.65,51.9,49.5,50.35,8555
ARROWTEX,27-NOV-2019,9.3,9.85,9.3,9.45,9844
ARSHIYA,27-NOV-2019,15.45,15.95,14.8,15.05,78125
ARSSINFRA,27-NOV-2019,22.55,24.6,22.55,24.6,48394
ARVIND,27-NOV-2019,45.45,45.6,44.35,44.75,1373628
ARVINDFASN,27-NOV-2019,347.5,350.0,338.0,342.75,104135
ARVSMART,27-NOV-2019,88.0,89.6,86.75,88.65,29727
ASAHIINDIA,27-NOV-2019,200.45,206.0,200.2,204.9,11871
ASAHISONG,27-NOV-2019,144.4,144.4,138.5,139.9,3644
ASAL,27-NOV-2019,32.0,32.6,31.35,31.6,5331
ASHAPURMIN,27-NOV-2019,27.95,28.1,27.95,28.1,18778
ASHIANA,27-NOV-2019,94.6,96.0,91.7,92.15,114259
ASHIMASYN,27-NOV-2019,7.0,7.2,6.8,6.95,26229
ASHOKA,27-NOV-2019,94.75,95.5,94.3,94.8,664421
ASHOKLEY,27-NOV-2019,83.0,83.4,80.8,81.8,28362167
ASIANHOTNR,27-NOV-2019,114.9,114.9,96.05,98.95,1955
ASIANPAINT,27-NOV-2019,1714.0,1731.0,1704.6,1715.35,883771
ASIANTILES,27-NOV-2019,242.3,245.75,240.3,242.45,29518
ASPINWALL,27-NOV-2019,147.5,147.5,141.5,142.0,6086
ASTEC,27-NOV-2019,383.65,398.45,372.5,387.6,11597
ASTERDM,27-NOV-2019,150.25,153.75,150.0,151.9,81377
ASTRAL,27-NOV-2019,1080.0,1097.0,1063.05,1090.05,80110
ASTRAMICRO,27-NOV-2019,87.0,90.25,87.0,89.3,92106
ASTRAZEN,27-NOV-2019,2715.0,2753.0,2655.35,2716.35,11250
ASTRON,27-NOV-2019,40.4,40.4,39.1,39.6,60971
ATFL,27-NOV-2019,593.05,596.6,585.0,589.6,2339
ATLANTA,27-NOV-2019,6.75,7.05,6.55,6.8,3824
ATLASCYCLE,27-NOV-2019,52.5,53.5,51.5,52.5,330
ATUL,27-NOV-2019,4109.4,4109.4,4050.0,4054.9,3594
ATULAUTO,27-NOV-2019,228.05,235.0,225.5,227.75,56709
