Company Name,Industry,Symbol,Series,ISIN Code
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Infosys Ltd.,IT,INFY,EQ,INE009A01021
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
