Company Name,Industry,Symbol,Series,ISIN Code
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
