Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
