SECURITY,NEW,PREVIOUS,NEW_STATUS
AVENUE SUPERMARTS LIMITED,2174.55,2145.05,H
SEC RED NCD SR. II,1109.75,1100,H
DR. LAL PATH LABS LTD.,1846,1794.6,H
RUCHI SOYA INDUSTRIES LTD,21.55,20.55,H
WESTLIFE DEVELOPMENT LTD,470,457.55,H
ARTEMIS MED SERVICE LTD,300.95,288,H
SEC RED NCD SR. III,1026.1,1025,H
CONTINENTAL SEED CHEM LTD,85.65,82,H
HDFCAMC - HDFCSENETF,4966,4772.11,H
SEC RED NCD SR. I,1060,1050,H
EDELAMC - EBBETF0423,1007.55,1006.6,H
INDIAN RAIL TOUR CORP LTD,1333,1235,H
2.50%GOLDBONDS2027SR-II,4099,4050,H
2.50%GOLDBONDS2027SR-IV,3998.9,3950,H
MAS FINANCIAL SERV LTD,1009,998,H
SBIAMC - SBIETFQLTY,115,114.9,H
2.50%GOLDBONDS2025SR-XIII,3799.99,3764.99,H
VIKAS PROP & GRANITE LTD,9.3,9.15,H
SANGINITA CHEMICALS LTD,187,180.5,H
7.35% TAX FREE TRI SRIIA,1688.8,1558.8,H
SONA HI SONA JEWELL G LTD,16.25,15.95,H
EDELAMC - EBBETF0430,1010,1006.95,H
ESAB INDIA LTD,1579.5,1549.8,H
TCI EXPRESS LIMITED,909,894,H
COAL INDIA LTD,171.05,177.7,L
MCDOWELL HOLDINGS LTD.,26.55,27.2,L
PRAKASH PIPES LIMITED,55.25,56,L
RELIANCE COMMUNICATIONS L,0.7,0.75,L
SEC RED NCD 8.10% SR.I,985.55,995,L
A B INFRABUILD LIMITED,10.85,11.35,L
KWALITY LIMITED,1.85,1.9,L
MINDPOOL TECHNOLOGIES LTD,14.1,15,L
OIL INDIA LTD,122.7,127.9,L
RAJVIR INDUSTRIES LIMITED,10.4,10.45,L
RELIANCE POWER LTD.,1.7,1.75,L
SPECIALITY REST LTD,54.55,57,L
DEWAN HOUSING FIN CORP LT,12.35,12.95,L
INNOVATIVE TYRES & TUBES,10.55,10.85,L
JAIPRAKASH ASSOCIATES LTD,1.85,1.9,L
KARUR VYSYA BANK LTD,45.65,45.75,L
LYPSA GEMS & JEWEL LTD,5.25,5.35,L
PALASH SECURITIES LTD,28.2,28.8,L
NIPP IN ETF PSU BANK BEES,25,25.71,L
BHEL,39.2,41.3,L
GAMMON INFRA PROJ LTD.,0.3,0.35,L
HLV LIMITED,5.5,5.55,L
RELIANCE HOME FINANCE LTD,1.45,1.5,L
SOM DIST & BREW LTD,102.15,102.6,L
HOUSING DEV & INFRA LTD,2.5,2.55,L
KHADIM INDIA LIMITED,154.65,163,L
TALWALKARS HEALTHCLUB LTD,2.05,2.15,L
A2Z INFRA ENGINEERING LTD,6.85,6.9,L
RELIANCE CAPITAL LTD,8.65,8.85,L
SOMANY HOM INNOVATION LTD,128.2,155.45,L
SHRIRAM EPC LTD.,4.05,4.15,L
SHYAM CENTURY FERROUS LTD,3.15,3.3,L
VIPUL LIMITED,22.6,22.85,L
ANDHRA PAPER LIMITED,280,286,L
ATLANTA LIMITED,5.35,5.55,L
BOMBAY RAYON FASHIONS LTD,3.75,3.8,L
DQ ENTERTAINMENT INT LTD,1,1.05,L
GANESH HOUSING CORP LTD,35.6,35.85,L
JAIN IRRIGATION SYSTEMS,7.05,7.1,L
KERNEX MICROSYS(I) LTD,17.6,17.75,L
MOHOTA INDUSTRIES LIMITED,9.5,9.95,L
NIPPON L I A M LTD,335.65,341.4,L
SITI NETWORKS LIMITED,1.4,1.45,L
SINTEX PLASTICS TECH LTD,1,1.05,L
AGRO PHOS INDIA LIMITED,22.5,23.65,L
AXISCADES ENGG TECH LTD,61.65,61.8,L
COX & KINGS LIMITED,0.9,0.95,L
JET FREIGHT LOGISTICS LTD,15.05,15.1,L
JAIN DVR EQUITY SHARES,7,7.15,L
SINTEX INDUSTRIES LTD,0.7,0.75,L

