MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     11962.10,     11939.00,     12017.35,     11633.30,     11661.85,376490766786.92,1568203495,Y, ,12201162,     12430.50,     10585.65
Y, , ,NIFTY50 EQL Wgt,     12132.50,     12111.00,     12193.25,     11807.65,     11841.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     13225.10,     13211.60,     13334.55,     12796.30,     12847.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,      8896.55,      8892.40,      8943.95,      8698.95,      8724.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     13893.50,     13891.65,     14026.50,     13442.80,     13481.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      6661.75,      6649.65,      6703.90,      6488.30,      6503.30,0,0,Y, ,0,      6794.10,      5492.95
Y, , ,NIFTY SMLCAP 50,      3019.95,      3014.75,      3052.10,      2921.50,      2934.05,0,0,Y, ,0,      3314.75,      2447.85
Y, , ,NIFTY SMLCAP 250,      5200.75,      5196.75,      5240.85,      5058.95,      5069.95,0,0,Y, ,0,      5539.50,      4242.55
Y, , ,NIFTY MIDSML 400,      6139.40,      6130.25,      6180.55,      5978.45,      5990.75,0,0,Y, ,0,      6262.30,      5046.35
Y, , ,NIFTY200 QUALTY30,      9904.45,      9907.45,      9980.65,      9738.15,      9766.10,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     16144.15,     16138.60,     16319.75,     15968.50,     16282.65,0,0,Y, ,0,     16720.40,     14566.55
Y, , ,Nifty Next 50,     28294.60,     28283.10,     28617.90,     27215.60,     27340.50,0,0,Y, ,0,     29259.50,     24873.25
Y, , ,Nifty Bank,     30833.60,     30726.20,     30918.60,     29753.00,     29820.90,0,0,Y, ,0,     32613.10,     26560.60
Y, , ,NIFTY MIDCAP 100,     18010.20,     17968.25,     18132.55,     17474.65,     17520.55,0,0,Y, ,0,     18495.90,     14975.75
Y, , ,Nifty 500,      9861.45,      9844.90,      9918.35,      9582.85,      9606.05,0,0,Y, ,0,     10174.95,      8628.35
Y, , ,Nifty 100,     12086.90,     12066.05,     12153.85,     11738.45,     11768.90,0,0,Y, ,0,     12544.40,     10713.30
Y, , ,Nifty Midcap 50,      4915.70,      4905.45,      4954.75,      4742.95,      4762.60,0,0,Y, ,0,      5137.45,      4077.40
Y, , ,Nifty Realty,       331.05,       329.70,       336.35,       302.90,       305.00,0,0,Y, ,0,       336.35,       220.60
Y, , ,Nifty Infra,      3252.00,      3246.90,      3275.35,      3143.30,      3155.30,0,0,Y, ,0,      3453.30,      2777.90
Y, , ,Nifty Energy,     14838.80,     14820.00,     14885.55,     14351.30,     14426.35,0,0,Y, ,0,     16841.85,     13739.85
Y, , ,Nifty FMCG,     30775.30,     30865.05,     31140.00,     30016.40,     30196.65,0,0,Y, ,0,     32644.90,     28099.15
Y, , ,Nifty MNC,     13760.30,     13745.05,     13910.05,     13561.80,     13636.85,0,0,Y, ,0,     14356.20,     11743.95
Y, , ,Nifty Pharma,      8138.60,      8129.30,      8209.85,      7975.90,      8013.75,0,0,Y, ,0,      9578.40,      7047.10
Y, , ,Nifty PSE,      3013.45,      3013.35,      3016.40,      2879.65,      2898.80,0,0,Y, ,0,      3719.55,      2862.05
Y, , ,Nifty PSU Bank,      2366.05,      2365.95,      2388.20,      2261.90,      2277.95,0,0,Y, ,0,      3492.70,      2113.05
Y, , ,Nifty Serv Sector,     17219.60,     17177.10,     17267.40,     16747.10,     16778.40,0,0,Y, ,0,     17743.20,     14643.05
Y, , ,India VIX,17.3675,17.3675,17.9300,16.0325,16.8350,0,0,Y, ,0,30.1825,9.1625
Y, , ,Nifty Auto,      8086.55,      8069.75,      8200.25,      7833.10,      7880.30,0,0,Y, ,0,      9059.35,      6727.55
Y, , ,Nifty Metal,      2569.00,      2557.40,      2575.90,      2460.00,      2480.55,0,0,Y, ,0,      3177.40,      2174.10
Y, , ,Nifty Media,      1835.30,      1828.55,      1828.55,      1750.35,      1755.90,0,0,Y, ,0,      2586.95,      1630.50
Y, , ,NIFTY SMLCAP 100,      6226.05,      6216.95,      6283.85,      6039.85,      6057.05,0,0,Y, ,0,      6822.50,      5114.60
Y, , ,Nifty 200,      6207.85,      6196.75,      6243.00,      6028.50,      6043.95,0,0,Y, ,0,      6421.10,      5472.20
