SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,17-AUG-2016,38.5,40.75,36.8,38.6,565195,2267,39.2
3IINFOTECH,17-AUG-2016,5.85,5.9,5.35,5.35,8874223,2824,5.95
3MINDIA,17-AUG-2016,13198.05,13198.05,13021.6,13070.9,627,220,13198.5
8KMILES,17-AUG-2016,2004.8,2023.8,1982.05,1993.15,12272,1263,1997.5
A2ZINFRA,17-AUG-2016,37.6,37.85,35.9,36.7,836290,5279,35.9
AARTIDRUGS,17-AUG-2016,463.35,476.85,462.95,468.8,20639,1255,471.65
AARTIIND,17-AUG-2016,585.0,598.0,578.2,597.55,70243,4049,584.3
AARVEEDEN,17-AUG-2016,75.0,75.0,72.0,72.45,12054,218,74.05
ABAN,17-AUG-2016,213.7,216.45,211.0,212.5,662503,8789,213.35
ABB,17-AUG-2016,1174.45,1194.0,1161.0,1171.9,32060,7196,1169.8
ABBOTINDIA,17-AUG-2016,4667.05,4700.0,4666.0,4686.95,527,213,4666.65
ABFRL,17-AUG-2016,150.25,153.1,148.05,150.8,336508,5690,150.75
ABGSHIP,17-AUG-2016,27.25,27.8,26.75,27.25,201677,1358,27.45
ABIRLANUVO,17-AUG-2016,1240.0,1275.0,1235.05,1244.45,1704985,55242,1238.3
ACC,17-AUG-2016,1662.7,1684.7,1641.8,1675.0,296849,18988,1663.85
ACCELYA,17-AUG-2016,1221.25,1246.0,1221.25,1242.4,2834,179,1239.85
ACE,17-AUG-2016,43.1,43.3,42.4,43.05,116495,622,42.85
ACROPETAL,17-AUG-2016,2.25,2.45,2.25,2.45,6531,13,2.35
ADANIENT,17-AUG-2016,74.0,75.55,73.85,74.4,2996065,12103,73.9
ADANIPORTS,17-AUG-2016,274.0,276.35,265.2,267.65,11251645,97505,273.55
ADANIPOWER,17-AUG-2016,27.0,27.95,26.85,27.75,4258276,8617,27.1
ADANITRANS,17-AUG-2016,38.55,39.15,38.35,38.85,1090823,3725,38.45
ADFFOODS,17-AUG-2016,120.95,122.95,119.65,122.3,73875,965,121.8
ADHUNIK,17-AUG-2016,7.9,8.4,7.85,7.95,55781,613,7.9
ADHUNIKIND,17-AUG-2016,127.15,146.2,123.05,146.2,12270,518,132.95
ADI,17-AUG-2016,360.0,385.0,357.15,381.6,23671,591,360.9
ADLABS,17-AUG-2016,83.1,83.75,82.1,83.2,26999,358,83.1
ADORWELD,17-AUG-2016,278.0,282.0,271.35,273.2,3900,228,277.1
ADSL,17-AUG-2016,29.05,30.75,29.0,29.85,139410,1487,29.4
ADVANIHOTR,17-AUG-2016,52.65,54.5,52.65,54.0,1164,8,52.9
ADVENZYMES,17-AUG-2016,1375.0,1401.9,1362.0,1369.15,79125,4734,1360.3
AEGISCHEM,17-AUG-2016,113.6,117.0,112.3,115.8,382140,3109,112.9
AFL,17-AUG-2016,56.15,57.9,56.0,56.45,5465,76,57.25
AGARIND,17-AUG-2016,138.95,138.95,134.6,135.25,1207,125,137.0
AGCNET,17-AUG-2016,80.05,83.0,78.1,79.35,11809,183,80.05
AGRITECH,17-AUG-2016,42.3,42.3,42.3,42.3,909,9,40.3
AGRODUTCH,17-AUG-2016,2.7,2.85,2.4,2.65,22763,25,2.8
AHLEAST,17-AUG-2016,199.9,199.9,192.5,195.0,872,29,194.45
AHLUCONT,17-AUG-2016,286.15,296.0,286.1,294.2,14514,435,285.1
AHLWEST,17-AUG-2016,176.9,176.9,170.0,174.9,260,13,171.95
AIAENG,17-AUG-2016,1221.9,1275.0,1218.05,1251.35,61409,5250,1216.2
AIFL,17-AUG-2016,297.0,298.15,292.2,295.05,106174,1146,295.15
AIL,17-AUG-2016,628.0,628.0,603.0,615.7,6116,503,615.1
AJANTPHARM,17-AUG-2016,1955.0,1970.0,1926.0,1933.35,147425,9869,1955.05
AJMERA,17-AUG-2016,138.75,144.4,138.65,139.25,45065,778,139.3
AKSHOPTFBR,17-AUG-2016,15.0,15.1,14.7,14.8,331609,733,14.95
AKZOINDIA,17-AUG-2016,1603.0,1625.0,1596.1,1609.8,10981,556,1602.2
