SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,08-FEB-2016,26.15,27.1,26.0,26.4,11366,151,26.5
3IINFOTECH,08-FEB-2016,4.95,5.05,4.85,4.85,1841460,901,4.85
3MINDIA,08-FEB-2016,10580.0,12162.9,10580.0,11532.8,21133,3465,10135.75
8KMILES,08-FEB-2016,2022.0,2042.25,1950.0,1963.4,23537,2596,2013.05
A2ZINFRA,08-FEB-2016,22.6,23.55,22.2,22.8,149859,945,22.25
AARTIDRUGS,08-FEB-2016,513.95,513.95,482.0,487.25,13684,840,498.15
AARTIIND,08-FEB-2016,482.5,496.0,480.05,489.65,32419,2613,481.65
AARVEEDEN,08-FEB-2016,56.2,61.05,56.2,57.85,4795,65,59.3
ABAN,08-FEB-2016,174.0,176.7,172.5,173.15,559987,7514,174.2
ABB,08-FEB-2016,1134.0,1164.0,1080.0,1104.85,135560,10909,1133.9
ABBOTINDIA,08-FEB-2016,5065.0,5065.0,4911.3,4926.85,1771,438,4986.1
ABFRL,08-FEB-2016,184.5,188.8,174.5,176.9,1995915,51845,183.5
ABGSHIP,08-FEB-2016,53.7,54.8,52.5,53.05,128726,1652,52.55
ABIRLANUVO,08-FEB-2016,839.9,853.95,829.05,838.75,326089,9018,840.95
ACC,08-FEB-2016,1271.0,1309.75,1270.15,1280.6,218591,10102,1271.4
ACCELYA,08-FEB-2016,920.95,944.7,910.0,933.5,3161,296,913.25
ACE,08-FEB-2016,38.75,38.75,37.35,37.45,104174,434,38.15
ACROPETAL,08-FEB-2016,3.05,3.4,3.05,3.25,6318,22,3.1
ADANIENT,08-FEB-2016,74.45,79.7,73.3,75.5,6989577,25752,73.7
ADANIPORTS,08-FEB-2016,211.45,216.9,210.0,212.05,2723554,32213,211.1
ADANIPOWER,08-FEB-2016,26.45,26.75,26.0,26.1,4475648,6521,26.1
ADANITRANS,08-FEB-2016,33.4,34.65,32.8,33.05,662283,2163,33.25
ADFFOODS,08-FEB-2016,84.35,85.25,82.7,84.35,11189,152,84.0
ADHUNIK,08-FEB-2016,12.6,12.8,12.0,12.05,182783,385,12.5
ADI,08-FEB-2016,221.55,228.05,219.2,220.05,3518,62,221.7
ADLABS,08-FEB-2016,104.0,108.7,103.5,104.95,41994,1132,104.4
ADORWELD,08-FEB-2016,281.05,288.5,275.0,276.4,2548,224,288.85
ADSL,08-FEB-2016,45.4,46.25,43.7,44.15,106232,1135,44.95
ADVANIHOTR,08-FEB-2016,47.0,50.0,46.5,47.0,3714,32,47.95
ADVANTA,08-FEB-2016,415.9,422.35,407.35,409.95,9127,475,417.8
AEGISCHEM,08-FEB-2016,94.1,97.0,92.6,93.05,89301,907,95.2
AFL,08-FEB-2016,66.2,69.45,65.65,66.5,8387,222,68.7
AGARIND,08-FEB-2016,152.0,162.95,152.0,161.4,23373,366,150.0
AGCNET,08-FEB-2016,76.0,80.45,75.1,75.75,2470,85,76.95
AGRITECH,08-FEB-2016,9.9,9.9,9.6,9.9,752,3,9.9
AGRODUTCH,08-FEB-2016,3.1,3.4,3.1,3.2,10566,21,3.15
AHLEAST,08-FEB-2016,149.9,149.9,144.1,144.1,276,8,146.0
AHLUCONT,08-FEB-2016,265.0,272.0,263.25,265.75,3186,234,269.45
AHLWEST,08-FEB-2016,115.0,115.0,115.0,115.0,21,1,111.85
AIAENG,08-FEB-2016,816.0,822.05,782.1,807.85,177561,8020,812.15
AIFL,08-FEB-2016,267.1,272.25,263.0,265.95,28519,396,269.3
AIL,08-FEB-2016,622.55,632.05,615.1,630.3,182255,909,632.1
AJANTPHARM,08-FEB-2016,1310.05,1337.0,1290.7,1300.05,148940,8715,1306.6
AJMERA,08-FEB-2016,133.3,139.4,131.0,133.25,70295,1965,132.05
AKSHOPTFBR,08-FEB-2016,14.45,14.7,14.15,14.25,565654,1302,14.3
AKZOINDIA,08-FEB-2016,1260.15,1293.0,1260.0,1285.35,7182,638,1260.15
ALANKIT,08-FEB-2016,84.0,84.6,83.1,83.55,632328,740,84.3
ALBK,08-FEB-2016,52.25,56.0,52.1,52.8,3605471,13923,52.0
ALCHEM,08-FEB-2016,26.6,26.8,24.35,24.7,5385,51,25.25
ALEMBICLTD,08-FEB-2016,37.8,38.85,37.15,37.45,189599,1122,37.6
ALICON,08-FEB-2016,275.0,305.0,272.0,298.65,6579,183,286.0
ALKALI,08-FEB-2016,45.5,46.45,44.15,45.55,6579,111,44.5
ALKEM,08-FEB-2016,1345.0,1354.75,1316.2,1323.35,38022,3279,1338.05
ALKYLAMINE,08-FEB-2016,310.35,316.65,310.0,312.15,631,44,317.0
ALLCARGO,08-FEB-2016,182.05,185.5,178.7,180.0,57718,1951,184.7
ALLSEC,08-FEB-2016,114.0,119.0,110.0,116.1,10179,283,114.05
ALMONDZ,08-FEB-2016,10.8,10.85,10.15,10.7,3594,37,10.55
ALOKTEXT,08-FEB-2016,5.0,5.1,4.95,5.05,2109634,665,5.0
ALPA,08-FEB-2016,53.95,55.15,50.0,54.6,44851,268,52.55
ALPHAGEO,08-FEB-2016,599.9,614.7,584.15,594.3,8773,663,591.65
ALPSINDUS,08-FEB-2016,5.15,5.3,5.05,5.05,83509,135,5.3
ALSTOMT&D,08-FEB-2016,448.05,448.95,436.0,439.75,64221,1382,445.15
AMARAJABAT,08-FEB-2016,883.3,889.9,865.35,870.45,204558,9828,883.3
AMBIKCO,08-FEB-2016,834.9,834.9,800.0,802.8,6089,549,827.1
AMBUJACEM,08-FEB-2016,195.5,201.0,195.4,197.15,924357,10663,195.5
AMDIND,08-FEB-2016,29.2,29.75,27.55,27.7,3847,43,28.05
AMRUTANJAN,08-FEB-2016,416.0,420.0,409.0,411.9,5631,383,412.2
AMTEKAUTO,08-FEB-2016,34.0,35.2,33.6,33.95,920086,4253,34.4
AMTL,08-FEB-2016,23.8,25.3,23.8,25.3,101,2,24.1
ANANDAMRUB,08-FEB-2016,21.05,23.05,18.95,23.0,167,10,21.05
ANANTRAJ,08-FEB-2016,36.2,37.4,35.2,35.4,418346,1710,36.15
ANDHRABANK,08-FEB-2016,52.0,54.0,51.95,52.6,1672077,7372,51.9
ANDHRACEMT,08-FEB-2016,7.3,7.45,7.0,7.1,134455,321,7.3
ANDHRSUGAR,08-FEB-2016,129.85,129.85,122.15,123.8,19373,710,127.3
ANGIND,08-FEB-2016,43.0,43.5,42.85,43.05,25951,168,43.1
ANIKINDS,08-FEB-2016,29.5,29.5,28.05,28.1,23,3,28.85
ANKITMETAL,08-FEB-2016,2.0,2.25,1.9,2.15,150975,111,2.05
ANSALAPI,08-FEB-2016,17.4,18.05,17.3,17.55,120160,457,17.4
ANSALHSG,08-FEB-2016,23.25,24.05,23.25,23.7,5878,32,23.2
ANTGRAPHIC,08-FEB-2016,1.1,1.15,1.1,1.15,151317,78,1.1
APARINDS,08-FEB-2016,490.05,499.4,488.0,496.0,36381,1157,496.45
APCOTEXIND,08-FEB-2016,204.0,204.0,197.05,203.25,7496,141,204.15
APLAPOLLO,08-FEB-2016,685.0,715.0,683.6,699.5,21630,1027,682.4
APLLTD,08-FEB-2016,600.0,616.0,599.95,609.0,124451,8583,593.2
APOLLOHOSP,08-FEB-2016,1448.0,1471.0,1433.0,1453.6,104129,6405,1455.95
APOLLOTYRE,08-FEB-2016,138.95,143.15,136.0,136.95,2251547,18291,138.25
APOLSINHOT,08-FEB-2016,282.0,282.0,282.0,282.0,1,1,269.0
APTECHT,08-FEB-2016,61.3,62.85,59.65,61.0,460529,4446,60.75
ARCHIDPLY,08-FEB-2016,47.05,48.85,47.0,47.5,22311,314,47.55
ARCHIES,08-FEB-2016,25.25,26.05,24.75,25.6,199886,766,25.05
ARCOTECH,08-FEB-2016,349.5,353.85,343.3,345.95,305294,4342,348.25
ARIES,08-FEB-2016,79.35,81.2,79.3,80.0,5084,61,79.1
ARIHANT,08-FEB-2016,48.0,50.9,48.0,50.9,3060,3,49.0
AROGRANITE,08-FEB-2016,44.0,45.0,43.75,44.0,2335,29,44.1
ARROWCOAT,08-FEB-2016,630.5,655.0,585.0,589.0,13133,1274,627.85
ARROWTEX,08-FEB-2016,44.35,45.75,37.8,39.15,205077,2324,45.9
ARSHIYA,08-FEB-2016,36.45,38.4,35.5,36.2,37019,341,36.4
ARSSINFRA,08-FEB-2016,33.0,34.1,32.65,33.1,205752,1063,33.15
ARVIND,08-FEB-2016,282.0,297.95,282.0,288.9,2048629,27840,284.45
ARVINDREM,08-FEB-2016,5.55,5.55,5.3,5.3,21003,37,5.55
ARVINFRA,08-FEB-2016,100.8,106.95,97.4,98.75,55900,764,100.8
ASAHIINDIA,08-FEB-2016,150.0,153.0,148.0,149.0,22725,235,149.15
ASAHISONG,08-FEB-2016,139.8,146.5,139.8,140.55,5528,188,141.05
ASAL,08-FEB-2016,38.0,41.5,38.0,39.1,1467,36,37.55
ASHAPURMIN,08-FEB-2016,70.0,73.6,66.05,68.0,208439,2273,69.35
ASHIANA,08-FEB-2016,141.0,146.05,137.0,138.85,12086,335,142.15
ASHIMASYN,08-FEB-2016,12.5,13.4,12.5,12.8,35641,212,13.05
ASHOKA,08-FEB-2016,189.0,191.6,185.55,187.55,47299,648,190.15
ASHOKLEY,08-FEB-2016,90.85,92.45,88.65,89.2,6311100,18352,90.6
ASIANHOTNR,08-FEB-2016,110.0,116.9,110.0,116.9,2000,5,110.35
ASIANPAINT,08-FEB-2016,903.0,907.5,886.0,888.6,783143,34992,899.25
ASIANTILES,08-FEB-2016,138.0,144.0,136.8,141.95,12966,338,140.4
ASSAMCO,08-FEB-2016,5.05,5.25,5.0,5.1,453662,654,5.05
ASTEC,08-FEB-2016,185.25,193.9,185.25,190.05,28670,650,188.95
ASTRAL,08-FEB-2016,388.95,403.85,388.95,394.95,3602,226,396.8
ASTRAMICRO,08-FEB-2016,122.95,124.5,119.1,119.5,212886,3112,122.75
ASTRAZEN,08-FEB-2016,1195.95,1243.7,1182.0,1223.4,64791,3524,1165.25
ATFL,08-FEB-2016,507.75,507.75,488.0,492.65,1021,55,505.05
ATLANTA,08-FEB-2016,33.5,34.8,33.2,33.75,21753,142,33.85
ATLASCYCLE,08-FEB-2016,190.0,193.6,189.05,190.9,1824,166,191.3
ATNINTER,08-FEB-2016,0.4,0.4,0.35,0.35,145,3,0.4
ATUL,08-FEB-2016,1490.0,1525.0,1445.15,1459.35,11974,1264,1461.2
ATULAUTO,08-FEB-2016,496.9,504.0,478.0,482.4,45320,2146,486.45
AURIONPRO,08-FEB-2016,142.75,143.95,134.0,137.15,10423,286,142.75
AUROPHARMA,08-FEB-2016,770.0,770.1,741.0,745.2,1953119,46516,763.2
AUSOMENT,08-FEB-2016,25.0,26.4,23.0,24.2,3627,28,24.85
AUSTRAL,08-FEB-2016,0.4,0.45,0.4,0.4,73795,24,0.4
AUTOAXLES,08-FEB-2016,602.85,620.9,591.05,611.25,1209,153,606.65
AUTOIND,08-FEB-2016,43.6,43.9,42.55,43.15,11622,153,43.5
AUTOLITIND,08-FEB-2016,53.3,53.9,52.25,53.6,2353,57,53.05
AVANTIFEED,08-FEB-2016,428.9,430.05,418.9,420.45,14054,904,414.45
AVTNPL,08-FEB-2016,32.6,32.6,31.05,31.45,24507,207,32.05
AXISBANK,08-FEB-2016,401.0,417.95,401.0,408.55,11996680,125498,399.55
AXISCADES,08-FEB-2016,259.9,260.0,250.5,253.05,59890,2633,256.7
AXISGOLD,08-FEB-2016,2495.0,2522.0,2488.0,2494.65,219,79,2505.0
AYMSYNTEX,08-FEB-2016,115.05,120.0,114.0,116.55,35428,248,115.7
BAFNAPHARM,08-FEB-2016,34.05,35.4,33.7,33.9,42711,431,33.6
BAGFILMS,08-FEB-2016,4.0,4.35,4.0,4.1,95601,162,4.0
BAJAJ-AUTO,08-FEB-2016,2366.3,2388.8,2348.0,2355.05,80466,6020,2366.35
