SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,30-MAR-2016,27.9,28.0,27.4,27.5,22826,60,27.3
3IINFOTECH,30-MAR-2016,4.05,4.2,4.05,4.15,638982,374,4.05
3MINDIA,30-MAR-2016,10799.65,10800.0,10700.0,10708.25,904,170,10703.1
8KMILES,30-MAR-2016,1979.8,2019.95,1979.8,2005.25,31709,3007,1956.0
A2ZINFRA,30-MAR-2016,19.65,20.25,19.6,20.05,96814,493,19.35
AARTIDRUGS,30-MAR-2016,454.0,467.0,440.05,448.05,13360,756,451.4
AARTIIND,30-MAR-2016,510.0,537.0,506.0,526.65,154655,8240,505.1
AARVEEDEN,30-MAR-2016,51.8,54.0,51.8,52.7,2496,30,51.6
ABAN,30-MAR-2016,172.6,176.4,172.6,175.5,700971,9882,171.9
ABB,30-MAR-2016,1212.0,1246.9,1212.0,1239.55,36571,3997,1209.05
ABBOTINDIA,30-MAR-2016,4650.0,4764.95,4627.8,4742.35,1311,220,4636.35
ABFRL,30-MAR-2016,137.15,141.4,136.1,138.4,497844,5313,138.15
ABGSHIP,30-MAR-2016,50.25,52.9,44.85,46.1,3144437,18627,51.75
ABIRLANUVO,30-MAR-2016,837.8,845.7,816.0,830.7,207795,7594,830.75
ACC,30-MAR-2016,1373.0,1392.0,1371.1,1385.7,283716,15617,1366.05
ACCELYA,30-MAR-2016,882.75,900.0,867.2,899.55,3658,98,867.75
ACE,30-MAR-2016,37.4,38.7,37.05,38.6,105239,468,36.7
ACROPETAL,30-MAR-2016,2.6,2.75,2.6,2.75,8304,15,2.7
ADANIENT,30-MAR-2016,68.05,73.0,68.0,72.5,4196394,21072,67.65
ADANIPORTS,30-MAR-2016,240.0,248.5,239.55,245.95,2883662,26865,237.85
ADANIPOWER,30-MAR-2016,29.95,32.9,29.6,32.6,12139582,17527,29.4
ADANITRANS,30-MAR-2016,35.0,35.35,34.05,34.75,1486610,5143,33.05
ADFFOODS,30-MAR-2016,83.3,88.75,83.3,85.25,57549,749,85.2
ADHUNIK,30-MAR-2016,11.3,11.6,11.0,11.5,56739,154,11.0
ADI,30-MAR-2016,253.0,260.0,253.0,257.55,2150,31,255.35
ADLABS,30-MAR-2016,85.55,88.4,85.55,87.25,25681,394,85.65
ADORWELD,30-MAR-2016,278.3,304.8,278.3,286.6,19287,665,281.0
ADSL,30-MAR-2016,37.0,40.25,36.9,39.3,267629,1655,36.05
ADVANIHOTR,30-MAR-2016,47.1,48.5,47.0,47.5,3310,24,47.15
ADVANTA,30-MAR-2016,464.0,481.95,456.7,480.25,33213,924,458.35
AEGISCHEM,30-MAR-2016,99.2,100.95,98.1,98.65,106717,1095,97.9
AFL,30-MAR-2016,51.2,52.85,50.3,50.45,9884,81,51.2
AGARIND,30-MAR-2016,132.0,132.0,124.5,125.85,2229,51,124.8
AGCNET,30-MAR-2016,66.85,70.0,66.85,67.55,11250,133,66.3
AGRITECH,30-MAR-2016,8.0,8.3,7.7,8.1,1338,8,8.1
AGRODUTCH,30-MAR-2016,2.75,2.9,2.75,2.9,3052,16,2.7
AHLEAST,30-MAR-2016,134.0,144.95,133.3,142.95,416,19,135.5
AHLUCONT,30-MAR-2016,269.8,288.0,269.0,282.6,89136,663,267.95
AHLWEST,30-MAR-2016,112.15,112.15,111.0,111.9,27,11,115.0
AIAENG,30-MAR-2016,984.0,984.0,942.0,949.05,138711,6484,962.45
AIFL,30-MAR-2016,243.5,253.9,241.6,250.65,40977,316,242.55
AIL,30-MAR-2016,588.9,603.8,586.0,599.5,9254,782,582.65
