SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,05-JUL-2017,40.0,40.0,37.2,39.0,61653,341,38.5
3IINFOTECH,05-JUL-2017,4.7,4.7,4.45,4.45,2339284,900,4.55
3MINDIA,05-JUL-2017,13777.0,13947.0,13700.05,13881.05,543,299,13696.1
63MOONS,05-JUL-2017,64.7,65.0,63.35,63.75,58858,724,64.1
8KMILES,05-JUL-2017,556.55,565.5,548.8,550.95,80801,2070,555.65
A2ZINFRA,05-JUL-2017,43.15,44.75,43.15,43.8,871412,4214,43.15
AARTIDRUGS,05-JUL-2017,527.0,541.65,527.0,531.8,2724,239,528.6
AARTIIND,05-JUL-2017,934.95,939.0,908.0,913.5,24160,1409,929.05
AARVEEDEN,05-JUL-2017,60.2,64.0,60.2,61.85,8296,123,60.6
ABAN,05-JUL-2017,187.5,190.7,187.05,188.1,539225,7680,187.7
ABB,05-JUL-2017,1450.6,1454.7,1430.0,1435.05,49756,3265,1451.55
ABBOTINDIA,05-JUL-2017,4210.0,4250.0,4210.0,4238.75,1249,222,4219.1
ABFRL,05-JUL-2017,170.1,172.0,170.0,170.65,188862,2723,170.85
ABGSHIP,05-JUL-2017,14.85,15.0,14.3,14.3,26478,122,15.05
ABMINTLTD,05-JUL-2017,87.0,87.0,82.65,82.65,35,5,87.0
ACC,05-JUL-2017,1581.2,1599.0,1572.05,1594.45,339033,13784,1580.65
ACCELYA,05-JUL-2017,1347.0,1366.45,1332.0,1335.35,3940,430,1349.8
ACE,05-JUL-2017,73.0,75.9,72.1,73.35,677787,4126,72.75
ADANIENT,05-JUL-2017,134.0,136.0,132.5,135.25,4430195,16358,133.55
ADANIPORTS,05-JUL-2017,374.5,374.5,371.85,372.9,1422559,17676,371.7
ADANIPOWER,05-JUL-2017,28.15,28.85,28.15,28.7,3769956,5339,28.85
ADANITRANS,05-JUL-2017,127.6,127.9,125.65,127.5,300767,1824,127.5
ADFFOODS,05-JUL-2017,264.0,269.0,262.4,267.05,207261,4084,262.4
ADHUNIK,05-JUL-2017,6.0,6.15,5.9,5.95,51739,455,6.05
ADHUNIKIND,05-JUL-2017,99.45,99.95,96.3,96.95,402206,915,98.45
ADLABS,05-JUL-2017,76.35,78.5,75.95,76.75,517463,4172,75.95
ADORWELD,05-JUL-2017,384.6,384.6,378.1,379.9,5611,248,381.75
ADSL,05-JUL-2017,25.5,26.5,25.5,26.1,15089,128,25.55
ADVANIHOTR,05-JUL-2017,60.35,61.7,59.0,61.0,7252,83,60.05
ADVENZYMES,05-JUL-2017,348.0,354.3,342.25,347.25,382123,7467,346.1
AEGISCHEM,05-JUL-2017,188.6,190.15,188.25,189.45,63392,1175,189.2
AFL,05-JUL-2017,43.3,45.85,43.3,44.0,4551,30,44.6
AGARIND,05-JUL-2017,666.2,679.9,666.2,673.45,507,24,679.75
AGCNET,05-JUL-2017,124.2,127.0,123.0,125.0,179,12,124.2
AGRITECH,05-JUL-2017,57.9,59.9,57.9,59.6,40470,99,59.45
AGROPHOS,05-JUL-2017,20.7,20.7,20.7,20.7,6000,1,20.5
AHLEAST,05-JUL-2017,290.25,298.45,290.25,290.6,33,4,290.05
AHLUCONT,05-JUL-2017,332.5,352.0,332.2,349.8,43415,941,332.3
AHLWEST,05-JUL-2017,166.35,167.0,166.3,167.0,31,3,166.3
AIAENG,05-JUL-2017,1384.95,1430.0,1364.95,1414.2,105791,2501,1385.5
AICHAMP,05-JUL-2017,25.75,25.75,25.75,25.75,50,1,24.55
AIFL,05-JUL-2017,410.0,412.0,404.0,406.2,79260,1515,409.5
AIRAN,05-JUL-2017,155.5,155.5,152.05,152.05,6000,2,153.5
AJANTPHARM,05-JUL-2017,1535.0,1542.45,1524.05,1537.5,56448,4225,1528.2
AJMERA,05-JUL-2017,219.95,226.6,219.95,225.0,44874,1149,220.1
AKASH,05-JUL-2017,95.25,100.0,95.25,97.5,18000,9,93.5
AKSHARCHEM,05-JUL-2017,778.1,808.45,772.0,803.8,19506,1030,778.05
AKSHOPTFBR,05-JUL-2017,17.45,21.15,17.45,21.15,7477351,12884,17.65
AKZOINDIA,05-JUL-2017,1867.5,1867.5,1830.0,1838.0,9718,629,1853.6
ALANKIT,05-JUL-2017,34.5,35.15,34.5,34.9,302519,429,34.85
ALBERTDAVD,05-JUL-2017,315.05,321.95,315.0,319.2,1312,66,314.8
ALBK,05-JUL-2017,66.6,67.6,66.1,67.2,2263444,8994,66.4
ALCHEM,05-JUL-2017,16.15,16.15,15.1,15.55,11248,118,15.6
ALEMBICLTD,05-JUL-2017,40.1,40.1,39.15,39.3,246209,967,39.85
ALICON,05-JUL-2017,489.35,493.0,485.0,486.85,1297,46,482.4
ALKALI,05-JUL-2017,63.05,64.6,63.05,64.0,16483,114,63.7
ALKEM,05-JUL-2017,1836.1,1836.1,1836.1,1836.1,27280,1,1050.0
ALKEM,05-JUL-2017,1831.0,1849.0,1831.0,1835.85,11726,1779,1836.1
ALKYLAMINE,05-JUL-2017,378.35,383.6,378.35,379.35,18696,2537,380.2
ALLCARGO,05-JUL-2017,173.45,174.9,172.35,173.05,173740,3109,172.5
ALLSEC,05-JUL-2017,325.5,334.0,325.0,327.3,10242,524,328.85
ALMONDZ,05-JUL-2017,18.95,21.0,18.95,20.05,48630,172,18.95
ALOKTEXT,05-JUL-2017,2.95,3.0,2.9,2.9,2004528,572,2.95
ALPA,05-JUL-2017,30.1,30.25,29.5,30.0,11272,75,29.95
ALPHAGEO,05-JUL-2017,834.7,845.5,822.15,837.0,30953,1353,820.7
ALPSINDUS,05-JUL-2017,6.1,6.25,5.8,6.05,73925,89,6.1
AMARAJABAT,05-JUL-2017,862.0,863.4,845.0,848.3,516287,15985,856.4
AMBIKCO,05-JUL-2017,1270.0,1287.8,1258.15,1279.65,4079,513,1274.3
AMBUJACEM,05-JUL-2017,249.65,254.5,248.55,253.25,2653067,16431,249.1
AMDIND,05-JUL-2017,28.3,29.0,27.1,27.95,10302,66,27.3
AMRUTANJAN,05-JUL-2017,697.6,697.6,674.0,680.15,2368,246,682.1
AMTEKAUTO,05-JUL-2017,32.45,32.65,31.45,31.95,3282625,8941,31.45
ANANDAMRUB,05-JUL-2017,34.0,34.0,34.0,34.0,1533,9,33.5
ANANTRAJ,05-JUL-2017,60.15,61.7,59.4,61.15,1096089,4105,60.1
ANDHRABANK,05-JUL-2017,53.75,55.1,53.6,54.6,2389556,6061,53.65
ANDHRACEMT,05-JUL-2017,11.95,12.15,10.9,11.05,1129415,1934,11.4
ANDHRSUGAR,05-JUL-2017,340.6,346.0,339.55,343.7,25005,468,339.1
ANGIND,05-JUL-2017,7.65,7.75,7.45,7.55,10490,58,7.55
ANIKINDS,05-JUL-2017,25.6,25.6,24.15,24.7,527,11,25.4
ANKITMETAL,05-JUL-2017,1.4,1.4,1.3,1.35,39836,37,1.35
ANSALAPI,05-JUL-2017,29.5,29.65,28.55,28.8,449745,1556,29.25
ANSALHSG,05-JUL-2017,28.1,28.85,28.05,28.55,51105,292,28.1
ANTGRAPHIC,05-JUL-2017,1.6,1.6,1.5,1.6,60635,26,1.55
APARINDS,05-JUL-2017,755.0,770.0,746.3,762.75,9779,698,755.3
APCL,05-JUL-2017,228.35,228.35,216.0,224.15,3912,91,222.2
APCOTEXIND,05-JUL-2017,422.0,438.0,419.25,425.75,24600,2221,417.55
APLAPOLLO,05-JUL-2017,1611.0,1628.0,1592.0,1598.0,9653,862,1602.95
APLLTD,05-JUL-2017,512.5,523.8,512.0,521.2,21617,1151,512.1
APOLLOHOSP,05-JUL-2017,1268.0,1281.9,1262.95,1275.0,237722,14868,1272.6
APOLLOTYRE,05-JUL-2017,252.8,257.9,251.0,254.55,2260574,14398,251.2
APOLSINHOT,05-JUL-2017,715.0,769.0,715.0,769.0,367,31,718.9
APTECHT,05-JUL-2017,198.2,221.6,196.7,216.25,1742150,20721,198.1
ARCHIDPLY,05-JUL-2017,96.65,114.8,95.45,113.05,2420656,21450,95.7
