SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,17-JAN-2018,56.55,57.65,55.4,57.15,134450,1044,57.7
21STCENMGM,17-JAN-2018,36.05,36.05,35.4,36.05,56033,75,35.35
3IINFOTECH,17-JAN-2018,7.75,7.75,7.75,7.75,1595296,1065,8.15
3MINDIA,17-JAN-2018,17700.05,18180.0,17678.0,18008.4,1151,348,17756.25
5PAISA,17-JAN-2018,327.4,339.95,322.5,328.55,10938,483,338.95
63MOONS,17-JAN-2018,113.85,114.9,110.0,111.9,243439,2800,112.75
8KMILES,17-JAN-2018,833.9,840.7,812.0,815.4,79267,4827,833.3
A2ZINFRA,17-JAN-2018,41.85,42.7,40.75,42.05,2348033,7853,41.35
AARTIDRUGS,17-JAN-2018,750.0,750.0,735.0,740.3,44036,2013,746.5
AARTIIND,17-JAN-2018,1126.0,1140.15,1100.1,1112.4,16516,1237,1125.15
AARVEEDEN,17-JAN-2018,52.5,52.75,48.1,51.5,38396,263,51.9
AARVI,17-JAN-2018,105.0,105.0,105.0,105.0,2000,1,109.0
ABAN,17-JAN-2018,258.2,258.9,235.35,246.0,3753188,36033,258.55
ABB,17-JAN-2018,1515.0,1557.7,1485.55,1548.5,91330,4963,1509.25
ABBOTINDIA,17-JAN-2018,5420.0,5550.0,5360.0,5463.85,2018,711,5400.05
ABCAPITAL,17-JAN-2018,180.1,183.0,178.0,181.6,2587497,19462,180.8
ABFRL,17-JAN-2018,169.0,169.0,164.3,167.7,413104,9074,169.2
ABGSHIP,17-JAN-2018,13.3,13.5,12.7,13.1,17881,108,13.3
ABMINTLTD,17-JAN-2018,72.2,72.2,65.4,68.25,4811,69,68.8
ACC,17-JAN-2018,1850.0,1852.45,1826.2,1840.5,179153,7765,1850.25
ACCELYA,17-JAN-2018,1530.95,1530.95,1473.0,1478.6,4451,734,1508.35
ACCORD,17-JAN-2018,58.0,58.0,58.0,58.0,2000,1,59.0
ACE,17-JAN-2018,157.9,158.0,146.15,156.2,623230,7333,158.15
ADANIENT,17-JAN-2018,194.2,205.7,187.9,204.55,9472531,52051,194.6
ADANIPORTS,17-JAN-2018,424.25,436.0,422.75,433.4,6715953,85002,423.55
ADANIPOWER,17-JAN-2018,42.2,42.2,39.75,40.75,28185993,43804,42.25
ADANITRANS,17-JAN-2018,224.9,235.0,221.05,231.1,1750126,18562,223.9
ADFFOODS,17-JAN-2018,292.0,294.0,280.55,287.2,195508,3991,290.7
ADHUNIK,17-JAN-2018,6.1,6.3,6.1,6.1,162754,104,6.4
ADHUNIKIND,17-JAN-2018,92.6,93.5,87.55,92.2,23565,134,92.15
ADLABS,17-JAN-2018,66.95,66.95,65.0,66.05,48728,312,66.0
ADORWELD,17-JAN-2018,538.7,595.9,521.55,578.4,200195,7582,541.5
ADSL,17-JAN-2018,25.3,25.45,24.05,25.25,34784,148,25.3
ADVANIHOTR,17-JAN-2018,80.6,85.0,79.3,80.35,182343,1498,80.6
ADVENZYMES,17-JAN-2018,305.9,305.9,295.0,298.75,444565,3513,305.2
AEGISCHEM,17-JAN-2018,289.0,290.0,277.55,285.15,170709,2722,293.15
AFL,17-JAN-2018,65.55,67.9,65.4,67.0,14975,113,66.35
AGARIND,17-JAN-2018,592.0,622.0,592.0,602.1,3623,24,609.0
AGCNET,17-JAN-2018,120.0,126.0,120.0,125.05,5526,45,122.35
AGLSL,17-JAN-2018,121.0,128.8,121.0,127.75,35323,213,124.05
AGRITECH,17-JAN-2018,117.4,118.9,115.0,117.5,15869,378,117.35
AGROPHOS,17-JAN-2018,33.9,33.9,33.0,33.0,36000,6,32.95
AHLEAST,17-JAN-2018,320.0,351.0,312.0,346.55,14898,522,317.45
AHLUCONT,17-JAN-2018,386.85,386.85,381.25,385.1,7272,200,386.85
AHLWEST,17-JAN-2018,271.0,279.9,271.0,277.75,390,14,270.5
AIAENG,17-JAN-2018,1575.05,1597.3,1540.0,1582.15,30441,4121,1575.05
AICHAMP,17-JAN-2018,36.65,36.65,34.5,36.65,2823,28,34.95
AIFL,17-JAN-2018,449.9,451.95,444.15,447.85,70220,1282,448.2
AIRAN,17-JAN-2018,239.2,244.5,234.5,244.5,3000,3,244.9
AIROLAM,17-JAN-2018,50.7,50.7,48.1,48.75,63000,18,51.1
AISL,17-JAN-2018,151.0,156.0,151.0,155.5,8400,7,149.65
AJANTPHARM,17-JAN-2018,1522.0,1535.0,1480.2,1530.7,170156,7924,1521.5
AJMERA,17-JAN-2018,334.0,334.0,308.95,325.55,125218,3152,334.35
AJOONI,17-JAN-2018,52.1,52.1,50.0,51.4,92000,23,52.1
AKASH,17-JAN-2018,84.0,84.5,80.0,83.35,6000,6,76.25
AKSHARCHEM,17-JAN-2018,750.0,765.0,729.0,739.6,12656,538,748.15
AKSHOPTFBR,17-JAN-2018,40.0,42.25,38.25,41.75,1480089,4262,40.25
AKZOINDIA,17-JAN-2018,1902.05,1912.05,1868.0,1883.5,54280,601,1902.05
ALANKIT,17-JAN-2018,68.35,73.7,66.7,73.55,882777,4534,70.2
ALBERTDAVD,17-JAN-2018,432.25,449.0,419.0,434.25,26412,997,438.25
ALBK,17-JAN-2018,68.8,72.1,67.5,71.85,3438656,27727,68.8
ALCHEM,17-JAN-2018,14.0,14.0,13.1,13.9,28489,110,13.75
ALEMBICLTD,17-JAN-2018,59.3,61.7,58.35,60.1,2054370,9670,59.25
ALICON,17-JAN-2018,661.0,689.7,643.3,671.45,7821,471,673.15
ALKALI,17-JAN-2018,98.1,99.7,88.65,95.2,51371,1053,98.45
ALKEM,17-JAN-2018,2245.0,2276.5,2241.0,2255.75,9667,1567,2276.5
ALKYLAMINE,17-JAN-2018,710.95,728.5,703.0,705.5,10300,752,707.8
ALLCARGO,17-JAN-2018,206.1,206.7,196.1,203.55,681399,10856,205.35
ALLSEC,17-JAN-2018,435.0,439.0,435.0,437.25,3954,112,439.1
ALMONDZ,17-JAN-2018,30.1,30.55,29.25,30.45,9544,54,30.1
ALOKTEXT,17-JAN-2018,4.4,4.4,4.2,4.2,2222417,982,4.4
ALPA,17-JAN-2018,46.6,47.8,46.2,47.0,65835,459,47.05
ALPHAGEO,17-JAN-2018,955.95,955.95,910.0,926.8,30067,1848,941.45
ALPSINDUS,17-JAN-2018,5.75,5.95,5.5,5.75,60442,128,5.75
AMARAJABAT,17-JAN-2018,854.0,861.0,836.25,850.6,393219,11982,856.85
AMBIKCO,17-JAN-2018,1602.05,1602.1,1556.0,1584.35,3822,596,1606.3
AMBUJACEM,17-JAN-2018,275.35,278.95,272.85,277.15,2384660,27411,277.85
AMDIND,17-JAN-2018,46.0,46.3,43.0,44.95,31663,321,45.25
AMRUTANJAN,17-JAN-2018,618.0,642.2,615.3,638.95,12952,548,622.15
AMTEKAUTO,17-JAN-2018,27.5,28.6,27.5,27.95,233524,796,28.0
ANANTRAJ,17-JAN-2018,76.5,76.7,73.2,75.85,2311693,9459,77.5
ANDHRABANK,17-JAN-2018,55.15,57.25,54.2,56.95,2749025,16778,55.2
ANDHRACEMT,17-JAN-2018,13.95,14.0,13.1,13.95,669095,1240,13.75
ANDHRSUGAR,17-JAN-2018,641.45,671.9,620.05,665.15,164762,5827,641.45
ANGIND,17-JAN-2018,6.85,6.9,6.55,6.65,22037,53,6.85
ANIKINDS,17-JAN-2018,46.9,46.9,43.65,44.8,14446,145,45.25
ANSALAPI,17-JAN-2018,30.35,32.8,29.7,32.8,647419,1471,31.25
ANSALHSG,17-JAN-2018,29.9,31.7,28.1,30.55,234725,2317,29.45
ANTGRAPHIC,17-JAN-2018,1.4,1.4,1.35,1.4,177182,53,1.4
APARINDS,17-JAN-2018,830.0,832.75,805.0,821.75,16885,1914,829.9
APCL,17-JAN-2018,252.0,252.0,246.0,250.4,2956,95,250.95
APCOTEXIND,17-JAN-2018,504.95,517.5,493.0,511.8,14127,629,503.6
APEX,17-JAN-2018,757.05,790.0,719.15,775.5,502641,17337,756.95
APLAPOLLO,17-JAN-2018,2300.0,2398.0,2220.1,2341.2,50535,2629,2299.2
APLLTD,17-JAN-2018,537.1,551.45,530.0,549.25,50383,2232,539.3
APOLLOHOSP,17-JAN-2018,1140.0,1143.3,1118.35,1125.7,219833,11338,1147.2
APOLLOTYRE,17-JAN-2018,273.0,275.0,269.55,273.85,2010538,24200,271.7
APOLSINHOT,17-JAN-2018,1320.1,1427.15,1294.0,1427.15,1461,134,1359.2
APTECHT,17-JAN-2018,367.0,370.4,359.0,366.0,272730,4332,370.8
ARCHIDPLY,17-JAN-2018,116.2,116.45,111.0,115.05,128548,1632,116.9
ARCHIES,17-JAN-2018,42.25,43.5,40.2,43.2,466638,2262,42.2
ARCOTECH,17-JAN-2018,55.5,56.35,53.95,54.4,1573934,4288,56.45
ARIES,17-JAN-2018,236.0,239.85,225.0,235.6,17105,311,235.4
ARIHANT,17-JAN-2018,54.5,58.5,54.5,57.0,1142,12,56.5
ARIHANTSUP,17-JAN-2018,168.1,172.1,164.1,168.9,254731,2771,167.2
ARMANFIN,17-JAN-2018,261.9,261.9,255.55,256.55,2029,19,260.8
AROGRANITE,17-JAN-2018,78.75,82.4,75.0,79.3,205376,2035,78.75
ARROWGREEN,17-JAN-2018,500.9,520.0,490.0,510.2,25174,1350,500.9
ARROWTEX,17-JAN-2018,44.5,45.65,43.0,45.1,34894,310,44.9
ARSHIYA,17-JAN-2018,102.85,105.0,101.0,102.35,71874,842,102.25
ARSSINFRA,17-JAN-2018,57.05,58.7,55.95,57.25,10531,81,57.5
ARVIND,17-JAN-2018,460.75,463.35,438.1,458.0,1667369,36729,460.15
ARVSMART,17-JAN-2018,206.0,207.5,196.1,206.1,80523,1357,205.5
ASAHIINDIA,17-JAN-2018,375.5,383.05,374.05,380.2,44803,1215,379.85
ASAHISONG,17-JAN-2018,381.9,384.95,373.5,380.2,8133,477,379.0
ASAL,17-JAN-2018,100.1,105.95,99.1,103.15,22289,490,103.15
ASHAPURMIN,17-JAN-2018,101.7,104.65,95.95,102.65,712242,4260,101.4
ASHIANA,17-JAN-2018,178.9,187.4,174.0,185.85,565627,7241,178.85
ASHIMASYN,17-JAN-2018,33.75,36.3,32.9,36.0,1544264,3440,33.75
ASHOKA,17-JAN-2018,236.0,237.85,226.5,227.75,648335,5950,236.0
ASHOKLEY,17-JAN-2018,122.1,124.8,119.5,124.45,10469892,60756,122.3
ASIANHOTNR,17-JAN-2018,237.6,296.0,225.6,294.05,280814,6038,247.15
ASIANPAINT,17-JAN-2018,1186.8,1196.4,1178.4,1193.75,506648,46734,1188.75
