SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,29-NOV-2018,44.0,44.1,42.8,43.0,25935,337,43.3
21STCENMGM,29-NOV-2018,22.5,22.5,22.0,22.0,150,4,22.1
3IINFOTECH,29-NOV-2018,3.75,4.0,3.65,3.95,4109468,1471,3.7
3MINDIA,29-NOV-2018,20948.65,20948.75,20710.1,20845.2,783,234,20775.65
3PLAND,29-NOV-2018,10.75,11.85,10.75,11.85,1520,6,11.3
5PAISA,29-NOV-2018,197.0,197.95,190.25,193.25,1485,83,196.05
63MOONS,29-NOV-2018,104.0,105.4,96.1,98.1,773819,9412,103.95
8KMILES,29-NOV-2018,175.1,175.1,175.1,175.1,28139,241,166.8
A2ZINFRA,29-NOV-2018,13.65,13.9,13.4,13.7,252077,520,13.7
AARON,29-NOV-2018,36.0,42.2,36.0,42.2,21000,5,41.9
AARTIDRUGS,29-NOV-2018,562.45,564.95,550.0,552.75,58417,789,559.75
AARTIIND,29-NOV-2018,1484.0,1484.0,1445.0,1455.2,42002,7116,1480.3
AARVEEDEN,29-NOV-2018,24.55,24.75,24.55,24.55,7553,34,24.55
AARVI,29-NOV-2018,49.0,49.0,48.9,48.9,6000,3,48.5
AAVAS,29-NOV-2018,762.2,782.05,757.0,762.4,9773,1667,774.7
ABAN,29-NOV-2018,77.1,77.5,72.8,74.6,501475,6939,77.05
ABB,29-NOV-2018,1407.5,1417.55,1375.0,1386.3,87581,6675,1399.1
ABBOTINDIA,29-NOV-2018,7262.15,7379.0,7198.15,7365.45,3257,608,7190.25
ABCAPITAL,29-NOV-2018,104.3,105.3,103.2,104.9,1147666,32147,104.25
ABFRL,29-NOV-2018,187.25,189.0,185.2,185.8,555549,3609,186.75
ABGSHIP,29-NOV-2018,2.4,2.6,2.4,2.5,46077,100,2.5
ACC,29-NOV-2018,1448.9,1471.3,1436.15,1463.8,994648,24022,1436.95
ACCELYA,29-NOV-2018,951.4,951.4,925.25,936.15,3208,339,953.65
ACE,29-NOV-2018,90.8,91.6,88.6,89.25,94115,1961,90.45
ADANIENT,29-NOV-2018,159.35,175.55,158.7,169.9,13648898,76799,158.0
ADANIGAS,29-NOV-2018,99.9,101.7,98.1,99.45,2006532,15978,99.0
ADANIGREEN,29-NOV-2018,48.6,49.7,46.9,47.45,628832,3147,48.4
ADANIPORTS,29-NOV-2018,366.5,371.35,363.2,369.8,3425961,38816,365.4
ADANIPOWER,29-NOV-2018,54.9,57.5,54.5,55.45,39117988,72568,54.45
ADANITRANS,29-NOV-2018,233.25,237.05,227.25,227.3,353112,4664,239.2
ADFFOODS,29-NOV-2018,250.5,273.6,247.5,267.5,334276,6254,247.1
ADHUNIK,29-NOV-2018,2.75,2.75,2.6,2.6,45979,58,2.65
ADHUNIKIND,29-NOV-2018,48.55,52.95,48.15,49.2,21003,102,48.55
ADLABS,29-NOV-2018,10.85,10.9,10.05,10.35,361578,934,10.55
ADORWELD,29-NOV-2018,370.0,373.1,362.0,364.55,5320,346,365.25
ADROITINFO,29-NOV-2018,20.0,20.0,19.3,19.3,528,6,20.05
ADSL,29-NOV-2018,13.2,13.65,13.05,13.2,6876,51,13.1
ADVANIHOTR,29-NOV-2018,61.05,63.4,59.35,60.75,11547,172,60.85
ADVENZYMES,29-NOV-2018,183.9,185.0,181.4,182.4,28108,1562,181.9
AEGISCHEM,29-NOV-2018,225.0,225.9,220.8,224.0,155655,1995,224.3
AGARIND,29-NOV-2018,177.1,184.0,168.15,179.2,3969,186,177.1
AGCNET,29-NOV-2018,68.7,68.7,65.8,67.0,1086,258,66.4
AGLSL,29-NOV-2018,76.95,77.0,73.85,74.4,1330,24,74.5
AGRITECH,29-NOV-2018,78.0,78.0,70.2,70.6,69670,1403,78.0
AGROPHOS,29-NOV-2018,46.45,47.05,46.1,46.75,270000,23,46.25
AHLADA,29-NOV-2018,148.75,148.75,148.75,148.75,1000,1,150.2
AHLEAST,29-NOV-2018,255.85,263.9,247.9,258.25,1446,87,243.65
AHLUCONT,29-NOV-2018,284.0,288.35,280.25,287.1,1994,134,280.25
AHLWEST,29-NOV-2018,299.0,300.0,293.5,300.0,969,24,295.0
AIAENG,29-NOV-2018,1620.0,1627.45,1600.1,1617.7,39374,3315,1594.45
AIFL,29-NOV-2018,31.85,31.85,31.85,31.85,3641,59,33.5
AIONJSW,29-NOV-2018,34.8,35.15,34.45,34.7,14800,145,34.9
AIRAN,29-NOV-2018,60.0,62.5,58.0,62.5,30000,11,62.0
