SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,30-APR-2019,37.25,38.2,36.55,37.1,17082,374,37.9
21STCENMGM,30-APR-2019,22.65,22.65,22.65,22.65,3,3,23.1
3IINFOTECH,30-APR-2019,4.0,4.0,3.75,3.75,2427047,1018,3.95
3MINDIA,30-APR-2019,23424.0,23511.0,22665.0,22926.7,3844,1320,23510.9
5PAISA,30-APR-2019,306.55,306.7,286.0,288.5,13117,593,307.45
63MOONS,30-APR-2019,112.9,125.3,112.9,125.3,1144424,3786,113.95
8KMILES,30-APR-2019,118.9,120.0,114.95,114.95,243188,2531,120.95
A2ZINFRA,30-APR-2019,17.9,18.45,17.15,17.95,173911,386,17.85
AAKASH,30-APR-2019,21.0,21.0,21.0,21.0,2000,1,21.0
AARON,30-APR-2019,46.95,46.95,46.95,46.95,6000,1,47.2
AARTIDRUGS,30-APR-2019,625.3,626.3,613.5,620.25,7237,483,625.3
AARTIIND,30-APR-2019,1635.0,1648.75,1602.0,1622.65,66680,6925,1637.25
AARVEEDEN,30-APR-2019,22.55,27.5,21.35,23.6,23803,349,23.0
AARVI,30-APR-2019,43.05,43.05,42.3,42.35,72000,27,44.5
AAVAS,30-APR-2019,1142.8,1210.0,1140.05,1198.35,74333,2728,1166.1
ABAN,30-APR-2019,56.4,56.4,53.6,53.6,48288,743,56.4
ABB,30-APR-2019,1480.4,1489.0,1472.5,1479.3,59062,2917,1481.1
ABBOTINDIA,30-APR-2019,7475.0,7550.0,7380.0,7421.35,3145,1704,7467.5
ABCAPITAL,30-APR-2019,99.2,99.35,97.35,97.75,1394287,13773,99.2
ABFRL,30-APR-2019,210.5,218.0,206.85,215.75,657684,16471,210.3
ABGSHIP,30-APR-2019,1.45,1.45,1.45,1.45,7193,35,1.5
ABMINTLTD,30-APR-2019,14.85,14.85,14.85,14.85,300,1,14.85
ABSLNN50ET,30-APR-2019,313.0,313.0,285.5,293.02,31,15,311.35
ACC,30-APR-2019,1640.0,1649.3,1601.05,1632.05,743663,27044,1635.35
ACCELYA,30-APR-2019,928.55,928.55,905.0,909.6,6303,576,928.55
ACCURACY,30-APR-2019,80.0,80.0,76.8,76.8,4800,2,82.0
ACE,30-APR-2019,99.95,100.25,96.2,98.8,274716,3585,101.15
ADANIENT,30-APR-2019,131.8,131.8,125.0,127.05,4006829,21582,131.4
ADANIGAS,30-APR-2019,143.0,147.0,130.6,134.0,804450,11962,143.25
ADANIGREEN,30-APR-2019,42.95,43.0,39.65,40.05,958201,4448,43.0
ADANIPORTS,30-APR-2019,391.15,393.95,384.8,392.8,2502107,27547,391.75
ADANIPOWER,30-APR-2019,48.55,48.65,44.0,44.9,19021979,25605,48.4
ADANITRANS,30-APR-2019,217.4,223.8,210.65,219.05,69041,2365,218.2
ADFFOODS,30-APR-2019,246.0,248.5,241.9,246.35,23242,643,245.15
ADHUNIK,30-APR-2019,2.25,2.25,2.25,2.25,20978,25,2.15
ADHUNIKIND,30-APR-2019,66.7,67.8,66.0,66.0,56196,332,66.65
ADLABS,30-APR-2019,9.0,9.0,8.35,8.55,171853,470,8.8
ADORWELD,30-APR-2019,332.45,332.5,321.0,325.7,4475,401,334.15
ADROITINFO,30-APR-2019,15.5,15.5,14.75,14.75,239,5,15.5
ADSL,30-APR-2019,15.7,15.7,14.3,15.0,49746,216,15.05
ADVANIHOTR,30-APR-2019,66.1,66.1,63.1,63.5,3027,88,65.6
ADVENZYMES,30-APR-2019,191.95,193.45,189.0,190.4,139692,1950,191.2
AEGISCHEM,30-APR-2019,198.0,201.4,192.3,195.15,178875,3878,198.45
AGARIND,30-APR-2019,173.45,183.25,167.8,178.35,1920,84,178.5
AGCNET,30-APR-2019,109.15,113.8,107.25,108.95,2660,66,110.05
AGLSL,30-APR-2019,57.55,58.4,57.0,57.95,3372,70,58.7
AGRITECH,30-APR-2019,61.05,63.95,60.5,61.3,7672,180,62.75
AGROPHOS,30-APR-2019,70.0,70.0,66.5,68.45,612,10,69.9
AHLEAST,30-APR-2019,240.9,240.9,235.0,235.5,757,21,236.5
AHLUCONT,30-APR-2019,323.0,327.0,318.0,325.8,4196,175,324.55
AHLWEST,30-APR-2019,370.0,370.0,338.9,344.0,949,54,362.5
AIAENG,30-APR-2019,1782.0,1845.1,1751.5,1814.7,8562,1234,1803.2
AIFL,30-APR-2019,11.25,11.25,10.3,10.3,30389,150,10.8
AIONJSW,30-APR-2019,24.5,24.95,23.95,24.45,24119,162,24.55
AIRAN,30-APR-2019,38.0,38.75,38.0,38.25,35000,7,38.85
AJANTPHARM,30-APR-2019,1032.65,1035.0,984.0,990.4,323047,10279,1026.65
AJMERA,30-APR-2019,170.55,172.55,166.85,168.85,30624,883,171.9
AJOONI,30-APR-2019,17.35,17.35,17.35,17.35,4000,1,18.25
AKASH,30-APR-2019,52.5,52.5,52.5,52.5,2000,1,51.0
AKG,30-APR-2019,34.5,35.5,34.5,35.5,100000,8,34.0
AKSHARCHEM,30-APR-2019,334.05,334.05,315.3,321.6,4229,399,337.4
AKSHOPTFBR,30-APR-2019,17.1,17.1,16.4,16.5,436847,1539,17.0
AKZOINDIA,30-APR-2019,1743.0,1743.0,1706.25,1718.65,1606,385,1710.55
ALANKIT,30-APR-2019,37.2,37.5,32.65,35.2,870645,2941,37.35
ALBERTDAVD,30-APR-2019,389.7,390.0,382.9,385.7,3744,179,389.55
ALBK,30-APR-2019,48.65,49.0,46.15,46.95,5645142,11199,49.15
ALCHEM,30-APR-2019,1.85,1.9,1.8,1.8,9518,19,1.85
ALEMBICLTD,30-APR-2019,42.65,42.65,41.4,41.8,157123,955,42.7
ALICON,30-APR-2019,637.7,637.7,610.2,627.0,1432,158,637.7
ALKALI,30-APR-2019,41.4,41.7,39.95,40.8,6005,108,42.1
ALKEM,30-APR-2019,1720.0,1723.7,1701.3,1718.35,12412,2602,1710.1
ALKYLAMINE,30-APR-2019,825.5,859.85,825.0,845.1,4272,304,836.0
ALLCARGO,30-APR-2019,114.2,114.2,106.85,107.75,284468,5643,114.15
ALLSEC,30-APR-2019,314.95,314.95,308.2,309.65,15393,74,311.15
ALMONDZ,30-APR-2019,21.2,21.6,19.25,19.8,5935,79,21.6
ALOKTEXT,30-APR-2019,3.85,3.95,3.8,3.8,2921089,1524,4.0
ALPA,30-APR-2019,24.5,25.3,24.0,24.05,11077,161,25.0
ALPHAGEO,30-APR-2019,468.15,468.15,450.5,452.05,3046,406,467.3
ALPSINDUS,30-APR-2019,1.65,1.65,1.65,1.65,208,3,1.65
AMARAJABAT,30-APR-2019,666.55,666.9,658.3,662.35,310280,7532,666.55
AMBER,30-APR-2019,804.0,807.8,770.0,783.2,14989,1395,807.9
AMBIKCO,30-APR-2019,1120.05,1128.0,1115.0,1121.85,856,134,1126.75
