SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,18-DEC-2019,32.0,32.2,31.75,31.9,13814,112,31.9
21STCENMGM,18-DEC-2019,13.55,13.55,13.3,13.3,5,3,13.55
3IINFOTECH,18-DEC-2019,2.05,2.05,2.0,2.0,597570,474,2.05
3MINDIA,18-DEC-2019,20997.1,21150.0,20750.0,20844.85,930,405,20967.3
3PLAND,18-DEC-2019,5.65,5.65,5.65,5.65,3021,2,5.75
5PAISA,18-DEC-2019,180.1,181.0,177.05,178.8,889,114,180.65
63MOONS,18-DEC-2019,102.35,107.5,101.55,103.85,194287,6107,102.1
824GS2027,18-DEC-2019,104.3,104.3,104.3,104.3,100,2,100.01
A2ZINFRA,18-DEC-2019,8.05,8.1,7.15,7.65,442840,800,8.05
AAKASH,18-DEC-2019,73.7,76.75,69.55,75.4,40000,20,73.2
AARON,18-DEC-2019,49.45,49.45,46.95,46.95,9900,3,48.95
AARTIDRUGS,18-DEC-2019,498.0,505.9,495.35,503.6,9257,1064,495.2
AARTIIND,18-DEC-2019,774.0,778.65,761.0,768.3,58145,4890,768.7
AARVEEDEN,18-DEC-2019,11.7,11.7,11.15,11.3,3020,81,11.45
AAVAS,18-DEC-2019,1898.45,1898.45,1870.0,1876.5,21140,5550,1898.45
ABAN,18-DEC-2019,26.65,26.75,25.7,26.05,26978,552,26.65
ABB,18-DEC-2019,1467.55,1474.9,1442.25,1451.45,120958,3822,1474.4
ABBOTINDIA,18-DEC-2019,13370.0,13410.0,13115.25,13190.9,5450,2279,13381.8
ABCAPITAL,18-DEC-2019,98.95,99.9,96.8,97.55,1145998,12094,98.9
ABFRL,18-DEC-2019,235.25,239.9,233.3,239.15,557471,11132,234.0
ABSLBANETF,18-DEC-2019,319.52,320.12,319.52,320.12,25,2,319.52
ABSLFTSGRN,18-DEC-2019,10.2,10.2,10.2,10.2,1000,1,10.01
ABSLRIF6RG,18-DEC-2019,6.9,6.9,6.9,6.9,10000,1,6.71
ACC,18-DEC-2019,1462.1,1470.4,1438.75,1450.4,481280,17728,1462.3
ACCELYA,18-DEC-2019,985.95,990.5,956.35,965.6,7341,447,985.95
ACCURACY,18-DEC-2019,25.35,25.4,24.1,25.4,17600,11,24.2
ACE,18-DEC-2019,73.8,73.95,71.1,72.2,92700,1780,73.0
ACEINTEG,18-DEC-2019,13.65,13.65,13.65,13.65,3000,1,13.0
ADANIENT,18-DEC-2019,211.8,212.45,205.6,208.15,2542320,15181,211.2
ADANIGAS,18-DEC-2019,151.0,151.9,150.5,150.75,380427,3651,150.65
ADANIGREEN,18-DEC-2019,136.3,137.3,134.0,135.1,690735,6652,135.55
ADANIPORTS,18-DEC-2019,372.1,375.8,369.1,374.5,3960881,40006,371.25
