SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,29-MAY-2019,42.0,44.15,41.2,42.1,563151,2925,41.0
21STCENMGM,29-MAY-2019,19.05,19.05,19.05,19.05,59,2,19.05
3IINFOTECH,29-MAY-2019,3.6,3.65,3.55,3.6,698929,399,3.65
3MINDIA,29-MAY-2019,22790.0,23149.0,21910.0,22927.25,12565,4831,23913.05
3PLAND,29-MAY-2019,10.6,10.6,10.6,10.6,50,1,10.6
5PAISA,29-MAY-2019,254.4,270.0,250.0,255.6,64485,1852,247.25
63MOONS,29-MAY-2019,136.15,142.55,136.15,136.15,315981,3332,143.3
8KMILES,29-MAY-2019,102.45,102.6,99.55,100.5,119359,1660,101.9
A2ZINFRA,29-MAY-2019,17.05,17.8,16.9,17.5,137022,585,16.95
AARON,29-MAY-2019,47.7,47.7,46.0,46.0,6000,2,48.0
AARTIDRUGS,29-MAY-2019,587.95,589.8,577.3,581.2,8759,1994,585.1
AARTIIND,29-MAY-2019,1800.0,1810.0,1744.4,1777.4,87067,10723,1823.7
AARVEEDEN,29-MAY-2019,23.05,24.4,23.0,23.85,5439,84,23.55
AAVAS,29-MAY-2019,1387.0,1423.15,1368.4,1413.45,42172,14926,1398.3
ABAN,29-MAY-2019,51.45,51.45,50.0,50.05,24768,234,50.85
ABB,29-MAY-2019,1595.0,1600.1,1577.15,1587.9,172554,4104,1594.5
ABBOTINDIA,29-MAY-2019,7749.9,7839.95,7737.45,7806.35,5816,1537,7696.6
ABCAPITAL,29-MAY-2019,102.0,102.05,99.65,99.95,1042624,7416,101.9
ABFRL,29-MAY-2019,210.0,214.95,206.6,211.65,447178,7504,211.15
ABMINTLTD,29-MAY-2019,13.45,13.45,13.45,13.45,6,1,13.45
ABSLNN50ET,29-MAY-2019,277.18,277.18,275.0,276.38,46,6,276.24
ACC,29-MAY-2019,1739.5,1745.25,1711.8,1721.55,525569,26228,1750.7
ACCELYA,29-MAY-2019,897.75,903.85,895.0,900.05,2335,304,894.75
ACCURACY,29-MAY-2019,70.0,70.0,70.0,70.0,3200,2,72.0
ACE,29-MAY-2019,110.3,112.6,109.15,109.35,204610,3405,112.3
ADANIENT,29-MAY-2019,157.95,158.4,151.75,155.15,12993604,77069,157.65
ADANIGAS,29-MAY-2019,162.6,174.5,160.1,167.75,6101639,50033,163.25
ADANIGREEN,29-MAY-2019,45.2,46.0,44.2,44.7,1087465,4224,45.0
ADANIPORTS,29-MAY-2019,412.3,412.95,404.3,406.55,2511011,29357,412.65
ADANIPOWER,29-MAY-2019,49.0,49.7,47.05,48.35,15057913,25225,49.0
ADANITRANS,29-MAY-2019,242.0,252.7,232.35,236.7,510344,7380,241.55
ADFFOODS,29-MAY-2019,270.45,299.8,267.8,277.8,288962,5772,270.3
ADHUNIK,29-MAY-2019,2.3,2.3,2.1,2.1,8198,21,2.2
ADHUNIKIND,29-MAY-2019,86.0,88.9,85.1,86.15,52316,668,85.85
ADLABS,29-MAY-2019,7.75,7.9,7.65,7.75,63140,171,7.75
ADORWELD,29-MAY-2019,365.2,373.9,365.15,366.7,7280,234,367.2
ADROITINFO,29-MAY-2019,14.05,14.7,14.05,14.7,5038,26,14.75
ADSL,29-MAY-2019,16.1,16.35,15.6,16.25,51862,104,15.9
ADVANIHOTR,29-MAY-2019,68.0,68.0,64.1,64.55,15893,295,68.3
ADVENZYMES,29-MAY-2019,212.0,216.8,207.65,211.1,155841,2141,212.1
AEGISCHEM,29-MAY-2019,230.7,241.7,226.0,230.3,505847,9505,223.9
AGARIND,29-MAY-2019,165.0,165.05,156.05,163.9,1938,131,162.4
AGCNET,29-MAY-2019,110.55,116.55,110.0,111.95,964,174,110.75
AGLSL,29-MAY-2019,56.95,57.0,54.95,55.0,6753,46,56.75
AGRITECH,29-MAY-2019,67.0,68.0,62.8,65.2,12412,277,67.5
AGROPHOS,29-MAY-2019,70.25,73.8,70.25,73.4,2973,13,73.75
AHLEAST,29-MAY-2019,228.0,228.0,212.0,217.85,1694,110,216.05
AHLUCONT,29-MAY-2019,362.0,362.0,348.15,349.45,5668,354,358.35
AHLWEST,29-MAY-2019,325.0,345.0,325.0,340.0,1440,35,340.0
AIAENG,29-MAY-2019,1725.0,1780.0,1715.1,1767.15,15997,2254,1723.6
AIFL,29-MAY-2019,6.55,6.55,6.55,6.55,16875,60,6.85
AIONJSW,29-MAY-2019,22.05,22.25,21.25,21.8,32313,150,22.35
AIRAN,29-MAY-2019,31.6,33.8,30.7,30.85,18179,184,32.95
AIROLAM,29-MAY-2019,29.0,30.5,29.0,30.5,9000,3,29.9
AISL,29-MAY-2019,62.95,62.95,58.05,58.05,2400,2,59.25
AJANTPHARM,29-MAY-2019,1034.5,1044.5,1022.5,1032.45,137245,5540,1038.65
AJMERA,29-MAY-2019,184.95,185.1,181.05,181.9,28797,727,185.3
AKG,29-MAY-2019,34.0,34.0,34.0,34.0,4000,1,34.6
AKSHARCHEM,29-MAY-2019,336.4,365.7,332.0,348.35,156873,5735,321.8
AKSHOPTFBR,29-MAY-2019,14.2,14.2,13.5,13.65,1149232,1622,14.05
AKZOINDIA,29-MAY-2019,1708.9,1766.0,1705.1,1759.4,4930,987,1714.05
ALANKIT,29-MAY-2019,34.15,39.0,33.75,38.3,1405096,7899,34.9
ALBERTDAVD,29-MAY-2019,479.0,509.0,475.0,490.55,58376,2088,470.45
ALBK,29-MAY-2019,46.8,46.8,45.1,45.5,3259108,7813,46.65
ALCHEM,29-MAY-2019,1.8,1.9,1.8,1.8,5654,14,1.85
ALEMBICLTD,29-MAY-2019,43.35,43.35,42.25,42.5,57648,367,43.05
ALICON,29-MAY-2019,608.45,619.05,605.05,608.9,874,148,619.3
ALKALI,29-MAY-2019,47.75,49.2,45.1,45.95,7965,186,47.9
ALKEM,29-MAY-2019,1722.0,1734.0,1712.65,1729.15,5936,1369,1729.85
ALKYLAMINE,29-MAY-2019,792.4,810.55,790.7,800.6,3162,225,795.4
ALLCARGO,29-MAY-2019,118.7,118.8,115.35,116.25,350823,3351,114.4
ALLSEC,29-MAY-2019,324.95,324.95,317.5,318.0,5554,85,319.9
ALMONDZ,29-MAY-2019,20.0,20.0,19.2,19.75,1678,21,19.9
ALOKTEXT,29-MAY-2019,3.9,3.95,3.8,3.9,1735292,635,3.8
ALPA,29-MAY-2019,23.5,23.6,22.7,22.8,37847,301,23.4
ALPHAGEO,29-MAY-2019,472.15,487.15,465.0,467.35,2203,295,486.65
ALPSINDUS,29-MAY-2019,0.95,0.95,0.9,0.9,363,5,0.95
AMARAJABAT,29-MAY-2019,638.1,645.0,627.1,631.3,353464,10228,638.1
AMBER,29-MAY-2019,816.25,852.95,816.25,845.2,16315,1444,837.65
AMBIKCO,29-MAY-2019,1100.0,1100.0,1080.0,1091.65,4698,548,1096.2
AMBUJACEM,29-MAY-2019,238.2,238.4,233.15,233.85,1736796,33245,238.4
AMDIND,29-MAY-2019,20.4,20.4,19.5,19.55,2575,27,20.3
AMJLAND,29-MAY-2019,19.2,20.0,19.2,19.55,4801,47,19.25
AMJUMBO,29-MAY-2019,43.7,46.8,43.7,45.9,6000,3,46.0
AMRUTANJAN,29-MAY-2019,325.0,328.7,320.25,326.25,98126,1733,326.6
ANANTRAJ,29-MAY-2019,35.7,35.7,34.2,34.3,270472,933,35.45
ANDHRABANK,29-MAY-2019,25.65,26.1,25.4,25.55,605105,2870,25.95
ANDHRACEMT,29-MAY-2019,4.9,5.0,4.6,4.75,108272,162,4.8
ANDHRSUGAR,29-MAY-2019,404.7,412.0,385.0,392.4,153312,3841,400.8
ANIKINDS,29-MAY-2019,14.25,14.4,13.8,14.15,917,15,14.15
ANKITMETAL,29-MAY-2019,0.5,0.5,0.5,0.5,38146,28,0.45
ANSALAPI,29-MAY-2019,8.4,9.4,8.2,8.65,138412,432,8.4
ANSALHSG,29-MAY-2019,9.9,10.2,9.7,10.0,572454,281,9.95
ANTGRAPHIC,29-MAY-2019,0.7,0.8,0.7,0.8,51638,36,0.75
ANUP,29-MAY-2019,507.6,527.9,507.6,516.9,35636,1279,507.6
APARINDS,29-MAY-2019,670.0,690.0,666.0,671.9,3543,333,676.15
APCL,29-MAY-2019,179.85,184.0,175.5,176.8,6912,314,178.3
APCOTEXIND,29-MAY-2019,530.0,543.0,530.0,537.15,9252,595,526.8
APEX,29-MAY-2019,302.0,303.05,285.5,294.6,171946,4433,303.65
APLAPOLLO,29-MAY-2019,1652.1,1652.1,1614.0,1634.05,4754,563,1632.05
APLLTD,29-MAY-2019,534.5,535.1,520.15,521.55,13982,1006,532.5
APOLLO,29-MAY-2019,137.0,139.25,134.5,135.45,12276,425,136.45
APOLLOHOSP,29-MAY-2019,1191.5,1209.0,1173.3,1203.3,278890,15113,1190.8
APOLLOTYRE,29-MAY-2019,197.5,197.8,192.65,194.15,1319186,11359,197.9
