SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,16-OCT-2019,38.05,38.9,37.55,37.85,16738,142,38.05
21STCENMGM,16-OCT-2019,12.7,12.7,12.65,12.65,41,6,12.7
3IINFOTECH,16-OCT-2019,2.05,2.05,2.0,2.0,298210,301,2.0
3MINDIA,16-OCT-2019,20253.25,20624.0,20250.0,20610.25,3201,1121,20267.65
3PLAND,16-OCT-2019,5.95,5.95,5.9,5.9,2,2,6.2
5PAISA,16-OCT-2019,183.0,187.7,172.0,175.65,9825,561,181.05
63MOONS,16-OCT-2019,116.25,118.75,114.0,114.8,65685,1787,115.55
8KMILES,16-OCT-2019,41.75,41.75,41.75,41.75,5771,76,43.9
A2ZINFRA,16-OCT-2019,9.85,10.1,9.55,10.0,303722,407,9.7
AARON,16-OCT-2019,46.3,46.3,46.3,46.3,3300,1,49.5
AARTIDRUGS,16-OCT-2019,452.95,461.8,452.95,458.9,8917,810,457.5
AARTIIND,16-OCT-2019,759.0,767.0,753.1,762.95,121572,7628,758.75
AARVEEDEN,16-OCT-2019,15.0,15.0,13.8,14.25,11134,152,14.5
AARVI,16-OCT-2019,50.0,50.05,50.0,50.05,8000,4,47.7
AAVAS,16-OCT-2019,1689.0,1696.0,1651.0,1677.5,12265,3752,1673.95
ABAN,16-OCT-2019,24.85,25.95,24.5,24.95,40033,302,25.55
ABB,16-OCT-2019,1513.0,1534.5,1503.15,1519.5,100101,11046,1496.7
ABBOTINDIA,16-OCT-2019,10949.9,10998.8,10868.35,10949.35,2736,1152,10917.9
ABCAPITAL,16-OCT-2019,77.8,78.75,77.35,78.05,854867,8110,77.25
ABFRL,16-OCT-2019,201.45,203.35,196.0,197.9,573490,4886,200.0
ABSLNN50ET,16-OCT-2019,273.0,273.0,273.0,273.0,12,3,270.09
ACC,16-OCT-2019,1530.0,1560.0,1511.35,1521.45,3659977,104066,1498.05
ACCELYA,16-OCT-2019,830.7,839.0,813.35,819.85,2423,310,830.7
ACCURACY,16-OCT-2019,30.1,30.1,28.5,29.05,4800,3,30.0
ACE,16-OCT-2019,78.05,78.5,77.7,78.0,116878,617,78.0
ACEINTEG,16-OCT-2019,13.1,13.1,13.1,13.1,3000,1,13.7
